,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ethiopia,41.0,69.0,37.0,44.0,112.0,124.0,198.0,62.0,54.0,97.0
Europe,48.0,54.0,42.0,57.0,91.0,150.0,199.0,76.0,41.0,90.0
Ukraine,63.0,63.0,48.0,69.0,102.0,165.0,195.0,82.0,49.0,100.0
Sudan,65.0,57.0,60.0,75.0,102.0,160.0,185.0,86.0,53.0,90.0
Afghanistan,63.0,53.0,57.0,77.0,97.0,167.0,183.0,85.0,48.0,89.0
Iraq,73.0,54.0,64.0,89.0,97.0,188.0,187.0,98.0,52.0,96.0
Yemen,75.0,50.0,66.0,90.0,91.0,182.0,175.0,97.0,41.0,85.0
Russia,50.0,65.0,42.0,58.0,111.0,157.0,217.0,67.0,55.0,112.0
Italy,35.0,82.0,36.0,37.0,131.0,120.0,241.0,59.0,60.0,121.0
Somalia,58.0,60.0,51.0,66.0,101.0,154.0,182.0,82.0,49.0,91.0
Iran,68.0,57.0,60.0,74.0,98.0,177.0,207.0,87.0,45.0,110.0
Venezuela,44.0,66.0,44.0,50.0,117.0,137.0,224.0,69.0,50.0,104.0
Oman,57.0,69.0,55.0,68.0,127.0,153.0,236.0,77.0,59.0,135.0
Syria,86.0,52.0,78.0,102.0,90.0,197.0,171.0,106.0,49.0,89.0
China,47.0,66.0,47.0,51.0,119.0,143.0,251.0,66.0,55.0,116.0
India,33.0,73.0,34.0,34.0,119.0,116.0,237.0,56.0,52.0,116.0
Britain,49.0,70.0,46.0,53.0,108.0,147.0,207.0,75.0,42.0,98.0
France,50.0,62.0,47.0,58.0,108.0,148.0,213.0,75.0,51.0,103.0
Greece,43.0,79.0,43.0,48.0,121.0,140.0,219.0,72.0,56.0,105.0
Scotland,32.0,80.0,28.0,32.0,130.0,103.0,220.0,50.0,56.0,111.0
Paraguay,37.0,67.0,43.0,39.0,117.0,121.0,227.0,62.0,54.0,109.0
Brazil,42.0,77.0,46.0,43.0,128.0,132.0,243.0,65.0,59.0,116.0
Africa,42.0,63.0,38.0,48.0,103.0,129.0,205.0,68.0,49.0,92.0
Jordan,50.0,85.0,47.0,56.0,147.0,135.0,257.0,67.0,63.0,141.0
Indonesia,34.0,61.0,35.0,33.0,106.0,126.0,202.0,54.0,47.0,94.0
