,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,61.0,72.0,63.0,89.0,115.0,168.0,248.0,90.0,64.0,122.0
conservatives,51.0,78.0,56.0,54.0,126.0,116.0,284.0,58.0,49.0,160.0
liberals,98.0,62.0,91.0,100.0,118.0,215.0,243.0,109.0,52.0,143.0
trump supporters,102.0,68.0,93.0,103.0,114.0,220.0,233.0,117.0,55.0,130.0
voters,63.0,78.0,53.0,65.0,119.0,156.0,267.0,102.0,51.0,151.0
communists,97.0,58.0,88.0,104.0,102.0,220.0,209.0,113.0,44.0,121.0
capitalists,93.0,67.0,85.0,94.0,113.0,206.0,245.0,111.0,45.0,136.0
populists,96.0,67.0,91.0,99.0,116.0,209.0,254.0,107.0,56.0,146.0
socialists,91.0,61.0,86.0,97.0,111.0,195.0,238.0,107.0,45.0,135.0
catalan independentists,83.0,57.0,71.0,94.0,95.0,191.0,213.0,97.0,43.0,114.0
