,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
students,64.0,94.0,58.0,75.0,154.0,161.0,309.0,95.0,71.0,158.0
politicians,93.0,84.0,90.0,97.0,132.0,213.0,270.0,110.0,54.0,155.0
doctors,91.0,89.0,81.0,93.0,142.0,187.0,295.0,111.0,53.0,171.0
business men,49.0,90.0,47.0,58.0,152.0,131.0,310.0,79.0,59.0,177.0
librarians,67.0,88.0,61.0,78.0,134.0,155.0,299.0,95.0,57.0,158.0
artists,63.0,92.0,59.0,76.0,153.0,154.0,284.0,88.0,78.0,152.0
professors,72.0,83.0,66.0,85.0,136.0,171.0,300.0,100.0,57.0,166.0
priests,69.0,87.0,65.0,86.0,148.0,160.0,284.0,101.0,63.0,165.0
bosses,87.0,96.0,83.0,97.0,149.0,187.0,289.0,106.0,68.0,169.0
police,100.0,79.0,83.0,111.0,111.0,196.0,249.0,108.0,52.0,148.0
police officers,83.0,84.0,77.0,100.0,134.0,165.0,291.0,95.0,53.0,172.0
soldiers,81.0,96.0,72.0,98.0,142.0,169.0,280.0,102.0,61.0,164.0
scientists,68.0,79.0,66.0,76.0,136.0,177.0,294.0,92.0,63.0,160.0
physicians,63.0,81.0,56.0,68.0,127.0,150.0,299.0,87.0,46.0,174.0
cashiers,64.0,91.0,54.0,70.0,141.0,143.0,300.0,86.0,56.0,177.0
housekeepers,66.0,94.0,62.0,76.0,160.0,154.0,318.0,98.0,65.0,182.0
teachers,84.0,78.0,69.0,94.0,135.0,181.0,285.0,112.0,51.0,159.0
janitors,53.0,92.0,46.0,66.0,139.0,129.0,285.0,71.0,65.0,155.0
models,45.0,78.0,36.0,46.0,92.0,109.0,242.0,46.0,42.0,111.0
actresses,67.0,96.0,72.0,80.0,157.0,157.0,278.0,86.0,72.0,154.0
pilots,68.0,95.0,62.0,84.0,133.0,156.0,303.0,91.0,64.0,168.0
strippers,62.0,95.0,67.0,65.0,146.0,148.0,271.0,72.0,64.0,149.0
brokers,69.0,84.0,56.0,69.0,140.0,148.0,308.0,82.0,60.0,183.0
hairdressers,53.0,98.0,54.0,61.0,160.0,114.0,304.0,61.0,61.0,173.0
bartenders,63.0,96.0,61.0,79.0,155.0,143.0,311.0,83.0,62.0,185.0
diplomats,72.0,92.0,66.0,86.0,137.0,180.0,283.0,96.0,57.0,168.0
receptionists,54.0,98.0,50.0,67.0,145.0,133.0,295.0,87.0,62.0,172.0
realtors,60.0,88.0,45.0,63.0,147.0,138.0,310.0,84.0,62.0,177.0
mathematicians,67.0,81.0,65.0,77.0,126.0,179.0,278.0,94.0,58.0,147.0
barbers,60.0,102.0,56.0,68.0,160.0,132.0,310.0,74.0,60.0,177.0
coaches,66.0,86.0,63.0,77.0,139.0,149.0,302.0,89.0,56.0,173.0
business people,54.0,88.0,51.0,61.0,157.0,134.0,322.0,85.0,62.0,178.0
