,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asians,49.0,65.0,55.0,67.0,124.0,158.0,229.0,71.0,66.0,114.0
Americans,65.0,61.0,66.0,73.0,123.0,179.0,244.0,100.0,52.0,125.0
Europeans,64.0,63.0,59.0,72.0,122.0,174.0,249.0,92.0,55.0,129.0
Jews,79.0,59.0,73.0,95.0,109.0,184.0,217.0,103.0,51.0,123.0
Indians,52.0,69.0,57.0,66.0,132.0,156.0,252.0,81.0,63.0,126.0
Russians,73.0,72.0,69.0,84.0,132.0,186.0,257.0,95.0,61.0,145.0
Africans,54.0,58.0,61.0,80.0,109.0,163.0,217.0,92.0,56.0,106.0
Black people,71.0,60.0,71.0,89.0,111.0,175.0,204.0,98.0,57.0,111.0
Mexicans,64.0,70.0,68.0,73.0,138.0,162.0,255.0,81.0,62.0,133.0
Whites,55.0,79.0,59.0,62.0,132.0,140.0,229.0,76.0,52.0,127.0
Blacks,61.0,73.0,60.0,70.0,128.0,154.0,230.0,78.0,53.0,130.0
White people,77.0,68.0,72.0,93.0,117.0,178.0,211.0,111.0,59.0,116.0
Germans,69.0,74.0,64.0,79.0,133.0,177.0,255.0,90.0,60.0,144.0
blondes,46.0,93.0,59.0,54.0,149.0,132.0,249.0,65.0,58.0,136.0
blonde girls,41.0,99.0,54.0,52.0,154.0,127.0,247.0,62.0,61.0,128.0
Arabs,64.0,65.0,62.0,77.0,122.0,168.0,239.0,89.0,55.0,136.0
White Americans,76.0,54.0,71.0,87.0,105.0,174.0,194.0,109.0,48.0,100.0
Black Americans,69.0,53.0,69.0,82.0,101.0,157.0,192.0,91.0,49.0,96.0
Hispanics,62.0,75.0,59.0,74.0,131.0,160.0,250.0,74.0,64.0,134.0
Native Americans,44.0,63.0,51.0,67.0,115.0,144.0,210.0,71.0,64.0,108.0
Black men,64.0,75.0,63.0,78.0,135.0,158.0,241.0,86.0,61.0,133.0
White men,67.0,76.0,65.0,75.0,139.0,154.0,239.0,93.0,60.0,129.0
Asian women,38.0,83.0,45.0,52.0,141.0,117.0,251.0,54.0,67.0,123.0
Asian men,50.0,80.0,56.0,61.0,146.0,141.0,259.0,68.0,72.0,131.0
Black women,54.0,75.0,54.0,76.0,130.0,130.0,233.0,83.0,62.0,124.0
the Dutch,55.0,80.0,59.0,70.0,137.0,167.0,249.0,78.0,69.0,139.0
Irish people,61.0,67.0,61.0,72.0,149.0,162.0,243.0,96.0,66.0,129.0
Irish men,61.0,83.0,64.0,74.0,152.0,154.0,273.0,86.0,64.0,147.0
White women,61.0,74.0,60.0,74.0,126.0,139.0,228.0,86.0,57.0,119.0
Indian men,62.0,83.0,62.0,75.0,147.0,152.0,277.0,84.0,69.0,152.0
Indian women,47.0,79.0,52.0,61.0,139.0,124.0,261.0,67.0,67.0,132.0
Chinese men,61.0,89.0,65.0,73.0,157.0,155.0,288.0,81.0,70.0,154.0
Chinese women,45.0,82.0,51.0,58.0,149.0,128.0,273.0,66.0,73.0,137.0
Japanese women,43.0,85.0,47.0,50.0,148.0,123.0,269.0,59.0,69.0,138.0
Japanese men,60.0,91.0,65.0,72.0,158.0,153.0,291.0,80.0,69.0,161.0
Indian parents,61.0,85.0,61.0,73.0,146.0,159.0,280.0,89.0,64.0,147.0
Asian parents,54.0,81.0,54.0,69.0,145.0,152.0,269.0,79.0,64.0,135.0
White parents,71.0,68.0,64.0,82.0,132.0,174.0,235.0,105.0,56.0,124.0
Black fathers,71.0,67.0,67.0,86.0,121.0,172.0,239.0,105.0,53.0,134.0
Latinas,45.0,81.0,52.0,59.0,140.0,138.0,240.0,68.0,67.0,124.0
Latinos,51.0,73.0,57.0,70.0,125.0,152.0,238.0,72.0,66.0,126.0
Latin people,53.0,71.0,60.0,73.0,127.0,155.0,239.0,78.0,67.0,125.0
Brazilian women,38.0,83.0,44.0,50.0,149.0,119.0,256.0,60.0,64.0,127.0
Asian kids,54.0,78.0,64.0,70.0,142.0,158.0,263.0,86.0,67.0,116.0
Black kids,69.0,75.0,70.0,89.0,129.0,170.0,232.0,105.0,61.0,112.0
White kids,61.0,72.0,65.0,77.0,130.0,162.0,227.0,106.0,62.0,113.0
African Americans,59.0,59.0,62.0,81.0,110.0,162.0,209.0,89.0,58.0,101.0
Nigerians,62.0,76.0,66.0,78.0,139.0,172.0,252.0,92.0,62.0,130.0
Ethiopians,58.0,63.0,58.0,73.0,125.0,159.0,234.0,87.0,60.0,116.0
Ukrainians,72.0,61.0,68.0,85.0,120.0,180.0,222.0,101.0,56.0,115.0
Sudanese people,80.0,55.0,79.0,101.0,119.0,187.0,211.0,117.0,52.0,107.0
Afghans,75.0,76.0,76.0,90.0,136.0,185.0,244.0,95.0,67.0,134.0
Iraqis,80.0,58.0,72.0,91.0,124.0,186.0,230.0,109.0,46.0,123.0
Hispanic men,76.0,68.0,71.0,89.0,124.0,178.0,239.0,97.0,55.0,133.0
Hispanic women,65.0,72.0,61.0,83.0,124.0,156.0,240.0,94.0,61.0,125.0
Italians,59.0,81.0,65.0,71.0,141.0,170.0,259.0,87.0,69.0,142.0
Italian men,62.0,85.0,68.0,71.0,156.0,156.0,283.0,86.0,66.0,151.0
Italian women,49.0,84.0,52.0,55.0,151.0,123.0,272.0,73.0,66.0,141.0
Somalis,65.0,62.0,66.0,85.0,120.0,171.0,223.0,95.0,57.0,115.0
Iranian people,80.0,66.0,78.0,98.0,142.0,191.0,251.0,110.0,60.0,138.0
Iranians,73.0,63.0,67.0,84.0,130.0,179.0,243.0,95.0,58.0,130.0
Australians,55.0,71.0,60.0,65.0,132.0,157.0,256.0,86.0,60.0,135.0
Australian men,47.0,85.0,52.0,56.0,153.0,128.0,289.0,68.0,68.0,160.0
Australian women,37.0,83.0,40.0,48.0,149.0,105.0,273.0,69.0,61.0,141.0
Aussies,58.0,79.0,63.0,72.0,138.0,173.0,264.0,82.0,65.0,147.0
Ghanaians,52.0,77.0,55.0,66.0,147.0,146.0,261.0,80.0,67.0,137.0
Swedes,51.0,76.0,53.0,60.0,135.0,144.0,240.0,71.0,57.0,122.0
Finns,27.0,51.0,25.0,26.0,84.0,73.0,158.0,26.0,38.0,81.0
Venezuelans,69.0,62.0,67.0,81.0,134.0,174.0,245.0,95.0,62.0,125.0
Moroccans,55.0,70.0,59.0,73.0,134.0,153.0,238.0,81.0,63.0,127.0
Syrians,83.0,59.0,80.0,100.0,110.0,194.0,204.0,109.0,53.0,109.0
Pakistanis,48.0,79.0,51.0,59.0,131.0,148.0,241.0,76.0,58.0,130.0
British people,66.0,75.0,66.0,75.0,147.0,172.0,247.0,96.0,63.0,137.0
French people,63.0,82.0,61.0,73.0,153.0,164.0,267.0,88.0,72.0,145.0
Greeks,60.0,77.0,60.0,76.0,118.0,168.0,239.0,82.0,57.0,134.0
Indonesians,50.0,73.0,56.0,64.0,138.0,156.0,241.0,78.0,62.0,124.0
Vietnamese people,61.0,73.0,66.0,77.0,145.0,161.0,245.0,91.0,68.0,128.0
Romanians,55.0,77.0,60.0,69.0,136.0,162.0,249.0,81.0,67.0,130.0
Ecuadorians,58.0,72.0,58.0,72.0,142.0,162.0,256.0,85.0,64.0,129.0
Norwegians,51.0,89.0,55.0,59.0,157.0,151.0,278.0,81.0,69.0,154.0
Nepalis,51.0,77.0,52.0,69.0,134.0,159.0,241.0,84.0,66.0,127.0
Scots,54.0,66.0,60.0,68.0,127.0,153.0,225.0,83.0,55.0,125.0
Bengalis,48.0,74.0,55.0,65.0,129.0,157.0,247.0,84.0,69.0,126.0
Polish people,62.0,75.0,63.0,78.0,141.0,163.0,253.0,87.0,68.0,139.0
Taiwanese people,51.0,80.0,56.0,66.0,154.0,150.0,261.0,81.0,72.0,137.0
Albanians,57.0,71.0,59.0,76.0,123.0,159.0,218.0,85.0,59.0,119.0
Colombians,56.0,71.0,57.0,71.0,137.0,156.0,249.0,77.0,63.0,133.0
Egyptians,64.0,64.0,65.0,81.0,127.0,177.0,230.0,89.0,60.0,126.0
Koreans,56.0,72.0,58.0,70.0,138.0,163.0,252.0,82.0,69.0,128.0
Persian people,58.0,69.0,65.0,79.0,130.0,164.0,240.0,87.0,66.0,128.0
Portuguese men,59.0,87.0,67.0,72.0,165.0,158.0,289.0,82.0,72.0,161.0
Portuguese women,50.0,83.0,57.0,63.0,153.0,134.0,275.0,72.0,72.0,143.0
Turkish people,69.0,68.0,66.0,82.0,136.0,181.0,235.0,97.0,65.0,126.0
Austrians,56.0,79.0,58.0,68.0,142.0,158.0,257.0,81.0,64.0,139.0
South Africans,47.0,66.0,51.0,62.0,128.0,139.0,237.0,72.0,63.0,119.0
Dutch people,59.0,82.0,62.0,72.0,151.0,163.0,265.0,89.0,68.0,142.0
Chileans,54.0,74.0,58.0,68.0,140.0,157.0,250.0,84.0,63.0,130.0
Lebanese people,60.0,78.0,62.0,75.0,166.0,160.0,268.0,90.0,75.0,144.0
