,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religious people,69.0,60.0,62.0,78.0,112.0,172.0,228.0,96.0,57.0,133.0
Muslims,78.0,61.0,69.0,90.0,121.0,188.0,236.0,102.0,54.0,134.0
Christians,84.0,70.0,72.0,93.0,131.0,190.0,255.0,108.0,60.0,150.0
Hindus,65.0,71.0,60.0,80.0,120.0,173.0,236.0,84.0,55.0,138.0
atheists,100.0,69.0,89.0,105.0,111.0,229.0,230.0,116.0,52.0,140.0
Buddhists,69.0,82.0,69.0,83.0,137.0,176.0,254.0,86.0,69.0,148.0
Catholics,79.0,62.0,68.0,87.0,124.0,185.0,241.0,109.0,54.0,138.0
Protestants,82.0,60.0,75.0,94.0,106.0,190.0,217.0,101.0,46.0,126.0
Sikhs,67.0,68.0,63.0,80.0,118.0,174.0,240.0,95.0,51.0,139.0
Mormons,78.0,67.0,73.0,88.0,116.0,188.0,225.0,95.0,60.0,134.0
