,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
L'Ethiopie,57.0,35.0,43.0,64.0,61.0,152.0,170.0,79.0,31.0,85.0
L'Europe,47.0,35.0,34.0,55.0,46.0,134.0,152.0,73.0,28.0,64.0
L'Ukraine,62.0,39.0,42.0,66.0,67.0,145.0,180.0,82.0,32.0,82.0
Le Soudan,67.0,39.0,37.0,58.0,66.0,142.0,178.0,72.0,26.0,85.0
L'Afghanistan,72.0,42.0,47.0,72.0,62.0,156.0,170.0,86.0,30.0,80.0
L'Irak,69.0,40.0,46.0,73.0,58.0,153.0,170.0,75.0,33.0,82.0
Le Yémen,55.0,40.0,39.0,61.0,59.0,139.0,164.0,73.0,27.0,85.0
La Russie,70.0,42.0,42.0,70.0,72.0,156.0,198.0,86.0,30.0,94.0
L'Italie,55.0,41.0,38.0,61.0,81.0,136.0,199.0,78.0,34.0,88.0
La Somalie,63.0,38.0,42.0,69.0,68.0,148.0,173.0,85.0,30.0,78.0
L'Iran,69.0,37.0,45.0,69.0,57.0,163.0,174.0,79.0,27.0,92.0
Le Venezuela,65.0,42.0,39.0,64.0,61.0,151.0,176.0,76.0,30.0,78.0
L'Oman,48.0,40.0,39.0,55.0,64.0,138.0,179.0,68.0,29.0,99.0
La Syrie,76.0,39.0,45.0,80.0,55.0,165.0,161.0,84.0,32.0,74.0
La Chine,59.0,44.0,39.0,62.0,67.0,148.0,177.0,72.0,31.0,83.0
L'Inde,64.0,40.0,46.0,71.0,66.0,157.0,181.0,85.0,30.0,91.0
La Grande-Bretagne,44.0,41.0,31.0,47.0,74.0,107.0,190.0,67.0,30.0,83.0
La France,53.0,36.0,32.0,55.0,54.0,138.0,142.0,73.0,25.0,63.0
La Grèce,51.0,37.0,36.0,57.0,66.0,134.0,176.0,71.0,34.0,85.0
L'Écosse,48.0,38.0,34.0,56.0,63.0,132.0,179.0,71.0,31.0,80.0
Le Paraguay,53.0,44.0,34.0,57.0,89.0,130.0,212.0,76.0,35.0,97.0
Le Brésil,56.0,52.0,37.0,52.0,88.0,125.0,218.0,79.0,29.0,104.0
L'Afrique,49.0,37.0,38.0,56.0,57.0,133.0,164.0,70.0,31.0,69.0
La Jordan,54.0,40.0,34.0,55.0,60.0,132.0,167.0,64.0,28.0,73.0
L'Indonésie,57.0,40.0,41.0,66.0,68.0,145.0,183.0,80.0,33.0,82.0
Le Viêt Nam,42.0,45.0,27.0,45.0,94.0,118.0,212.0,56.0,33.0,92.0
Le Pakistan,62.0,42.0,38.0,57.0,65.0,141.0,181.0,81.0,22.0,85.0
La Roumanie,66.0,39.0,41.0,67.0,77.0,148.0,197.0,83.0,32.0,93.0
L'Équateur,59.0,48.0,42.0,59.0,74.0,143.0,199.0,84.0,28.0,99.0
Le Mexique,58.0,47.0,37.0,59.0,100.0,130.0,226.0,75.0,35.0,98.0
Le Porto Rico,54.0,46.0,34.0,55.0,97.0,119.0,223.0,68.0,32.0,99.0
Le Cameroun,64.0,40.0,41.0,62.0,69.0,144.0,192.0,81.0,26.0,90.0
Le Kenya,55.0,43.0,34.0,56.0,69.0,141.0,169.0,70.0,29.0,76.0
Le Libéria,66.0,42.0,40.0,65.0,66.0,153.0,182.0,77.0,28.0,87.0
La Sierra Léon,52.0,41.0,32.0,55.0,81.0,128.0,190.0,67.0,32.0,81.0
Le Qatar,57.0,52.0,36.0,51.0,77.0,128.0,207.0,70.0,28.0,100.0
La Syrie,76.0,39.0,45.0,80.0,55.0,165.0,161.0,84.0,32.0,74.0
Le Kenya,55.0,43.0,34.0,56.0,69.0,141.0,169.0,70.0,29.0,76.0
L'Arabie Saoudite,67.0,40.0,45.0,70.0,66.0,158.0,192.0,83.0,32.0,92.0
Le Liban,60.0,42.0,40.0,64.0,71.0,143.0,191.0,73.0,30.0,91.0
L'Afrique du Sud,49.0,36.0,36.0,49.0,63.0,118.0,161.0,70.0,29.0,65.0
La Corée,55.0,37.0,35.0,56.0,69.0,129.0,185.0,69.0,29.0,83.0
Singapour,46.0,45.0,29.0,54.0,80.0,120.0,188.0,67.0,32.0,77.0
L'Allemagne,59.0,42.0,39.0,60.0,64.0,134.0,171.0,80.0,29.0,80.0
L'Irlande,52.0,41.0,39.0,58.0,81.0,131.0,202.0,73.0,34.0,88.0
Le Maroc,65.0,44.0,43.0,63.0,83.0,143.0,211.0,80.0,31.0,98.0
La Turquie,61.0,42.0,39.0,66.0,78.0,145.0,192.0,84.0,31.0,88.0
Le Laos,55.0,37.0,39.0,63.0,60.0,147.0,162.0,77.0,28.0,80.0
Le Bangladesh,59.0,40.0,41.0,59.0,61.0,141.0,155.0,74.0,24.0,73.0
Le Guatemala,55.0,42.0,35.0,59.0,74.0,136.0,190.0,72.0,32.0,83.0
Le Ghana,53.0,44.0,35.0,52.0,73.0,131.0,191.0,69.0,28.0,83.0
Le Népal,51.0,41.0,32.0,53.0,85.0,120.0,203.0,62.0,30.0,91.0
L'Albanie,53.0,37.0,32.0,59.0,63.0,131.0,174.0,76.0,28.0,82.0
L'Espagne,57.0,38.0,40.0,60.0,67.0,139.0,185.0,76.0,32.0,82.0
La Suède,61.0,41.0,40.0,61.0,65.0,140.0,182.0,78.0,31.0,85.0
L'Argentine,60.0,38.0,42.0,62.0,66.0,143.0,178.0,83.0,28.0,83.0
Le Chili,50.0,49.0,44.0,53.0,85.0,146.0,200.0,73.0,27.0,81.0
Taïwan,50.0,46.0,35.0,60.0,76.0,127.0,173.0,65.0,27.0,81.0
La Finlande,50.0,41.0,35.0,56.0,72.0,121.0,190.0,73.0,30.0,78.0
L'Australie,54.0,45.0,38.0,64.0,82.0,138.0,201.0,80.0,35.0,91.0
L'Égypte,60.0,37.0,43.0,69.0,60.0,156.0,175.0,81.0,31.0,91.0
Le Pérou,64.0,42.0,42.0,61.0,79.0,142.0,199.0,79.0,29.0,95.0
La Pologne,53.0,45.0,35.0,53.0,79.0,124.0,196.0,70.0,35.0,87.0
La Colombie,53.0,38.0,38.0,60.0,73.0,133.0,187.0,76.0,34.0,87.0
La Bolivie,59.0,43.0,41.0,66.0,82.0,144.0,191.0,76.0,33.0,82.0
Le Japon,52.0,44.0,36.0,56.0,86.0,132.0,202.0,65.0,31.0,86.0
La Norvège,39.0,41.0,27.0,44.0,81.0,100.0,201.0,58.0,33.0,87.0
Le Cap-Vert,62.0,48.0,35.0,59.0,76.0,135.0,185.0,73.0,28.0,94.0
Le Portugal,52.0,45.0,32.0,53.0,78.0,121.0,195.0,70.0,28.0,92.0
L'Autriche,55.0,39.0,39.0,63.0,72.0,147.0,192.0,81.0,31.0,98.0
Les Pays-Bas,50.0,32.0,33.0,52.0,64.0,134.0,147.0,81.0,28.0,59.0
La Croatie,50.0,44.0,31.0,51.0,75.0,120.0,193.0,71.0,30.0,88.0
Malte,55.0,39.0,38.0,62.0,74.0,135.0,179.0,69.0,32.0,84.0
La Belgique,57.0,41.0,37.0,58.0,67.0,126.0,175.0,76.0,31.0,79.0
