,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
filles,30.0,45.0,24.0,39.0,76.0,115.0,181.0,63.0,15.0,67.0
femmes,32.0,46.0,26.0,30.0,65.0,111.0,163.0,55.0,15.0,65.0
hommes,37.0,36.0,33.0,43.0,63.0,132.0,155.0,58.0,22.0,70.0
femelles,37.0,48.0,34.0,35.0,71.0,118.0,175.0,62.0,21.0,69.0
mâles,38.0,47.0,36.0,42.0,73.0,129.0,171.0,63.0,23.0,76.0
garçons,37.0,45.0,31.0,43.0,65.0,118.0,159.0,58.0,13.0,62.0
petits amis,30.0,52.0,19.0,50.0,99.0,103.0,194.0,54.0,24.0,87.0
petites amies,35.0,50.0,22.0,38.0,96.0,107.0,189.0,53.0,21.0,80.0
belles-mères,33.0,44.0,18.0,25.0,88.0,104.0,184.0,54.0,18.0,74.0
beaux-pères,30.0,45.0,19.0,31.0,84.0,95.0,185.0,48.0,18.0,86.0
dames,28.0,40.0,21.0,23.0,63.0,81.0,166.0,46.0,14.0,67.0
messieurs,38.0,35.0,34.0,44.0,56.0,124.0,144.0,63.0,19.0,79.0
frères,35.0,32.0,22.0,36.0,51.0,93.0,127.0,56.0,20.0,78.0
sœurs,27.0,34.0,20.0,28.0,60.0,88.0,142.0,56.0,20.0,71.0
mères,29.0,51.0,24.0,36.0,73.0,113.0,166.0,65.0,14.0,75.0
pères,37.0,39.0,29.0,38.0,52.0,119.0,134.0,63.0,18.0,80.0
grands-pères,35.0,39.0,27.0,39.0,62.0,112.0,150.0,61.0,19.0,79.0
grand-mères,30.0,44.0,25.0,31.0,69.0,114.0,171.0,66.0,13.0,75.0
mariées,32.0,45.0,20.0,29.0,79.0,97.0,183.0,50.0,17.0,81.0
mariés,34.0,37.0,29.0,43.0,60.0,110.0,156.0,54.0,22.0,80.0
écolières,31.0,45.0,23.0,29.0,46.0,111.0,148.0,54.0,21.0,59.0
écoliers,37.0,51.0,35.0,51.0,62.0,113.0,164.0,68.0,21.0,73.0
mamans,31.0,48.0,25.0,41.0,72.0,115.0,174.0,57.0,14.0,71.0
papas,43.0,44.0,33.0,48.0,59.0,136.0,150.0,64.0,20.0,75.0
