,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,50.0,50.0,35.0,57.0,67.0,135.0,160.0,60.0,26.0,68.0
nerds,55.0,56.0,37.0,62.0,75.0,141.0,175.0,65.0,22.0,74.0
ploucs,42.0,52.0,46.0,51.0,74.0,139.0,168.0,61.0,28.0,71.0
sans-abri,45.0,46.0,39.0,64.0,45.0,129.0,131.0,75.0,15.0,60.0
féministes,51.0,33.0,38.0,53.0,48.0,131.0,125.0,68.0,17.0,64.0
riches,33.0,37.0,33.0,37.0,57.0,121.0,141.0,62.0,18.0,70.0
pauvres,38.0,38.0,45.0,49.0,58.0,121.0,123.0,67.0,13.0,63.0
criminels,60.0,45.0,43.0,77.0,52.0,160.0,152.0,77.0,21.0,77.0
fraternités étudiantes,30.0,36.0,24.0,34.0,45.0,97.0,142.0,50.0,18.0,68.0
garçons de fraternité,37.0,44.0,36.0,48.0,66.0,114.0,165.0,68.0,18.0,73.0
filles de sororité,41.0,50.0,32.0,43.0,77.0,121.0,175.0,70.0,20.0,77.0
hippies,58.0,39.0,42.0,67.0,59.0,149.0,154.0,65.0,21.0,70.0
geeks,49.0,61.0,34.0,61.0,98.0,131.0,205.0,61.0,26.0,88.0
gothiques,49.0,39.0,38.0,51.0,56.0,133.0,167.0,58.0,26.0,79.0
punks,62.0,52.0,42.0,67.0,63.0,137.0,151.0,63.0,26.0,71.0
Californiens,52.0,39.0,40.0,56.0,66.0,139.0,153.0,66.0,23.0,70.0
célébrités,36.0,44.0,29.0,38.0,65.0,107.0,158.0,53.0,22.0,66.0
roux,42.0,48.0,33.0,44.0,65.0,123.0,158.0,59.0,23.0,66.0
