,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
étudiants,32.0,50.0,32.0,46.0,72.0,114.0,180.0,68.0,22.0,85.0
politiciens,63.0,43.0,41.0,65.0,60.0,154.0,154.0,72.0,18.0,82.0
médecins,43.0,49.0,33.0,48.0,56.0,139.0,157.0,61.0,20.0,89.0
hommes d'affaires,41.0,44.0,41.0,49.0,62.0,125.0,170.0,65.0,24.0,89.0
bibliothécaires,35.0,52.0,35.0,46.0,59.0,113.0,165.0,66.0,17.0,77.0
artistes,37.0,50.0,33.0,48.0,75.0,116.0,182.0,60.0,23.0,75.0
professeurs,30.0,48.0,32.0,46.0,59.0,123.0,155.0,63.0,19.0,80.0
prêtres,37.0,42.0,33.0,49.0,56.0,120.0,154.0,60.0,23.0,82.0
patrons,33.0,47.0,27.0,40.0,69.0,108.0,171.0,51.0,21.0,74.0
policiers,55.0,51.0,37.0,65.0,53.0,146.0,163.0,68.0,18.0,84.0
officiers de police,47.0,55.0,37.0,68.0,64.0,138.0,176.0,65.0,21.0,86.0
soldats,44.0,47.0,30.0,46.0,56.0,115.0,154.0,57.0,18.0,74.0
scientifiques,50.0,44.0,40.0,54.0,56.0,157.0,169.0,72.0,23.0,91.0
médecins,43.0,49.0,33.0,48.0,56.0,139.0,157.0,61.0,20.0,89.0
caissiers,37.0,58.0,38.0,54.0,59.0,123.0,161.0,65.0,19.0,76.0
femmes de ménage,32.0,45.0,25.0,35.0,67.0,109.0,170.0,57.0,13.0,70.0
enseignants,33.0,51.0,29.0,43.0,54.0,115.0,146.0,64.0,16.0,76.0
concierges,50.0,40.0,40.0,53.0,52.0,145.0,146.0,71.0,24.0,77.0
mannequins,42.0,54.0,36.0,36.0,86.0,122.0,189.0,53.0,22.0,80.0
actrices,31.0,44.0,23.0,36.0,74.0,106.0,178.0,49.0,24.0,70.0
pilotes,42.0,61.0,35.0,52.0,70.0,122.0,185.0,61.0,27.0,87.0
décapants,48.0,49.0,32.0,62.0,62.0,134.0,169.0,69.0,21.0,80.0
courtiers,44.0,54.0,33.0,54.0,60.0,122.0,171.0,63.0,20.0,86.0
coiffeurs,36.0,53.0,31.0,43.0,74.0,109.0,188.0,50.0,23.0,78.0
barmans,38.0,53.0,31.0,51.0,86.0,117.0,196.0,53.0,26.0,93.0
diplomates,44.0,50.0,36.0,57.0,63.0,137.0,176.0,69.0,24.0,91.0
réceptionnistes,27.0,53.0,27.0,42.0,74.0,109.0,193.0,51.0,21.0,87.0
agents immobiliers,34.0,58.0,33.0,41.0,72.0,84.0,190.0,52.0,20.0,105.0
mathématiciens,39.0,48.0,38.0,46.0,61.0,140.0,178.0,63.0,19.0,84.0
barbiers,42.0,53.0,31.0,49.0,77.0,112.0,183.0,54.0,26.0,80.0
entraîneurs,49.0,54.0,41.0,56.0,65.0,133.0,169.0,69.0,21.0,80.0
hommes d'affaires,41.0,44.0,41.0,49.0,62.0,125.0,170.0,65.0,24.0,89.0
ouvriers du bâtiment,33.0,57.0,38.0,51.0,68.0,107.0,170.0,72.0,21.0,85.0
gestionnaires,32.0,60.0,33.0,46.0,75.0,105.0,195.0,59.0,21.0,94.0
comptables,40.0,48.0,31.0,44.0,47.0,133.0,152.0,62.0,20.0,75.0
commandants,38.0,49.0,31.0,52.0,66.0,121.0,179.0,59.0,22.0,89.0
pompiers,46.0,57.0,36.0,58.0,62.0,127.0,168.0,65.0,22.0,85.0
déménageurs,31.0,51.0,31.0,52.0,59.0,117.0,164.0,59.0,16.0,80.0
avocats,42.0,53.0,38.0,54.0,56.0,125.0,165.0,63.0,22.0,87.0
boulangers,39.0,55.0,37.0,52.0,75.0,124.0,167.0,63.0,20.0,83.0
athlètes,37.0,57.0,32.0,44.0,77.0,106.0,181.0,57.0,19.0,83.0
danseurs,38.0,51.0,30.0,49.0,77.0,115.0,187.0,56.0,25.0,79.0
charpentiers,41.0,52.0,36.0,52.0,75.0,125.0,186.0,64.0,25.0,86.0
mécaniciens,45.0,48.0,37.0,52.0,61.0,142.0,182.0,64.0,22.0,85.0
bricoleurs,31.0,60.0,28.0,42.0,76.0,105.0,189.0,55.0,22.0,78.0
musiciens,36.0,48.0,31.0,51.0,62.0,123.0,159.0,56.0,27.0,71.0
détectives,50.0,50.0,35.0,64.0,70.0,130.0,177.0,61.0,23.0,87.0
entrepreneurs,32.0,54.0,32.0,43.0,66.0,111.0,171.0,59.0,17.0,85.0
chanteurs d'opéra,37.0,48.0,31.0,51.0,62.0,111.0,171.0,52.0,25.0,73.0
chefs,30.0,55.0,32.0,46.0,63.0,115.0,175.0,55.0,19.0,90.0
avocats,42.0,53.0,38.0,54.0,56.0,125.0,165.0,63.0,22.0,87.0
développeurs,45.0,66.0,42.0,64.0,77.0,137.0,186.0,66.0,24.0,91.0
agriculteurs,39.0,57.0,43.0,49.0,66.0,129.0,169.0,74.0,22.0,89.0
écrivains,39.0,43.0,36.0,48.0,61.0,128.0,156.0,61.0,21.0,77.0
promoteurs immobiliers,34.0,55.0,32.0,41.0,71.0,90.0,186.0,52.0,21.0,100.0
bouchers,36.0,49.0,36.0,51.0,65.0,129.0,158.0,59.0,23.0,79.0
électriciens,40.0,49.0,34.0,44.0,60.0,121.0,165.0,60.0,19.0,76.0
procureurs,47.0,51.0,35.0,55.0,62.0,130.0,179.0,67.0,22.0,90.0
banquiers,47.0,54.0,35.0,48.0,57.0,122.0,157.0,54.0,16.0,80.0
cuisiniers,29.0,49.0,31.0,43.0,72.0,110.0,187.0,55.0,23.0,86.0
plombiers,33.0,60.0,34.0,50.0,66.0,121.0,177.0,62.0,23.0,87.0
joueurs de football,38.0,62.0,37.0,51.0,91.0,111.0,200.0,56.0,21.0,95.0
boxeurs,47.0,62.0,35.0,50.0,77.0,121.0,182.0,58.0,21.0,82.0
joueurs d'échecs,45.0,67.0,42.0,65.0,91.0,141.0,202.0,66.0,28.0,95.0
nageurs,42.0,59.0,34.0,51.0,80.0,123.0,189.0,57.0,21.0,86.0
joueurs de tennis,42.0,64.0,39.0,52.0,83.0,117.0,194.0,58.0,22.0,93.0
managers,39.0,63.0,38.0,59.0,76.0,120.0,197.0,57.0,24.0,106.0
agents,41.0,54.0,30.0,51.0,60.0,110.0,178.0,55.0,23.0,88.0
producteurs,38.0,60.0,39.0,43.0,61.0,128.0,170.0,63.0,23.0,91.0
chercheurs,39.0,51.0,35.0,47.0,65.0,127.0,173.0,68.0,20.0,89.0
économistes,48.0,48.0,42.0,47.0,60.0,137.0,162.0,74.0,16.0,90.0
physiciens,48.0,47.0,41.0,53.0,64.0,146.0,180.0,68.0,22.0,94.0
psychologues,50.0,49.0,40.0,61.0,64.0,138.0,177.0,69.0,23.0,88.0
vendeurs,40.0,57.0,40.0,55.0,63.0,129.0,166.0,66.0,19.0,89.0
assistants,33.0,55.0,31.0,49.0,70.0,109.0,176.0,55.0,21.0,81.0
ingénieurs,33.0,50.0,35.0,41.0,60.0,109.0,163.0,55.0,17.0,76.0
comédiens,42.0,49.0,36.0,52.0,67.0,124.0,172.0,64.0,23.0,83.0
peintres,35.0,47.0,28.0,40.0,70.0,120.0,168.0,55.0,23.0,73.0
fonctionnaires,36.0,56.0,37.0,49.0,66.0,112.0,178.0,70.0,19.0,84.0
guitaristes,41.0,55.0,31.0,59.0,73.0,118.0,173.0,57.0,27.0,81.0
linguistes,43.0,45.0,38.0,50.0,57.0,141.0,160.0,62.0,22.0,78.0
ouvriers,35.0,52.0,41.0,48.0,64.0,113.0,163.0,69.0,20.0,81.0
historiens,52.0,30.0,38.0,52.0,46.0,138.0,148.0,61.0,23.0,71.0
chimistes,60.0,44.0,41.0,68.0,63.0,164.0,163.0,76.0,24.0,82.0
retraités,42.0,50.0,41.0,49.0,58.0,120.0,153.0,73.0,13.0,66.0
artistes interprètes,34.0,50.0,33.0,46.0,65.0,114.0,176.0,59.0,23.0,76.0
chanteurs,36.0,55.0,28.0,49.0,83.0,112.0,188.0,56.0,25.0,78.0
secrétaires,32.0,45.0,32.0,39.0,57.0,102.0,163.0,59.0,19.0,80.0
auditeurs,37.0,58.0,32.0,56.0,79.0,118.0,192.0,71.0,29.0,81.0
conseillers,35.0,49.0,31.0,40.0,66.0,99.0,185.0,59.0,19.0,91.0
dentistes,35.0,52.0,29.0,48.0,66.0,119.0,178.0,58.0,22.0,86.0
analystes,47.0,54.0,40.0,50.0,64.0,141.0,186.0,69.0,25.0,94.0
infirmières,31.0,47.0,25.0,37.0,54.0,108.0,152.0,53.0,14.0,66.0
serveurs,34.0,51.0,24.0,42.0,36.0,115.0,145.0,46.0,20.0,67.0
auteurs,36.0,45.0,33.0,49.0,60.0,113.0,179.0,59.0,22.0,86.0
architectes,33.0,53.0,35.0,48.0,62.0,124.0,169.0,57.0,24.0,80.0
universitaires,40.0,46.0,39.0,46.0,53.0,124.0,160.0,70.0,20.0,79.0
réalisateurs,38.0,52.0,36.0,52.0,59.0,122.0,163.0,62.0,22.0,74.0
illustrateurs,32.0,63.0,33.0,48.0,105.0,111.0,223.0,55.0,27.0,86.0
greffiers,44.0,46.0,32.0,51.0,62.0,126.0,164.0,60.0,19.0,82.0
photographes,38.0,49.0,24.0,42.0,91.0,110.0,207.0,50.0,24.0,87.0
nettoyeurs,40.0,46.0,30.0,31.0,57.0,108.0,179.0,49.0,17.0,82.0
compositeurs,35.0,49.0,35.0,49.0,63.0,120.0,177.0,60.0,24.0,80.0
pharmaciens,39.0,57.0,31.0,46.0,59.0,127.0,161.0,64.0,16.0,89.0
sociologues,44.0,45.0,40.0,48.0,51.0,136.0,153.0,66.0,22.0,75.0
journalistes,46.0,54.0,34.0,51.0,60.0,134.0,170.0,67.0,20.0,83.0
gardes,42.0,43.0,29.0,43.0,45.0,113.0,138.0,55.0,20.0,63.0
acteurs,34.0,49.0,25.0,45.0,65.0,93.0,176.0,54.0,20.0,74.0
sages-femmes,40.0,41.0,32.0,37.0,69.0,119.0,180.0,65.0,19.0,88.0
shérifs,48.0,40.0,38.0,55.0,51.0,141.0,151.0,58.0,21.0,76.0
