,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asiatiques,47.0,35.0,38.0,52.0,60.0,136.0,162.0,67.0,23.0,62.0
Américains,45.0,36.0,40.0,51.0,53.0,141.0,139.0,68.0,19.0,60.0
Européens,42.0,35.0,38.0,51.0,54.0,140.0,140.0,75.0,20.0,70.0
Juifs,47.0,28.0,41.0,56.0,50.0,136.0,126.0,71.0,20.0,64.0
Indiens,42.0,34.0,36.0,50.0,55.0,135.0,145.0,57.0,25.0,61.0
Russes,55.0,39.0,40.0,56.0,57.0,136.0,152.0,69.0,19.0,69.0
Africains,45.0,33.0,39.0,54.0,50.0,138.0,130.0,68.0,21.0,59.0
Noirs,41.0,38.0,27.0,44.0,61.0,108.0,137.0,59.0,28.0,63.0
Mexicains,51.0,47.0,41.0,60.0,67.0,136.0,154.0,71.0,24.0,70.0
Blancs,44.0,34.0,37.0,45.0,52.0,135.0,119.0,67.0,23.0,57.0
personnes Noirs,35.0,37.0,28.0,45.0,74.0,102.0,172.0,61.0,22.0,78.0
personnes blanches,37.0,36.0,29.0,38.0,65.0,117.0,145.0,67.0,21.0,63.0
Allemands,46.0,36.0,38.0,53.0,58.0,127.0,144.0,58.0,24.0,72.0
Blondes,26.0,38.0,18.0,21.0,65.0,84.0,151.0,40.0,22.0,61.0
filles blondes,27.0,47.0,18.0,28.0,80.0,98.0,194.0,47.0,22.0,73.0
Arabes,43.0,31.0,40.0,52.0,51.0,134.0,130.0,63.0,22.0,60.0
Américains blancs,45.0,30.0,46.0,45.0,44.0,138.0,114.0,68.0,19.0,52.0
Américains noirs,50.0,25.0,44.0,60.0,46.0,135.0,114.0,71.0,19.0,54.0
Hispaniques,51.0,43.0,35.0,55.0,64.0,133.0,161.0,65.0,27.0,76.0
Amérindiens,49.0,48.0,34.0,47.0,70.0,116.0,173.0,63.0,22.0,84.0
hommes noirs,49.0,29.0,47.0,62.0,51.0,143.0,124.0,69.0,24.0,60.0
hommes blancs,43.0,31.0,41.0,47.0,51.0,132.0,123.0,61.0,23.0,57.0
