,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
homosexuels,46.0,43.0,40.0,57.0,63.0,126.0,145.0,71.0,20.0,77.0
lesbiennes,36.0,49.0,34.0,40.0,71.0,122.0,160.0,66.0,20.0,72.0
queers,50.0,45.0,43.0,57.0,63.0,132.0,153.0,63.0,25.0,68.0
transgenres,38.0,38.0,37.0,48.0,52.0,122.0,161.0,60.0,23.0,77.0
homosexuels,46.0,43.0,40.0,57.0,63.0,126.0,145.0,71.0,20.0,77.0
personnes pansexuelles,39.0,34.0,35.0,47.0,59.0,122.0,148.0,66.0,22.0,72.0
personnes queers,36.0,37.0,31.0,51.0,75.0,124.0,173.0,71.0,23.0,79.0
pédés,48.0,45.0,38.0,57.0,52.0,138.0,141.0,66.0,19.0,68.0
personnes bisexuelles,34.0,30.0,29.0,47.0,65.0,109.0,154.0,69.0,23.0,73.0
personnes asexuelles,43.0,35.0,34.0,54.0,61.0,132.0,155.0,71.0,23.0,74.0
travestis,41.0,50.0,29.0,43.0,85.0,117.0,187.0,49.0,24.0,78.0
tapettes,32.0,44.0,23.0,32.0,60.0,92.0,152.0,45.0,18.0,54.0
