,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Αιθιοπία,6.0,12.0,0.0,4.0,6.0,14.0,26.0,9.0,11.0,5.0
Ευρώπη,7.0,15.0,0.0,5.0,6.0,15.0,17.0,10.0,11.0,0.0
Ουκρανία,8.0,14.0,0.0,7.0,5.0,20.0,21.0,10.0,10.0,1.0
Σουδάν,9.0,12.0,0.0,5.0,4.0,23.0,12.0,9.0,10.0,2.0
Αφγανιστάν,7.0,13.0,0.0,5.0,4.0,19.0,18.0,10.0,11.0,0.0
Ιράκ,14.0,16.0,0.0,11.0,6.0,27.0,18.0,10.0,10.0,5.0
Γέμενη,6.0,8.0,0.0,5.0,1.0,15.0,12.0,10.0,9.0,2.0
Ρωσία,14.0,12.0,0.0,9.0,4.0,26.0,21.0,11.0,10.0,4.0
Ιταλία,9.0,15.0,0.0,8.0,7.0,22.0,22.0,11.0,12.0,1.0
Σομαλία,12.0,9.0,0.0,9.0,1.0,22.0,16.0,10.0,10.0,4.0
Ιράν,9.0,14.0,0.0,7.0,5.0,23.0,16.0,9.0,10.0,3.0
Βενεζουέλα,10.0,15.0,0.0,6.0,7.0,20.0,20.0,11.0,11.0,2.0
Ομάν,9.0,9.0,0.0,4.0,2.0,21.0,11.0,9.0,10.0,4.0
Συρία,11.0,12.0,0.0,8.0,5.0,20.0,16.0,10.0,10.0,1.0
Κίνα,9.0,18.0,0.0,5.0,8.0,21.0,24.0,12.0,11.0,3.0
Ινδία,2.0,13.0,0.0,1.0,6.0,13.0,19.0,6.0,10.0,3.0
Βρετανία,9.0,16.0,0.0,9.0,8.0,22.0,27.0,10.0,10.0,3.0
Γαλλία,9.0,14.0,0.0,9.0,6.0,22.0,19.0,10.0,10.0,2.0
Ελλάδα,7.0,15.0,0.0,8.0,6.0,20.0,18.0,10.0,11.0,0.0
Σκωτία,8.0,17.0,0.0,7.0,8.0,19.0,24.0,10.0,11.0,3.0
Παραγουάη,7.0,13.0,0.0,5.0,6.0,16.0,21.0,10.0,11.0,0.0
Βραζιλία,9.0,16.0,0.0,7.0,7.0,21.0,21.0,11.0,11.0,2.0
Αφρική,6.0,12.0,0.0,5.0,5.0,15.0,23.0,10.0,10.0,0.0
Ιορδανία,5.0,12.0,1.0,1.0,5.0,12.0,20.0,8.0,11.0,8.0
Ινδονησία,8.0,16.0,0.0,5.0,8.0,15.0,21.0,10.0,11.0,3.0
Βιετνάμ,8.0,15.0,0.0,7.0,6.0,20.0,17.0,10.0,11.0,3.0
Πακιστάν,9.0,11.0,0.0,7.0,4.0,21.0,19.0,8.0,10.0,5.0
Ρουμανία,9.0,14.0,1.0,10.0,7.0,18.0,18.0,10.0,11.0,5.0
Εκουαδόρ,8.0,15.0,0.0,5.0,7.0,18.0,22.0,10.0,11.0,1.0
Μεξικό,5.0,8.0,0.0,4.0,2.0,15.0,15.0,7.0,10.0,4.0
Πουέρτο Ρίκο,11.0,17.0,0.0,8.0,9.0,23.0,22.0,11.0,12.0,4.0
Καμερούν,9.0,8.0,0.0,9.0,1.0,23.0,18.0,10.0,10.0,7.0
Κένυα,8.0,15.0,0.0,5.0,7.0,19.0,20.0,10.0,10.0,2.0
Λιβερία,9.0,15.0,0.0,8.0,6.0,19.0,21.0,10.0,11.0,3.0
Σιέρα Λεόν,12.0,13.0,0.0,7.0,5.0,24.0,13.0,10.0,10.0,1.0
Κατάρ,15.0,14.0,0.0,9.0,5.0,27.0,18.0,10.0,11.0,5.0
Συρία,11.0,12.0,0.0,8.0,5.0,20.0,16.0,10.0,10.0,1.0
Κενύα,7.0,11.0,0.0,5.0,3.0,20.0,17.0,10.0,10.0,5.0
Σαουδική Αραβία,5.0,17.0,0.0,3.0,8.0,17.0,21.0,7.0,11.0,4.0
Λίβανος,8.0,12.0,0.0,4.0,5.0,18.0,13.0,9.0,9.0,0.0
Νότια Αφρική,9.0,16.0,0.0,5.0,7.0,17.0,28.0,10.0,11.0,2.0
Κορέα,7.0,16.0,0.0,7.0,7.0,22.0,22.0,11.0,11.0,6.0
Σιγκαπούρη,9.0,14.0,0.0,7.0,7.0,20.0,18.0,10.0,11.0,1.0
Γερμανία,10.0,13.0,0.0,9.0,5.0,22.0,18.0,10.0,10.0,0.0
Ιρλανδία,6.0,17.0,0.0,5.0,8.0,16.0,21.0,9.0,11.0,3.0
Μαρόκο,8.0,14.0,0.0,9.0,6.0,21.0,16.0,10.0,10.0,2.0
Τουρκία,12.0,15.0,0.0,7.0,7.0,22.0,20.0,8.0,10.0,5.0
Λάος,5.0,9.0,0.0,5.0,2.0,18.0,12.0,10.0,8.0,3.0
Μπαγκλαντές,8.0,13.0,0.0,9.0,5.0,21.0,21.0,11.0,11.0,8.0
Γουατεμάλα,9.0,16.0,0.0,5.0,9.0,17.0,24.0,10.0,10.0,4.0
Γκάνα,11.0,12.0,0.0,6.0,5.0,18.0,22.0,10.0,10.0,4.0
Νεπάλ,9.0,9.0,0.0,5.0,2.0,21.0,16.0,9.0,11.0,5.0
Αλβανία,6.0,13.0,0.0,7.0,4.0,19.0,16.0,10.0,10.0,0.0
Ισπανία,7.0,13.0,0.0,6.0,6.0,19.0,22.0,10.0,11.0,0.0
Σουηδία,7.0,10.0,0.0,3.0,3.0,19.0,14.0,7.0,10.0,4.0
Αργεντίνη,12.0,16.0,0.0,10.0,6.0,25.0,20.0,10.0,11.0,1.0
Χιλή,7.0,13.0,0.0,4.0,6.0,16.0,19.0,9.0,11.0,3.0
Ταϊβάν,10.0,19.0,0.0,6.0,10.0,20.0,31.0,10.0,12.0,5.0
Φινλανδία,6.0,13.0,0.0,5.0,4.0,17.0,18.0,9.0,11.0,1.0
Αυστραλία,9.0,16.0,0.0,7.0,7.0,22.0,25.0,10.0,11.0,5.0
Αίγυπτος,7.0,13.0,0.0,5.0,4.0,20.0,18.0,10.0,10.0,2.0
Περού,6.0,15.0,0.0,5.0,6.0,22.0,17.0,10.0,11.0,0.0
Πολωνία,8.0,15.0,0.0,5.0,5.0,18.0,21.0,8.0,11.0,5.0
Κολομβία,9.0,16.0,0.0,7.0,6.0,20.0,23.0,11.0,11.0,4.0
Βολιβία,7.0,15.0,0.0,5.0,6.0,18.0,20.0,11.0,11.0,2.0
Ιαπωνία,8.0,18.0,0.0,5.0,8.0,16.0,22.0,9.0,12.0,3.0
Νορβηγία,10.0,16.0,0.0,7.0,7.0,24.0,23.0,11.0,11.0,3.0
Πράσινο Ακρωτήριο,8.0,19.0,0.0,6.0,7.0,16.0,23.0,10.0,12.0,4.0
Πορτογαλία,7.0,16.0,0.0,5.0,7.0,14.0,21.0,10.0,11.0,2.0
Αυστρία,7.0,17.0,0.0,4.0,8.0,19.0,24.0,10.0,11.0,4.0
Ολλανδία,9.0,17.0,0.0,5.0,8.0,17.0,23.0,9.0,12.0,3.0
Κροατία,8.0,15.0,0.0,7.0,6.0,21.0,20.0,10.0,10.0,2.0
Μάλτα,8.0,15.0,0.0,5.0,6.0,20.0,22.0,10.0,10.0,1.0
Βέλγιο,7.0,15.0,0.0,6.0,6.0,21.0,18.0,9.0,11.0,2.0
