,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
κορίτσια,10.0,26.0,0.0,8.0,14.0,21.0,39.0,9.0,11.0,13.0
γυναίκες,8.0,9.0,1.0,4.0,2.0,13.0,18.0,9.0,11.0,1.0
άνδρες,11.0,12.0,0.0,5.0,5.0,22.0,15.0,10.0,10.0,5.0
θηλυκά,6.0,11.0,0.0,5.0,3.0,23.0,19.0,10.0,11.0,4.0
αρσενικά,4.0,13.0,0.0,3.0,4.0,17.0,20.0,8.0,10.0,8.0
αγόρια,10.0,23.0,0.0,7.0,12.0,13.0,31.0,9.0,11.0,7.0
φίλοι,8.0,17.0,0.0,7.0,7.0,22.0,18.0,13.0,12.0,2.0
φίλες,8.0,17.0,0.0,6.0,10.0,16.0,17.0,13.0,10.0,5.0
μητριές,7.0,13.0,0.0,6.0,6.0,17.0,17.0,11.0,12.0,5.0
πατριοί,6.0,12.0,0.0,4.0,4.0,14.0,10.0,9.0,11.0,2.0
Κυρίες,4.0,10.0,0.0,4.0,1.0,11.0,12.0,9.0,8.0,3.0
Κύριοι,4.0,10.0,0.0,1.0,0.0,16.0,11.0,6.0,9.0,4.0
αδελφοί,9.0,9.0,0.0,5.0,1.0,24.0,6.0,13.0,10.0,1.0
αδελφές,5.0,14.0,0.0,4.0,6.0,15.0,16.0,11.0,11.0,3.0
μητέρες,7.0,10.0,0.0,5.0,2.0,21.0,12.0,10.0,11.0,4.0
πατέρες,6.0,10.0,0.0,3.0,2.0,19.0,10.0,8.0,11.0,2.0
παππούδες,5.0,14.0,0.0,7.0,5.0,24.0,15.0,10.0,10.0,3.0
γιαγιάδες,4.0,16.0,0.0,6.0,7.0,16.0,19.0,9.0,11.0,1.0
νύφες,6.0,14.0,0.0,5.0,5.0,18.0,16.0,10.0,10.0,1.0
γαμπροί,4.0,13.0,0.0,4.0,5.0,16.0,11.0,10.0,10.0,0.0
μαθήτριες,9.0,15.0,0.0,5.0,6.0,18.0,19.0,10.0,11.0,4.0
μαθητές,9.0,16.0,0.0,5.0,6.0,25.0,17.0,10.0,12.0,6.0
μαμάδες,7.0,19.0,0.0,5.0,10.0,13.0,25.0,7.0,11.0,4.0
μπαμπάδες,8.0,16.0,0.0,6.0,8.0,16.0,19.0,10.0,11.0,2.0
