,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χίπστερ,7.0,9.0,0.0,5.0,2.0,19.0,12.0,10.0,10.0,4.0
σπασίκλες,10.0,15.0,0.0,6.0,7.0,17.0,22.0,10.0,11.0,3.0
βλάχοι,8.0,10.0,0.0,5.0,4.0,20.0,9.0,10.0,11.0,1.0
άστεγοι,8.0,18.0,0.0,5.0,10.0,18.0,18.0,9.0,14.0,4.0
φεμινίστριες,12.0,15.0,0.0,5.0,5.0,14.0,24.0,10.0,10.0,1.0
πλούσιοι,10.0,15.0,1.0,5.0,8.0,12.0,19.0,9.0,10.0,8.0
φτωχοί,11.0,17.0,1.0,6.0,8.0,15.0,17.0,10.0,12.0,7.0
εγκληματίες,9.0,12.0,0.0,5.0,2.0,22.0,10.0,10.0,11.0,1.0
aδελφότητες,4.0,8.0,0.0,4.0,0.0,12.0,10.0,11.0,10.0,1.0
μέλος aδελφότητας,5.0,9.0,0.0,3.0,2.0,14.0,19.0,9.0,10.0,7.0
μέλος aδελφότητας,5.0,9.0,0.0,3.0,2.0,14.0,19.0,9.0,10.0,7.0
χίπιδες,9.0,16.0,0.0,5.0,7.0,17.0,19.0,10.0,12.0,2.0
φυτά,9.0,13.0,1.0,6.0,4.0,19.0,27.0,10.0,11.0,3.0
γκοθ,12.0,10.0,0.0,5.0,4.0,21.0,20.0,11.0,11.0,4.0
πανκ,6.0,14.0,0.0,5.0,6.0,17.0,16.0,10.0,10.0,4.0
Καλιφορνέζοι,8.0,16.0,0.0,4.0,8.0,18.0,16.0,10.0,11.0,3.0
διασημότητες,4.0,10.0,0.0,4.0,2.0,16.0,19.0,10.0,10.0,3.0
κοκκινομάλλες,9.0,17.0,0.0,5.0,8.0,16.0,22.0,10.0,12.0,2.0
