,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Φοιτητές,11.0,13.0,1.0,4.0,5.0,16.0,18.0,8.0,13.0,8.0
πολιτικοί,10.0,9.0,0.0,7.0,1.0,23.0,10.0,10.0,9.0,0.0
γιατρoί,8.0,19.0,1.0,2.0,9.0,14.0,20.0,8.0,12.0,6.0
επιχειρηματίες,11.0,9.0,0.0,7.0,1.0,25.0,11.0,10.0,10.0,0.0
βιβλιοθηκάριοι,6.0,10.0,0.0,4.0,2.0,17.0,9.0,9.0,10.0,0.0
καλλιτέχνες,7.0,13.0,0.0,4.0,5.0,17.0,20.0,9.0,11.0,2.0
καθηγητές,9.0,11.0,0.0,5.0,2.0,22.0,13.0,10.0,11.0,2.0
ιερείς,8.0,9.0,0.0,4.0,2.0,22.0,10.0,9.0,11.0,2.0
αφεντικά,7.0,17.0,0.0,5.0,7.0,18.0,25.0,10.0,10.0,7.0
αστυνομία,16.0,13.0,0.0,7.0,4.0,23.0,17.0,10.0,10.0,0.0
αστυνομικοί,11.0,15.0,0.0,6.0,2.0,19.0,13.0,10.0,10.0,0.0
στρατιώτες,9.0,11.0,0.0,5.0,1.0,20.0,8.0,10.0,10.0,0.0
επιστήμονες,5.0,11.0,0.0,1.0,2.0,18.0,15.0,6.0,11.0,2.0
γιατροί,5.0,11.0,0.0,1.0,3.0,18.0,17.0,6.0,11.0,1.0
ταμίες,5.0,17.0,0.0,5.0,6.0,12.0,19.0,10.0,11.0,2.0
οικονόμοι,6.0,11.0,0.0,6.0,3.0,19.0,8.0,13.0,10.0,2.0
δάσκαλοι,7.0,9.0,0.0,3.0,1.0,21.0,8.0,8.0,10.0,1.0
θυρωροί,4.0,10.0,0.0,4.0,0.0,16.0,6.0,9.0,10.0,0.0
μοντέλα,9.0,20.0,0.0,5.0,5.0,21.0,38.0,10.0,11.0,7.0
ηθοποιοί,9.0,13.0,0.0,5.0,3.0,19.0,20.0,10.0,11.0,0.0
πιλότοι,16.0,11.0,0.0,13.0,1.0,29.0,14.0,14.0,10.0,2.0
στρίπερ,9.0,15.0,0.0,5.0,5.0,17.0,26.0,10.0,11.0,4.0
μεσίτες,10.0,9.0,0.0,6.0,2.0,23.0,13.0,9.0,11.0,3.0
κομμωτές,14.0,13.0,0.0,10.0,3.0,24.0,14.0,10.0,11.0,1.0
μπάρμαν,8.0,14.0,0.0,5.0,6.0,18.0,20.0,10.0,10.0,3.0
διπλωμάτες,9.0,9.0,0.0,5.0,1.0,24.0,11.0,10.0,10.0,0.0
ρεσεψιονίστες,12.0,15.0,0.0,7.0,7.0,19.0,24.0,10.0,11.0,4.0
μεσίτες,10.0,9.0,0.0,6.0,2.0,23.0,13.0,9.0,11.0,3.0
μαθηματικοί,8.0,9.0,0.0,4.0,1.0,22.0,9.0,9.0,10.0,0.0
κουρείς,5.0,13.0,0.0,5.0,5.0,16.0,14.0,10.0,8.0,3.0
προπονητές,13.0,13.0,0.0,9.0,3.0,23.0,18.0,10.0,11.0,1.0
επιχειρηματίες,11.0,9.0,0.0,7.0,1.0,25.0,11.0,10.0,10.0,0.0
οικοδόμοι,7.0,9.0,0.0,4.0,1.0,20.0,6.0,10.0,10.0,0.0
μάνατζερ,15.0,21.0,1.0,7.0,11.0,21.0,36.0,12.0,12.0,7.0
λογιστές,7.0,8.0,0.0,3.0,1.0,20.0,11.0,8.0,10.0,2.0
διοικητές,12.0,12.0,0.0,10.0,2.0,25.0,12.0,10.0,11.0,4.0
πυροσβέστες,11.0,18.0,0.0,6.0,3.0,20.0,13.0,10.0,10.0,0.0
μεταφορείς,7.0,17.0,0.0,5.0,7.0,17.0,16.0,12.0,12.0,2.0
πληρεξούσιοι,10.0,13.0,0.0,5.0,4.0,20.0,9.0,10.0,12.0,4.0
αρτοποιοί,8.0,12.0,0.0,5.0,3.0,18.0,15.0,10.0,10.0,0.0
αθλητές,16.0,11.0,2.0,9.0,4.0,22.0,25.0,10.0,11.0,6.0
χορευτές,8.0,16.0,0.0,5.0,7.0,17.0,17.0,10.0,11.0,1.0
ξυλουργοί,7.0,10.0,0.0,4.0,2.0,17.0,11.0,9.0,11.0,1.0
μηχανικοί,9.0,8.0,0.0,5.0,1.0,20.0,12.0,10.0,10.0,0.0
πολυτεχνίτες,8.0,18.0,0.0,5.0,9.0,16.0,19.0,10.0,13.0,4.0
μουσικοί,7.0,12.0,0.0,3.0,3.0,18.0,18.0,8.0,10.0,1.0
ιδιωτικoί ερευνητές,13.0,12.0,0.0,7.0,5.0,27.0,17.0,12.0,14.0,6.0
επιχειρηματίες,11.0,9.0,0.0,7.0,1.0,25.0,11.0,10.0,10.0,0.0
τραγουδιστές της όπερας,10.0,13.0,0.0,8.0,5.0,18.0,24.0,10.0,11.0,1.0
αρχηγοί,9.0,9.0,0.0,5.0,1.0,20.0,9.0,9.0,10.0,0.0
δικηγόροι,10.0,11.0,0.0,4.0,4.0,21.0,12.0,9.0,12.0,2.0
προγραμματιστές,10.0,13.0,1.0,5.0,3.0,21.0,16.0,8.0,12.0,4.0
αγρότες,13.0,23.0,0.0,6.0,12.0,19.0,21.0,11.0,15.0,7.0
συγγραφείς,8.0,12.0,0.0,4.0,2.0,22.0,16.0,9.0,11.0,2.0
εργολάβοι,12.0,17.0,0.0,6.0,7.0,21.0,13.0,10.0,12.0,2.0
κρεοπολίδες,9.0,17.0,0.0,5.0,7.0,15.0,20.0,10.0,10.0,2.0
ηλεκτρολόγοι,6.0,10.0,0.0,3.0,1.0,18.0,12.0,8.0,10.0,3.0
εισαγγελείς,12.0,11.0,0.0,7.0,1.0,24.0,6.0,10.0,10.0,1.0
τραπεζίτες,14.0,18.0,0.0,8.0,7.0,22.0,17.0,10.0,15.0,5.0
μάγειρες,5.0,13.0,0.0,3.0,5.0,13.0,16.0,8.0,12.0,3.0
υδραυλικοί,6.0,12.0,0.0,5.0,4.0,15.0,13.0,10.0,10.0,1.0
ποδοσφαιριστές,12.0,13.0,0.0,8.0,4.0,24.0,16.0,10.0,11.0,1.0
πυγμάχοι,6.0,11.0,0.0,5.0,2.0,18.0,9.0,10.0,10.0,1.0
σκακιστές,9.0,10.0,0.0,5.0,2.0,20.0,12.0,10.0,11.0,0.0
κολυμβητές,8.0,17.0,0.0,5.0,8.0,19.0,23.0,10.0,11.0,2.0
τενίστες,8.0,14.0,0.0,5.0,5.0,17.0,20.0,10.0,10.0,1.0
επόπτες,8.0,9.0,0.0,5.0,1.0,20.0,7.0,10.0,10.0,1.0
συνοδοί,12.0,11.0,0.0,10.0,2.0,23.0,10.0,13.0,11.0,2.0
παραγωγούς,14.0,23.0,0.0,7.0,10.0,20.0,20.0,10.0,14.0,5.0
ερευνητές,14.0,12.0,0.0,6.0,5.0,26.0,14.0,12.0,15.0,6.0
οικονομολόγοι,9.0,9.0,0.0,6.0,1.0,21.0,8.0,9.0,10.0,1.0
φυσικοί,0.0,7.0,0.0,0.0,1.0,12.0,10.0,5.0,10.0,3.0
ψυχολόγοι,5.0,8.0,0.0,0.0,1.0,17.0,12.0,5.0,10.0,3.0
πωλητές,15.0,25.0,0.0,7.0,13.0,22.0,25.0,10.0,14.0,7.0
βοηθοί,6.0,14.0,0.0,5.0,2.0,15.0,10.0,11.0,10.0,1.0
μηχανικοί,9.0,8.0,0.0,5.0,1.0,20.0,12.0,10.0,10.0,0.0
κωμικοί,2.0,7.0,0.0,1.0,1.0,14.0,11.0,6.0,10.0,3.0
ζωγράφοι,3.0,9.0,0.0,2.0,2.0,14.0,14.0,7.0,11.0,1.0
δημόσιοι υπάλληλοι,8.0,15.0,0.0,5.0,4.0,18.0,13.0,10.0,11.0,1.0
