,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ασιάτες,9.0,10.0,0.0,5.0,3.0,21.0,12.0,10.0,10.0,1.0
Αμερικανοί,11.0,12.0,0.0,7.0,3.0,25.0,15.0,11.0,10.0,5.0
Ευρωπαίοι,9.0,10.0,0.0,5.0,2.0,19.0,9.0,9.0,11.0,1.0
Εβραίοι,9.0,9.0,0.0,4.0,2.0,21.0,7.0,9.0,10.0,2.0
Ινδοί,7.0,7.0,0.0,2.0,1.0,20.0,10.0,7.0,10.0,0.0
Ρώσοι,9.0,9.0,0.0,4.0,2.0,21.0,8.0,9.0,10.0,2.0
Αφρικανοί,8.0,10.0,0.0,4.0,2.0,20.0,9.0,9.0,10.0,1.0
Μαύροι άνθρωποι,4.0,9.0,0.0,4.0,1.0,14.0,11.0,9.0,10.0,0.0
Μεξικανοί,9.0,9.0,0.0,4.0,1.0,21.0,8.0,9.0,10.0,1.0
Λευκοί,7.0,10.0,0.0,4.0,2.0,19.0,12.0,10.0,11.0,3.0
Έγχρωμοι,6.0,12.0,0.0,5.0,2.0,18.0,12.0,10.0,10.0,0.0
Λευκοί άνθρωποι,7.0,10.0,0.0,4.0,1.0,19.0,10.0,9.0,10.0,0.0
Γερμανοί,11.0,8.0,0.0,9.0,1.0,23.0,17.0,9.0,10.0,7.0
ξανθιές,10.0,16.0,0.0,5.0,6.0,12.0,36.0,9.0,10.0,5.0
ξανθά κορίτσια,10.0,27.0,0.0,5.0,14.0,16.0,47.0,7.0,11.0,16.0
Άραβες,9.0,11.0,0.0,4.0,4.0,21.0,14.0,9.0,11.0,1.0
Λευκοί Αμερικανοί,11.0,9.0,0.0,9.0,1.0,27.0,20.0,11.0,10.0,9.0
Έγχρωμοι Αμερικανοί,10.0,10.0,0.0,5.0,1.0,23.0,14.0,10.0,10.0,4.0
Ισπανόφωνοι,8.0,12.0,0.0,4.0,5.0,24.0,14.0,13.0,10.0,1.0
Ιθαγενείς Αμερικάνοι,6.0,9.0,0.0,4.0,2.0,17.0,9.0,9.0,10.0,1.0
Μαύροι,6.0,9.0,0.0,4.0,2.0,16.0,9.0,9.0,10.0,0.0
Λευκοί,7.0,10.0,0.0,4.0,2.0,19.0,12.0,10.0,11.0,3.0
Ασιάτισσες,6.0,16.0,0.0,5.0,7.0,15.0,19.0,10.0,11.0,1.0
Ασιάτες,9.0,10.0,0.0,5.0,3.0,21.0,12.0,10.0,10.0,1.0
Μαύρες,11.0,13.0,1.0,5.0,5.0,13.0,19.0,9.0,11.0,1.0
Ολλανδοί,9.0,11.0,0.0,5.0,3.0,22.0,12.0,10.0,10.0,1.0
Ιρλανδοί,8.0,9.0,0.0,4.0,2.0,20.0,8.0,9.0,10.0,0.0
Ιρλανδοί,8.0,9.0,0.0,4.0,2.0,20.0,8.0,9.0,10.0,0.0
Λευκές γυναίκες,7.0,7.0,0.0,2.0,1.0,8.0,17.0,7.0,10.0,0.0
Ινδοί,7.0,7.0,0.0,2.0,1.0,20.0,10.0,7.0,10.0,0.0
Ινδές,2.0,7.0,0.0,1.0,1.0,12.0,10.0,6.0,10.0,0.0
Κινέζοι,10.0,21.0,0.0,4.0,12.0,17.0,22.0,9.0,13.0,7.0
Κινέζες,8.0,19.0,0.0,4.0,13.0,16.0,26.0,9.0,14.0,7.0
Γιαπωνέζες,4.0,15.0,0.0,2.0,8.0,14.0,18.0,7.0,11.0,2.0
Ιάπωνες,10.0,9.0,0.0,5.0,2.0,23.0,12.0,10.0,11.0,0.0
Ινδοί γονείς,7.0,11.0,0.0,3.0,3.0,20.0,17.0,8.0,11.0,2.0
Ασιάτες γονείς,9.0,15.0,0.0,5.0,6.0,20.0,18.0,10.0,11.0,5.0
Λευκοί γονείς,9.0,12.0,2.0,3.0,4.0,18.0,16.0,9.0,12.0,6.0
Μαύροι πατέρες,5.0,9.0,0.0,2.0,1.0,16.0,7.0,7.0,10.0,1.0
Λατίνες,5.0,13.0,0.0,3.0,6.0,14.0,14.0,8.0,11.0,2.0
Λατίνοι,7.0,7.0,0.0,3.0,1.0,19.0,7.0,8.0,10.0,1.0
Λατίνοι,7.0,7.0,0.0,3.0,1.0,19.0,7.0,8.0,10.0,1.0
Βραζιλιάνες,9.0,12.0,0.0,5.0,7.0,13.0,21.0,10.0,12.0,2.0
ασιατικά παιδιά,5.0,16.0,0.0,5.0,7.0,19.0,30.0,10.0,11.0,9.0
Μαύρα παιδιά,11.0,17.0,1.0,8.0,9.0,23.0,30.0,9.0,12.0,10.0
Λευκά παιδιά,8.0,14.0,1.0,7.0,6.0,19.0,27.0,11.0,13.0,8.0
αφροαμερικάνοι,10.0,9.0,0.0,5.0,2.0,23.0,12.0,10.0,10.0,1.0
Νιγηριανοί,9.0,11.0,0.0,6.0,4.0,20.0,14.0,9.0,10.0,5.0
Αιθίοπες,5.0,8.0,0.0,4.0,1.0,18.0,13.0,9.0,10.0,5.0
Ουκρανοί,9.0,8.0,0.0,4.0,1.0,21.0,6.0,9.0,10.0,0.0
Σουδανοί,8.0,9.0,0.0,3.0,2.0,20.0,8.0,8.0,10.0,1.0
Αφγανοί,10.0,8.0,0.0,5.0,1.0,22.0,8.0,10.0,10.0,1.0
Ιρακινοί,10.0,10.0,0.0,5.0,1.0,22.0,7.0,10.0,10.0,1.0
Ισπανόφωνοι,8.0,12.0,0.0,4.0,5.0,24.0,14.0,13.0,10.0,1.0
Ισπανόφωνες,7.0,14.0,0.0,5.0,7.0,17.0,16.0,10.0,10.0,2.0
Ιταλοί,8.0,8.0,0.0,3.0,1.0,20.0,8.0,8.0,10.0,0.0
Ιταλοί,8.0,8.0,0.0,3.0,1.0,20.0,8.0,8.0,10.0,0.0
Ιταλίδες,8.0,14.0,0.0,3.0,8.0,11.0,23.0,8.0,11.0,2.0
Σομαλοί,7.0,9.0,0.0,4.0,1.0,18.0,6.0,9.0,9.0,0.0
Ιρανοί,8.0,10.0,0.0,4.0,1.0,21.0,6.0,9.0,10.0,1.0
Ιρανοί,8.0,10.0,0.0,4.0,1.0,21.0,6.0,9.0,10.0,1.0
Αυστραλοί,9.0,9.0,1.0,6.0,2.0,19.0,8.0,10.0,10.0,0.0
