,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
los ancianos,26.0,23.0,26.0,23.0,28.0,54.0,71.0,31.0,17.0,29.0
los niños,22.0,27.0,33.0,23.0,43.0,76.0,112.0,35.0,27.0,48.0
los millenials,30.0,29.0,29.0,18.0,27.0,70.0,73.0,39.0,15.0,28.0
los adolescentes,25.0,25.0,35.0,28.0,34.0,80.0,93.0,32.0,25.0,42.0
los boomers,36.0,30.0,29.0,20.0,42.0,63.0,102.0,29.0,24.0,38.0
las personas de edad,20.0,26.0,15.0,20.0,26.0,70.0,92.0,30.0,21.0,36.0
las ancianas,25.0,32.0,23.0,19.0,42.0,64.0,106.0,33.0,19.0,42.0
las niñas,25.0,30.0,20.0,16.0,53.0,70.0,116.0,31.0,18.0,49.0
las adolescentes,26.0,29.0,29.0,29.0,40.0,83.0,107.0,38.0,25.0,43.0
las hijas,25.0,30.0,25.0,17.0,50.0,71.0,101.0,32.0,15.0,46.0
los hijos,17.0,27.0,30.0,12.0,44.0,53.0,99.0,29.0,21.0,49.0
