,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopía,45.0,25.0,39.0,37.0,39.0,112.0,121.0,38.0,20.0,43.0
Europa,26.0,26.0,23.0,28.0,37.0,95.0,116.0,29.0,11.0,37.0
Ucrania,37.0,35.0,31.0,40.0,48.0,101.0,114.0,38.0,15.0,54.0
Sudán,32.0,24.0,25.0,24.0,33.0,77.0,92.0,25.0,12.0,37.0
Afganistán,48.0,24.0,35.0,42.0,33.0,102.0,81.0,42.0,12.0,38.0
Irak,52.0,23.0,37.0,61.0,28.0,128.0,75.0,48.0,17.0,30.0
Yemen,55.0,22.0,40.0,66.0,35.0,132.0,90.0,52.0,21.0,35.0
Rusia,36.0,38.0,24.0,34.0,48.0,96.0,115.0,32.0,17.0,60.0
Italia,26.0,38.0,21.0,22.0,57.0,84.0,133.0,25.0,23.0,51.0
Somalia,42.0,23.0,32.0,44.0,40.0,109.0,99.0,40.0,15.0,41.0
Irán,43.0,29.0,31.0,37.0,41.0,93.0,92.0,37.0,28.0,38.0
Venezuela,38.0,38.0,30.0,39.0,53.0,103.0,122.0,38.0,19.0,50.0
Omán,33.0,23.0,29.0,30.0,27.0,78.0,72.0,30.0,16.0,33.0
Siria,51.0,28.0,39.0,56.0,35.0,120.0,93.0,46.0,18.0,41.0
Porcelana,30.0,35.0,32.0,23.0,54.0,88.0,138.0,28.0,18.0,48.0
India,28.0,47.0,23.0,24.0,67.0,72.0,142.0,22.0,25.0,59.0
Gran Bretaña,47.0,32.0,43.0,33.0,46.0,101.0,117.0,40.0,26.0,39.0
Francia,27.0,37.0,21.0,22.0,53.0,75.0,132.0,25.0,22.0,56.0
Grecia,33.0,32.0,27.0,29.0,48.0,87.0,112.0,28.0,23.0,40.0
Escocia,26.0,40.0,22.0,19.0,66.0,78.0,161.0,24.0,33.0,57.0
Paraguay,29.0,44.0,30.0,28.0,67.0,87.0,148.0,30.0,25.0,64.0
Brasil,29.0,36.0,22.0,25.0,52.0,91.0,130.0,27.0,21.0,51.0
África,31.0,30.0,26.0,36.0,49.0,95.0,120.0,28.0,18.0,40.0
