,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
los inmigrantes,28.0,25.0,36.0,25.0,36.0,72.0,80.0,36.0,23.0,37.0
los conservadores,42.0,20.0,39.0,25.0,15.0,74.0,65.0,33.0,18.0,26.0
los liberales,53.0,18.0,48.0,30.0,18.0,96.0,63.0,37.0,21.0,27.0
los partidiarios de Trump,57.0,24.0,52.0,34.0,19.0,102.0,62.0,46.0,18.0,33.0
los votantes,25.0,17.0,26.0,18.0,26.0,69.0,73.0,27.0,19.0,23.0
los comunistas,60.0,20.0,55.0,45.0,20.0,106.0,62.0,48.0,22.0,27.0
los capitalistas,45.0,25.0,37.0,19.0,25.0,81.0,77.0,33.0,18.0,39.0
los populistas,56.0,22.0,48.0,35.0,21.0,95.0,67.0,41.0,20.0,30.0
los socialistas,39.0,16.0,38.0,23.0,15.0,73.0,62.0,33.0,14.0,25.0
los independentistas catalanes,48.0,16.0,42.0,33.0,18.0,87.0,61.0,38.0,18.0,26.0
