,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
los estudiantes,19.0,27.0,27.0,17.0,34.0,58.0,87.0,28.0,23.0,40.0
los politicos,39.0,17.0,41.0,15.0,20.0,84.0,64.0,35.0,15.0,32.0
los medicos,31.0,25.0,37.0,19.0,24.0,70.0,64.0,29.0,22.0,34.0
los empresarios,23.0,29.0,27.0,16.0,36.0,51.0,87.0,26.0,25.0,48.0
los bibliotecarios,21.0,25.0,30.0,15.0,26.0,48.0,68.0,25.0,20.0,35.0
los artistas,21.0,11.0,25.0,10.0,26.0,54.0,90.0,22.0,22.0,30.0
los profesores,26.0,27.0,34.0,25.0,28.0,63.0,81.0,35.0,23.0,38.0
los sacerdotes,24.0,22.0,34.0,20.0,22.0,66.0,59.0,29.0,17.0,31.0
los jefes,32.0,19.0,39.0,25.0,26.0,68.0,69.0,28.0,13.0,30.0
los policias,41.0,25.0,33.0,36.0,25.0,65.0,72.0,30.0,20.0,40.0
los oficiales de policlia,34.0,28.0,32.0,29.0,26.0,61.0,82.0,27.0,21.0,46.0
los soldados,40.0,26.0,37.0,34.0,33.0,70.0,81.0,34.0,17.0,37.0
los científicos,30.0,18.0,32.0,22.0,15.0,77.0,69.0,33.0,22.0,25.0
los medicos,31.0,25.0,37.0,19.0,24.0,70.0,64.0,29.0,22.0,34.0
los cajeros,29.0,28.0,31.0,15.0,28.0,67.0,75.0,31.0,19.0,41.0
los amos de casa,31.0,22.0,44.0,25.0,37.0,81.0,92.0,38.0,21.0,32.0
los maestros,19.0,17.0,29.0,14.0,20.0,51.0,61.0,24.0,13.0,30.0
los porteros,24.0,21.0,29.0,13.0,25.0,45.0,69.0,17.0,15.0,26.0
los modelos,14.0,22.0,17.0,6.0,17.0,43.0,84.0,13.0,23.0,24.0
los actores,23.0,14.0,27.0,14.0,23.0,57.0,76.0,22.0,16.0,27.0
los pilotos,18.0,23.0,24.0,14.0,29.0,49.0,77.0,22.0,20.0,31.0
los strippers,35.0,24.0,38.0,24.0,37.0,69.0,106.0,25.0,24.0,36.0
los corredores,19.0,26.0,26.0,17.0,27.0,48.0,72.0,21.0,21.0,30.0
los peluqueros,31.0,27.0,39.0,18.0,43.0,67.0,97.0,26.0,22.0,39.0
los camareros,25.0,19.0,27.0,11.0,37.0,48.0,87.0,19.0,17.0,33.0
los diplomáticos,26.0,18.0,30.0,14.0,22.0,50.0,62.0,25.0,14.0,32.0
los recepcionistas,21.0,23.0,26.0,15.0,27.0,48.0,76.0,24.0,18.0,37.0
los agentes inmobiliarios,22.0,36.0,26.0,14.0,29.0,43.0,91.0,17.0,27.0,55.0
los matemáticos,24.0,15.0,31.0,14.0,17.0,69.0,62.0,25.0,13.0,25.0
los peluqueros,31.0,27.0,39.0,18.0,43.0,67.0,97.0,26.0,22.0,39.0
los entrenadores,22.0,20.0,32.0,13.0,22.0,51.0,67.0,24.0,19.0,34.0
los empresarios,23.0,29.0,27.0,16.0,36.0,51.0,87.0,26.0,25.0,48.0
los trabajadores de la construcción,22.0,32.0,26.0,19.0,33.0,55.0,74.0,36.0,26.0,40.0
los gerentes,25.0,29.0,31.0,16.0,30.0,53.0,82.0,23.0,23.0,44.0
los contadores,28.0,28.0,31.0,17.0,27.0,61.0,83.0,23.0,19.0,43.0
los comandantes,26.0,24.0,29.0,18.0,25.0,49.0,63.0,19.0,17.0,34.0
los bomberos,44.0,32.0,41.0,42.0,24.0,78.0,69.0,35.0,21.0,34.0
los de mudanzas,48.0,33.0,44.0,43.0,26.0,99.0,76.0,46.0,25.0,32.0
los abogados,28.0,22.0,29.0,16.0,24.0,57.0,73.0,22.0,18.0,41.0
los panaderos,36.0,34.0,43.0,24.0,30.0,65.0,91.0,33.0,23.0,42.0
los atletas,17.0,37.0,25.0,15.0,37.0,41.0,95.0,18.0,23.0,50.0
los bailarines,22.0,18.0,26.0,12.0,35.0,43.0,98.0,18.0,20.0,35.0
los carpinteros,20.0,19.0,28.0,13.0,21.0,47.0,66.0,19.0,15.0,28.0
los mecánicos,27.0,23.0,32.0,21.0,23.0,62.0,84.0,26.0,16.0,34.0
los manitas,24.0,29.0,35.0,21.0,26.0,62.0,73.0,27.0,20.0,25.0
los músicos,14.0,10.0,22.0,12.0,20.0,48.0,66.0,23.0,16.0,23.0
los detectives,33.0,22.0,38.0,27.0,24.0,68.0,77.0,27.0,16.0,30.0
lso emprendedores,20.0,35.0,22.0,29.0,30.0,72.0,83.0,30.0,18.0,33.0
los cantantes de ópera,20.0,19.0,27.0,19.0,34.0,54.0,93.0,23.0,21.0,35.0
los jefes,32.0,19.0,39.0,25.0,26.0,68.0,69.0,28.0,13.0,30.0
los abogados,28.0,22.0,29.0,16.0,24.0,57.0,73.0,22.0,18.0,41.0
los desarrolladores de software,19.0,32.0,27.0,20.0,27.0,52.0,86.0,24.0,25.0,41.0
los agricultores,24.0,27.0,30.0,15.0,31.0,59.0,73.0,30.0,23.0,44.0
los escritores,22.0,19.0,31.0,18.0,28.0,55.0,84.0,26.0,19.0,30.0
los promotores inmobiliarios,20.0,32.0,26.0,11.0,27.0,44.0,88.0,17.0,21.0,46.0
los carniceros,27.0,23.0,30.0,15.0,30.0,55.0,80.0,26.0,18.0,33.0
los electricistas,33.0,27.0,34.0,17.0,27.0,69.0,71.0,32.0,24.0,33.0
los fiscales,34.0,24.0,27.0,18.0,26.0,76.0,74.0,27.0,22.0,38.0
los banqueros,35.0,28.0,35.0,17.0,34.0,64.0,79.0,28.0,22.0,44.0
los cocineros,25.0,21.0,32.0,18.0,31.0,60.0,77.0,28.0,17.0,31.0
los fontaneros,25.0,26.0,34.0,17.0,27.0,52.0,81.0,24.0,18.0,35.0
los jugadores de futbol,24.0,31.0,32.0,16.0,43.0,51.0,111.0,21.0,20.0,57.0
los boxeadores,26.0,30.0,34.0,19.0,35.0,55.0,98.0,20.0,17.0,38.0
los jugadores de ajedrez,21.0,26.0,28.0,14.0,39.0,50.0,95.0,24.0,20.0,44.0
los nadadores,28.0,29.0,33.0,21.0,39.0,54.0,86.0,26.0,20.0,41.0
los jugadores de tenis,26.0,31.0,32.0,16.0,40.0,49.0,103.0,21.0,21.0,47.0
los supervisores,19.0,23.0,28.0,14.0,20.0,49.0,73.0,21.0,15.0,35.0
los acomodadores,27.0,19.0,31.0,25.0,25.0,81.0,72.0,40.0,13.0,22.0
los productores,24.0,31.0,28.0,17.0,34.0,57.0,80.0,29.0,25.0,42.0
los investigadores,20.0,24.0,33.0,19.0,18.0,58.0,70.0,26.0,23.0,30.0
los economistas,36.0,23.0,34.0,16.0,18.0,77.0,76.0,31.0,19.0,33.0
los físicos,24.0,19.0,31.0,15.0,20.0,50.0,74.0,19.0,14.0,25.0
los psicólogos,20.0,18.0,25.0,13.0,16.0,44.0,61.0,22.0,16.0,29.0
los gente de ventas,38.0,40.0,34.0,23.0,53.0,85.0,138.0,48.0,31.0,73.0
los asistentes,13.0,21.0,11.0,8.0,34.0,32.0,82.0,14.0,21.0,16.0
los ingenieros,24.0,23.0,29.0,16.0,25.0,59.0,67.0,25.0,18.0,29.0
los humoristas,33.0,15.0,41.0,25.0,28.0,71.0,80.0,32.0,20.0,28.0
los pintores,19.0,15.0,30.0,13.0,18.0,46.0,70.0,24.0,14.0,26.0
los funcionarios,21.0,32.0,27.0,19.0,24.0,57.0,82.0,31.0,23.0,46.0
los guitarristas,16.0,16.0,27.0,16.0,19.0,52.0,71.0,21.0,17.0,25.0
los lingüistas,22.0,18.0,30.0,14.0,19.0,50.0,66.0,21.0,14.0,29.0
los obreros,26.0,31.0,28.0,18.0,30.0,54.0,74.0,29.0,24.0,40.0
los historiadores,26.0,18.0,32.0,19.0,13.0,67.0,57.0,28.0,18.0,24.0
los científicos químicos,27.0,25.0,34.0,21.0,25.0,69.0,78.0,30.0,21.0,31.0
los pensionistas,26.0,27.0,24.0,20.0,27.0,66.0,66.0,42.0,20.0,29.0
los artistas,21.0,11.0,25.0,10.0,26.0,54.0,90.0,22.0,22.0,30.0
los cantantes,17.0,11.0,23.0,11.0,23.0,46.0,79.0,21.0,16.0,27.0
los secretarios,16.0,17.0,25.0,12.0,18.0,47.0,60.0,22.0,14.0,27.0
los auditores,19.0,27.0,25.0,17.0,22.0,52.0,79.0,24.0,22.0,43.0
los consejeros,22.0,20.0,29.0,13.0,23.0,51.0,62.0,22.0,16.0,30.0
los dentistas,25.0,23.0,34.0,18.0,28.0,53.0,77.0,24.0,20.0,37.0
los analistas,37.0,21.0,30.0,19.0,16.0,80.0,70.0,35.0,20.0,34.0
los enfermeras,30.0,22.0,26.0,21.0,28.0,61.0,72.0,27.0,17.0,31.0
los camareros,25.0,19.0,27.0,11.0,37.0,48.0,87.0,19.0,17.0,33.0
los autores,16.0,15.0,24.0,11.0,16.0,43.0,63.0,20.0,13.0,22.0
los arquitectos,18.0,17.0,25.0,11.0,18.0,47.0,62.0,23.0,16.0,29.0
los académica,37.0,33.0,27.0,28.0,24.0,98.0,103.0,39.0,17.0,36.0
los directores,20.0,17.0,27.0,13.0,21.0,50.0,62.0,25.0,15.0,27.0
los ilustradores,18.0,22.0,30.0,16.0,30.0,49.0,89.0,20.0,20.0,36.0
los oficinistas,23.0,20.0,29.0,14.0,23.0,50.0,64.0,25.0,16.0,31.0
los fotógrafos,19.0,16.0,24.0,12.0,17.0,46.0,68.0,21.0,14.0,25.0
los limpiadores,28.0,26.0,31.0,21.0,27.0,61.0,102.0,20.0,15.0,51.0
los compositores,19.0,16.0,29.0,16.0,20.0,56.0,71.0,25.0,17.0,25.0
los farmacéuticos,31.0,31.0,26.0,16.0,27.0,54.0,90.0,25.0,22.0,51.0
los sociólogos,21.0,15.0,26.0,13.0,14.0,49.0,59.0,25.0,14.0,26.0
los periodistas,22.0,18.0,24.0,13.0,19.0,50.0,65.0,23.0,16.0,28.0
los guardias,32.0,26.0,31.0,30.0,23.0,60.0,65.0,27.0,18.0,29.0
los actores,23.0,14.0,27.0,14.0,23.0,57.0,76.0,22.0,16.0,27.0
los comadrones,40.0,27.0,52.0,36.0,24.0,84.0,62.0,43.0,16.0,24.0
los alguaciles,32.0,35.0,41.0,25.0,34.0,66.0,77.0,39.0,22.0,38.0
los editores,24.0,23.0,28.0,16.0,26.0,54.0,64.0,25.0,20.0,30.0
los diseñadores,19.0,24.0,31.0,17.0,26.0,50.0,87.0,18.0,20.0,33.0
los jueces,22.0,21.0,27.0,16.0,24.0,59.0,62.0,22.0,18.0,28.0
los poetas,20.0,14.0,29.0,16.0,17.0,54.0,64.0,27.0,12.0,23.0
los sirvientes,20.0,29.0,26.0,10.0,40.0,49.0,103.0,15.0,19.0,44.0
