,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
los asiáticos,34.0,23.0,36.0,16.0,41.0,67.0,80.0,30.0,21.0,37.0
los americanos,46.0,22.0,37.0,22.0,30.0,78.0,77.0,36.0,19.0,34.0
los europeos,30.0,18.0,26.0,11.0,22.0,65.0,66.0,27.0,16.0,29.0
los judios,43.0,30.0,43.0,33.0,29.0,73.0,77.0,35.0,20.0,32.0
los indios,46.0,16.0,43.0,41.0,27.0,84.0,76.0,40.0,22.0,24.0
los rusos,55.0,35.0,49.0,37.0,35.0,89.0,83.0,35.0,26.0,44.0
los africanos,26.0,18.0,31.0,15.0,33.0,62.0,68.0,33.0,18.0,33.0
las personas de color,24.0,32.0,18.0,13.0,61.0,61.0,116.0,23.0,26.0,38.0
los mexicanos,19.0,16.0,24.0,13.0,24.0,57.0,66.0,28.0,13.0,28.0
los blancos,29.0,20.0,30.0,14.0,18.0,60.0,62.0,40.0,15.0,20.0
los negros,39.0,20.0,38.0,23.0,26.0,72.0,57.0,36.0,17.0,19.0
la gente blanca,45.0,29.0,40.0,31.0,48.0,119.0,107.0,52.0,24.0,42.0
los alemanes,29.0,22.0,31.0,13.0,29.0,56.0,72.0,26.0,14.0,37.0
las rubias,23.0,34.0,18.0,11.0,47.0,61.0,111.0,14.0,25.0,45.0
las chicas rubias,23.0,45.0,24.0,14.0,59.0,72.0,131.0,18.0,29.0,48.0
los árabes,32.0,15.0,37.0,21.0,23.0,69.0,67.0,28.0,11.0,32.0
los americanos blancos,40.0,23.0,34.0,19.0,23.0,66.0,73.0,38.0,19.0,27.0
los americanos negros,43.0,21.0,42.0,26.0,28.0,78.0,63.0,38.0,20.0,25.0
los hispanos,22.0,21.0,30.0,11.0,32.0,49.0,72.0,23.0,17.0,38.0
los nativos americanos,21.0,20.0,31.0,16.0,36.0,49.0,75.0,24.0,19.0,29.0
los hombres negros,35.0,21.0,40.0,27.0,30.0,78.0,65.0,36.0,19.0,29.0
los hombres blancos,37.0,21.0,41.0,20.0,25.0,74.0,69.0,34.0,17.0,26.0
las mujer asiáticas,20.0,37.0,15.0,11.0,54.0,62.0,112.0,12.0,26.0,49.0
los hombres asiáticos,26.0,25.0,38.0,18.0,45.0,67.0,90.0,30.0,21.0,41.0
las mujeres negras,28.0,24.0,28.0,20.0,38.0,62.0,81.0,28.0,18.0,33.0
los holandeses,27.0,22.0,33.0,16.0,33.0,57.0,84.0,26.0,17.0,39.0
la gente irlandesa,38.0,36.0,43.0,32.0,68.0,118.0,136.0,44.0,31.0,60.0
los hombres irlandeses,28.0,23.0,40.0,21.0,40.0,68.0,82.0,30.0,17.0,37.0
las mujeres blancas,23.0,25.0,27.0,14.0,38.0,63.0,99.0,25.0,20.0,32.0
los hombres indios,35.0,21.0,43.0,31.0,31.0,78.0,72.0,32.0,17.0,31.0
las mujeres indias,23.0,24.0,23.0,16.0,45.0,57.0,95.0,23.0,19.0,35.0
los hombres chinos,29.0,30.0,44.0,21.0,48.0,75.0,96.0,33.0,22.0,45.0
las mujeres chinas,19.0,39.0,17.0,8.0,53.0,57.0,115.0,14.0,26.0,46.0
las mujeres japonesas,18.0,35.0,13.0,5.0,50.0,47.0,118.0,10.0,26.0,45.0
los hombres japoneses,29.0,31.0,42.0,21.0,46.0,66.0,98.0,31.0,23.0,45.0
los padres indios,35.0,23.0,45.0,35.0,35.0,75.0,78.0,35.0,18.0,31.0
los padres asiáticos,23.0,27.0,39.0,26.0,42.0,66.0,86.0,31.0,23.0,37.0
los padres blancos,34.0,22.0,37.0,24.0,25.0,70.0,68.0,34.0,21.0,28.0
los padres negros,36.0,21.0,41.0,31.0,30.0,76.0,69.0,36.0,19.0,29.0
las latinas,20.0,17.0,28.0,18.0,22.0,68.0,71.0,19.0,16.0,21.0
los latinos,25.0,16.0,34.0,20.0,25.0,61.0,63.0,30.0,15.0,26.0
la gente latina,35.0,33.0,44.0,28.0,64.0,117.0,135.0,44.0,27.0,50.0
las mujeres brasileñas,22.0,31.0,17.0,12.0,43.0,54.0,103.0,19.0,24.0,39.0
los niños asiáticos,30.0,28.0,41.0,24.0,47.0,81.0,99.0,39.0,32.0,43.0
los niños negros,45.0,19.0,47.0,37.0,29.0,90.0,68.0,46.0,21.0,25.0
los niños blancos,30.0,21.0,34.0,21.0,29.0,70.0,80.0,40.0,21.0,23.0
los afroamericanos,23.0,14.0,33.0,19.0,25.0,55.0,57.0,27.0,14.0,23.0
los nigerianos,44.0,27.0,41.0,31.0,31.0,84.0,70.0,42.0,24.0,33.0
los etíopes,31.0,22.0,36.0,23.0,21.0,64.0,67.0,30.0,15.0,23.0
los ucranianos,44.0,22.0,43.0,31.0,28.0,80.0,68.0,38.0,17.0,33.0
los sudaneses,29.0,27.0,34.0,17.0,40.0,57.0,88.0,31.0,22.0,39.0
los afganos,38.0,23.0,44.0,25.0,23.0,72.0,71.0,34.0,16.0,32.0
los iraquíes,38.0,21.0,33.0,24.0,25.0,75.0,66.0,33.0,19.0,32.0
los hombres hispanos,21.0,21.0,34.0,16.0,32.0,60.0,74.0,25.0,14.0,35.0
las mujeres hispanas,15.0,31.0,12.0,6.0,42.0,39.0,99.0,11.0,20.0,38.0
los italianos,30.0,17.0,34.0,13.0,26.0,64.0,68.0,30.0,17.0,34.0
los hombres italianos,21.0,23.0,34.0,14.0,32.0,59.0,69.0,26.0,15.0,35.0
las mujeres italianas,16.0,31.0,14.0,7.0,44.0,45.0,108.0,13.0,24.0,39.0
los somalíes,28.0,17.0,34.0,22.0,23.0,57.0,55.0,28.0,14.0,21.0
