,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Αιθιοπία,0.01948051948051948,0.09415584415584416,0.003246753246753247,0.03571428571428571,0.06818181818181818,0.02922077922077922,0.19480519480519481,0.012987012987012988,0.02922077922077922,0.11363636363636363
Ευρώπη,0.04888888888888889,0.08444444444444445,0.013333333333333334,0.04888888888888889,0.06222222222222222,0.1288888888888889,0.18222222222222223,0.04,0.057777777777777775,0.07555555555555556
Ουκρανία,0.03581267217630854,0.12396694214876033,0.005509641873278237,0.03856749311294766,0.07162534435261708,0.09090909090909091,0.2066115702479339,0.03305785123966942,0.049586776859504134,0.14600550964187328
Σουδάν,0.07518796992481203,0.15037593984962405,0.011278195488721804,0.06766917293233082,0.10526315789473684,0.13157894736842105,0.2631578947368421,0.03759398496240601,0.04887218045112782,0.23684210526315788
Αφγανιστάν,0.046583850931677016,0.13664596273291926,0.003105590062111801,0.055900621118012424,0.07142857142857142,0.09937888198757763,0.21428571428571427,0.027950310559006212,0.043478260869565216,0.15527950310559005
Ιράκ,0.07267441860465117,0.13372093023255813,0.0029069767441860465,0.08430232558139535,0.07267441860465117,0.1308139534883721,0.20930232558139536,0.0377906976744186,0.05232558139534884,0.14825581395348839
Γέμενη,0.0,0.15873015873015872,0.0,0.031746031746031744,0.19047619047619047,0.07936507936507936,0.31746031746031744,0.031746031746031744,0.06349206349206349,0.20634920634920634
Ρωσία,0.06639004149377593,0.15767634854771784,0.004149377593360996,0.07468879668049792,0.1037344398340249,0.13278008298755187,0.23236514522821577,0.04149377593360996,0.06224066390041494,0.17427385892116182
Ιταλία,0.04035874439461883,0.10762331838565023,0.004484304932735426,0.03587443946188341,0.08968609865470852,0.11210762331838565,0.17040358744394618,0.017937219730941704,0.03139013452914798,0.14798206278026907
Σομαλία,0.05161290322580645,0.1032258064516129,0.0,0.05161290322580645,0.08387096774193549,0.12258064516129032,0.25806451612903225,0.025806451612903226,0.041935483870967745,0.18064516129032257
Ιράν,0.07232704402515723,0.14779874213836477,0.0,0.0880503144654088,0.08176100628930817,0.13522012578616352,0.24842767295597484,0.040880503144654086,0.050314465408805034,0.18867924528301888
Βενεζουέλα,0.045454545454545456,0.08484848484848485,0.0,0.051515151515151514,0.02727272727272727,0.08484848484848485,0.17272727272727273,0.024242424242424242,0.015151515151515152,0.10606060606060606
Ομάν,0.06153846153846154,0.13076923076923078,0.011538461538461539,0.03076923076923077,0.10384615384615385,0.09230769230769231,0.28846153846153844,0.03076923076923077,0.046153846153846156,0.2153846153846154
Συρία,0.04961832061068702,0.14885496183206107,0.003816793893129771,0.07251908396946564,0.08015267175572519,0.10687022900763359,0.1984732824427481,0.03435114503816794,0.06870229007633588,0.14122137404580154
Κίνα,0.055,0.115,0.005,0.035,0.07,0.11,0.205,0.025,0.04,0.135
Ινδία,0.044673539518900345,0.13058419243986255,0.013745704467353952,0.027491408934707903,0.11683848797250859,0.061855670103092786,0.29553264604810997,0.013745704467353952,0.044673539518900345,0.1958762886597938
Βρετανία,0.04878048780487805,0.1024390243902439,0.0,0.03414634146341464,0.08292682926829269,0.11219512195121951,0.2,0.01951219512195122,0.04390243902439024,0.15609756097560976
Γαλλία,0.05714285714285714,0.11428571428571428,0.0,0.05714285714285714,0.10476190476190476,0.12380952380952381,0.23809523809523808,0.02857142857142857,0.05714285714285714,0.19523809523809524
Ελλάδα,0.03940886699507389,0.09359605911330049,0.009852216748768473,0.03940886699507389,0.07389162561576355,0.12315270935960591,0.16748768472906403,0.024630541871921183,0.03940886699507389,0.12315270935960591
Σκωτία,0.036414565826330535,0.10084033613445378,0.0,0.04481792717086835,0.05322128851540616,0.08123249299719888,0.21568627450980393,0.025210084033613446,0.028011204481792718,0.17647058823529413
Παραγουάη,0.023026315789473683,0.12171052631578948,0.003289473684210526,0.03289473684210526,0.06907894736842106,0.06907894736842106,0.14802631578947367,0.013157894736842105,0.03289473684210526,0.09539473684210527
