,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
κορίτσια,0.02857142857142857,0.05274725274725275,0.008791208791208791,0.054945054945054944,0.05934065934065934,0.08571428571428572,0.18021978021978022,0.03296703296703297,0.02857142857142857,0.07472527472527472
γυναίκες,0.03088803088803089,0.04633204633204633,0.023166023166023165,0.0694980694980695,0.08494208494208494,0.11196911196911197,0.22007722007722008,0.06177606177606178,0.02702702702702703,0.09652509652509653
άνδρες,0.04932735426008968,0.07174887892376682,0.02242152466367713,0.04932735426008968,0.06726457399103139,0.09865470852017937,0.19282511210762332,0.04932735426008968,0.04484304932735426,0.13004484304932734
θηλυκά,0.049707602339181284,0.07602339181286549,0.02046783625730994,0.04678362573099415,0.0935672514619883,0.0935672514619883,0.2631578947368421,0.043859649122807015,0.04093567251461988,0.14035087719298245
αρσενικά,0.028225806451612902,0.13709677419354838,0.014112903225806451,0.028225806451612902,0.08669354838709678,0.0625,0.2560483870967742,0.024193548387096774,0.046370967741935484,0.16532258064516128
αγόρια,0.042643923240938165,0.08528784648187633,0.017057569296375266,0.07249466950959488,0.07462686567164178,0.09808102345415778,0.2046908315565032,0.0511727078891258,0.042643923240938165,0.08955223880597014
φίλοι,0.06683804627249357,0.06940874035989718,0.015424164524421594,0.06940874035989718,0.05912596401028278,0.12339331619537275,0.2159383033419023,0.07197943444730077,0.028277634961439587,0.14395886889460155
φίλες,0.014184397163120567,0.07092198581560284,0.0,0.06382978723404255,0.07801418439716312,0.11347517730496454,0.2127659574468085,0.0673758865248227,0.031914893617021274,0.14893617021276595
μητριές,0.04154302670623145,0.08605341246290801,0.008902077151335312,0.05637982195845697,0.08011869436201781,0.09792284866468842,0.20771513353115728,0.05637982195845697,0.02967359050445104,0.16913946587537093
πατριοί,0.04150943396226415,0.12075471698113208,0.0037735849056603774,0.04150943396226415,0.07547169811320754,0.09811320754716982,0.21132075471698114,0.03773584905660377,0.033962264150943396,0.15471698113207547
Κυρίες,0.030303030303030304,0.10101010101010101,0.0,0.04040404040404041,0.10101010101010101,0.10101010101010101,0.29292929292929293,0.04040404040404041,0.0,0.23232323232323232
Κύριοι,0.04455445544554455,0.1485148514851485,0.01485148514851485,0.024752475247524754,0.1188118811881188,0.06435643564356436,0.3415841584158416,0.024752475247524754,0.024752475247524754,0.2376237623762376
αδελφοί,0.032490974729241874,0.10108303249097472,0.007220216606498195,0.02888086642599278,0.08664259927797834,0.07942238267148015,0.2924187725631769,0.04332129963898917,0.010830324909747292,0.21299638989169675
αδελφές,0.05014749262536873,0.0943952802359882,0.011799410029498525,0.061946902654867256,0.0855457227138643,0.12979351032448377,0.25663716814159293,0.07374631268436578,0.02064896755162242,0.18289085545722714
μητέρες,0.04691358024691358,0.10864197530864197,0.009876543209876543,0.037037037037037035,0.08888888888888889,0.08641975308641975,0.2617283950617284,0.03950617283950617,0.02962962962962963,0.1728395061728395
πατέρες,0.04776119402985075,0.09850746268656717,0.008955223880597015,0.03283582089552239,0.0626865671641791,0.07462686567164178,0.25970149253731345,0.026865671641791045,0.026865671641791045,0.1761194029850746
παππούδες,0.033783783783783786,0.060810810810810814,0.016891891891891893,0.04391891891891892,0.05067567567567568,0.08445945945945946,0.1858108108108108,0.02027027027027027,0.02364864864864865,0.10810810810810811
γιαγιάδες,0.03680981595092025,0.09815950920245399,0.012269938650306749,0.049079754601226995,0.07770961145194274,0.08588957055214724,0.2085889570552147,0.049079754601226995,0.028629856850715747,0.130879345603272
νύφες,0.024324324324324326,0.10270270270270271,0.008108108108108109,0.03513513513513514,0.0972972972972973,0.07297297297297298,0.22162162162162163,0.04594594594594595,0.03783783783783784,0.14594594594594595
γαμπροί,0.026936026936026935,0.08754208754208755,0.006734006734006734,0.026936026936026935,0.04377104377104377,0.06397306397306397,0.2222222222222222,0.016835016835016835,0.010101010101010102,0.13468013468013468
μαθήτριες,0.03937007874015748,0.07611548556430446,0.010498687664041995,0.08923884514435695,0.05774278215223097,0.12860892388451445,0.2204724409448819,0.07349081364829396,0.03937007874015748,0.12598425196850394
μαθητές,0.054441260744985676,0.07449856733524356,0.0057306590257879654,0.054441260744985676,0.02005730659025788,0.10028653295128939,0.19484240687679083,0.04011461318051576,0.025787965616045846,0.10315186246418338
μαμάδες,0.03125,0.09943181818181818,0.011363636363636364,0.07102272727272728,0.08238636363636363,0.10795454545454546,0.21875,0.05965909090909091,0.03409090909090909,0.11647727272727272
μπαμπάδες,0.04358974358974359,0.08461538461538462,0.010256410256410256,0.05897435897435897,0.03076923076923077,0.11025641025641025,0.18461538461538463,0.017948717948717947,0.028205128205128206,0.09230769230769231
