,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χίπστερ,0.05194805194805195,0.15064935064935064,0.007792207792207792,0.04935064935064935,0.08831168831168831,0.07012987012987013,0.2597402597402597,0.02077922077922078,0.04155844155844156,0.2051948051948052
σπασίκλες,0.015151515151515152,0.05808080808080808,0.010101010101010102,0.05808080808080808,0.08333333333333333,0.08838383838383838,0.20707070707070707,0.03787878787878788,0.04040404040404041,0.11363636363636363
βλάχοι,0.04912280701754386,0.10526315789473684,0.010526315789473684,0.031578947368421054,0.07368421052631578,0.0912280701754386,0.23157894736842105,0.017543859649122806,0.021052631578947368,0.15087719298245614
άστεγοι,0.07744107744107744,0.06397306397306397,0.020202020202020204,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.1919191919191919,0.0707070707070707,0.037037037037037035,0.08754208754208755
φεμινίστριες,0.030120481927710843,0.0783132530120482,0.015060240963855422,0.06927710843373494,0.08132530120481928,0.10542168674698796,0.18674698795180722,0.06325301204819277,0.04216867469879518,0.1144578313253012
πλούσιοι,0.06072874493927125,0.11336032388663968,0.016194331983805668,0.05263157894736842,0.06072874493927125,0.10121457489878542,0.21862348178137653,0.06072874493927125,0.02834008097165992,0.0931174089068826
φτωχοί,0.055350553505535055,0.1070110701107011,0.01845018450184502,0.04428044280442804,0.05166051660516605,0.0959409594095941,0.22140221402214022,0.04797047970479705,0.03690036900369004,0.11439114391143912
εγκληματίες,0.07647058823529412,0.07352941176470588,0.023529411764705882,0.08235294117647059,0.029411764705882353,0.10294117647058823,0.24705882352941178,0.06470588235294118,0.03529411764705882,0.13529411764705881
aδελφότητες,0.031055900621118012,0.10559006211180125,0.0,0.062111801242236024,0.07142857142857142,0.10559006211180125,0.20496894409937888,0.040372670807453416,0.037267080745341616,0.18633540372670807
μέλος aδελφότητας,0.02459016393442623,0.07103825136612021,0.0,0.04371584699453552,0.03278688524590164,0.06557377049180328,0.273224043715847,0.02459016393442623,0.01366120218579235,0.16393442622950818
μέλος aδελφότητας,0.02459016393442623,0.07103825136612021,0.0,0.04371584699453552,0.03278688524590164,0.06557377049180328,0.273224043715847,0.02459016393442623,0.01366120218579235,0.16393442622950818
χίπιδες,0.007751937984496124,0.082687338501292,0.012919896640826873,0.046511627906976744,0.059431524547803614,0.059431524547803614,0.19121447028423771,0.015503875968992248,0.031007751937984496,0.08785529715762273
φυτά,0.016901408450704224,0.09014084507042254,0.011267605633802818,0.04507042253521127,0.07605633802816901,0.061971830985915494,0.27887323943661974,0.016901408450704224,0.056338028169014086,0.08732394366197183
γκοθ,0.031496062992125984,0.07874015748031496,0.023622047244094488,0.015748031496062992,0.11023622047244094,0.03937007874015748,0.28346456692913385,0.0,0.07086614173228346,0.13385826771653545
πανκ,0.0379746835443038,0.10548523206751055,0.004219409282700422,0.04219409282700422,0.046413502109704644,0.08016877637130802,0.22784810126582278,0.03375527426160337,0.04219409282700422,0.13924050632911392
Καλιφορνέζοι,0.04824561403508772,0.08333333333333333,0.013157894736842105,0.039473684210526314,0.05263157894736842,0.12719298245614036,0.20175438596491227,0.02631578947368421,0.039473684210526314,0.12280701754385964
διασημότητες,0.006968641114982578,0.024390243902439025,0.017421602787456445,0.059233449477351915,0.03484320557491289,0.08710801393728224,0.21602787456445993,0.041811846689895474,0.020905923344947737,0.13240418118466898
κοκκινομάλλες,0.0078125,0.08072916666666667,0.013020833333333334,0.0390625,0.08333333333333333,0.07552083333333333,0.1796875,0.013020833333333334,0.0546875,0.07291666666666667
