,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Φοιτητές,0.07006369426751592,0.08280254777070063,0.012738853503184714,0.03821656050955414,0.07006369426751592,0.09554140127388536,0.2611464968152866,0.025477707006369428,0.03821656050955414,0.18471337579617833
πολιτικοί,0.09813084112149532,0.056074766355140186,0.004672897196261682,0.056074766355140186,0.014018691588785047,0.12149532710280374,0.22897196261682243,0.009345794392523364,0.02336448598130841,0.11214953271028037
γιατρoί,0.0400890868596882,0.0935412026726058,0.013363028953229399,0.07126948775055679,0.066815144766147,0.06904231625835189,0.24276169265033407,0.04899777282850779,0.035634743875278395,0.1447661469933185
επιχειρηματίες,0.057692307692307696,0.08241758241758242,0.0,0.04120879120879121,0.027472527472527472,0.08791208791208792,0.2087912087912088,0.024725274725274724,0.024725274725274724,0.09615384615384616
βιβλιοθηκάριοι,0.030927835051546393,0.07731958762886598,0.0,0.028350515463917526,0.02577319587628866,0.07216494845360824,0.23195876288659795,0.020618556701030927,0.023195876288659795,0.11855670103092783
καλλιτέχνες,0.037914691943127965,0.0924170616113744,0.002369668246445498,0.035545023696682464,0.04265402843601896,0.08293838862559241,0.22748815165876776,0.026066350710900472,0.04265402843601896,0.08530805687203792
καθηγητές,0.055408970976253295,0.07651715039577836,0.002638522427440633,0.04221635883905013,0.029023746701846966,0.08970976253298153,0.23218997361477572,0.023746701846965697,0.026385224274406333,0.1345646437994723
ιερείς,0.05537459283387622,0.10749185667752444,0.013029315960912053,0.035830618892508145,0.08143322475570032,0.09120521172638436,0.2768729641693811,0.029315960912052116,0.03257328990228013,0.19218241042345277
αφεντικά,0.05702647657841141,0.10183299389002037,0.002036659877800407,0.06924643584521385,0.04276985743380855,0.10590631364562118,0.20570264765784113,0.03665987780040733,0.03054989816700611,0.12627291242362526
αστυνομία,0.07584269662921349,0.12359550561797752,0.0056179775280898875,0.08146067415730338,0.05337078651685393,0.09831460674157304,0.22191011235955055,0.03932584269662921,0.0449438202247191,0.17134831460674158
αστυνομικοί,0.09480122324159021,0.0856269113149847,0.0030581039755351682,0.08868501529051988,0.012232415902140673,0.11314984709480122,0.1834862385321101,0.03669724770642202,0.01529051987767584,0.11926605504587157
στρατιώτες,0.09345794392523364,0.09034267912772585,0.003115264797507788,0.08411214953271028,0.037383177570093455,0.1277258566978193,0.24299065420560748,0.04984423676012461,0.028037383177570093,0.14641744548286603
επιστήμονες,0.046511627906976744,0.12144702842377261,0.0,0.04909560723514212,0.059431524547803614,0.07493540051679587,0.28940568475452194,0.015503875968992248,0.028423772609819122,0.1343669250645995
γιατροί,0.03512396694214876,0.08677685950413223,0.0,0.04338842975206612,0.030991735537190084,0.05371900826446281,0.23760330578512398,0.01652892561983471,0.014462809917355372,0.13429752066115702
ταμίες,0.02077922077922078,0.08311688311688312,0.0025974025974025974,0.05974025974025974,0.03636363636363636,0.08051948051948052,0.16883116883116883,0.03636363636363636,0.03116883116883117,0.14285714285714285
οικονόμοι,0.0335195530726257,0.06983240223463687,0.0111731843575419,0.0335195530726257,0.05307262569832402,0.07541899441340782,0.26536312849162014,0.0446927374301676,0.03910614525139665,0.16201117318435754
δάσκαλοι,0.0473186119873817,0.056782334384858045,0.0,0.03470031545741325,0.031545741324921134,0.11041009463722397,0.2113564668769716,0.028391167192429023,0.025236593059936908,0.1167192429022082
θυρωροί,0.013377926421404682,0.09364548494983277,0.006688963210702341,0.033444816053511704,0.056856187290969896,0.05351170568561873,0.18394648829431437,0.020066889632107024,0.016722408026755852,0.15384615384615385
μοντέλα,0.003976143141153081,0.07952286282306163,0.009940357852882704,0.02186878727634195,0.03777335984095427,0.05168986083499006,0.1908548707753479,0.009940357852882704,0.02982107355864811,0.06560636182902585
ηθοποιοί,0.05952380952380952,0.06547619047619048,0.002976190476190476,0.041666666666666664,0.020833333333333332,0.10714285714285714,0.17857142857142858,0.026785714285714284,0.01488095238095238,0.06547619047619048
πιλότοι,0.08767123287671233,0.08767123287671233,0.005479452054794521,0.0821917808219178,0.043835616438356165,0.1232876712328767,0.2328767123287671,0.038356164383561646,0.03287671232876712,0.1589041095890411
στρίπερ,0.018867924528301886,0.0859538784067086,0.0041928721174004195,0.029350104821802937,0.06289308176100629,0.04612159329140461,0.20125786163522014,0.006289308176100629,0.033542976939203356,0.09643605870020965
μεσίτες,0.04941860465116279,0.08430232558139535,0.0029069767441860465,0.040697674418604654,0.040697674418604654,0.08430232558139535,0.25290697674418605,0.01744186046511628,0.020348837209302327,0.16279069767441862
κομμωτές,0.08152173913043478,0.07608695652173914,0.0,0.07336956521739131,0.035326086956521736,0.12228260869565218,0.21195652173913043,0.03260869565217391,0.03260869565217391,0.1331521739130435
μπάρμαν,0.022123893805309734,0.12168141592920353,0.0022123893805309734,0.03761061946902655,0.03982300884955752,0.046460176991150445,0.19690265486725664,0.00663716814159292,0.017699115044247787,0.10619469026548672
διπλωμάτες,0.06338028169014084,0.08098591549295775,0.0,0.056338028169014086,0.03873239436619718,0.09507042253521127,0.2535211267605634,0.03169014084507042,0.02464788732394366,0.16901408450704225
