,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Μαύροι άνθρωποι,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.041666666666666664,0.2916666666666667,0.0,0.0,0.1875
Μεξικανοί,0.08374384236453201,0.12807881773399016,0.0,0.04433497536945813,0.07389162561576355,0.10837438423645321,0.28078817733990147,0.019704433497536946,0.029556650246305417,0.19704433497536947
Έγχρωμοι,0.023076923076923078,0.13076923076923078,0.03076923076923077,0.023076923076923078,0.09230769230769231,0.1076923076923077,0.23846153846153847,0.038461538461538464,0.046153846153846156,0.19230769230769232
Άραβες,0.06374501992031872,0.10756972111553785,0.0,0.035856573705179286,0.0796812749003984,0.10756972111553785,0.2549800796812749,0.01593625498007968,0.027888446215139442,0.17928286852589642
Μαύροι,0.04054054054054054,0.06756756756756757,0.013513513513513514,0.0,0.06756756756756757,0.08108108108108109,0.22972972972972974,0.0,0.013513513513513514,0.17567567567567569
Ασιάτισσες,0.012145748987854251,0.07692307692307693,0.008097165991902834,0.03643724696356275,0.10931174089068826,0.0728744939271255,0.23481781376518218,0.024291497975708502,0.048582995951417005,0.10931174089068826
Ασιάτες,0.06989247311827956,0.0913978494623656,0.005376344086021506,0.03763440860215054,0.08602150537634409,0.12365591397849462,0.27419354838709675,0.021505376344086023,0.03225806451612903,0.20430107526881722
Μαύρες,0.03816793893129771,0.09923664122137404,0.007633587786259542,0.03816793893129771,0.06870229007633588,0.03816793893129771,0.16030534351145037,0.030534351145038167,0.04580152671755725,0.06870229007633588
Ινδοί,0.059322033898305086,0.1228813559322034,0.012711864406779662,0.029661016949152543,0.08898305084745763,0.08050847457627118,0.2838983050847458,0.01694915254237288,0.038135593220338986,0.18220338983050846
Ινδές,0.07264957264957266,0.13247863247863248,0.02564102564102564,0.029914529914529916,0.1111111111111111,0.0811965811965812,0.32051282051282054,0.017094017094017096,0.03418803418803419,0.17094017094017094
Κινέζοι,0.07317073170731707,0.09268292682926829,0.00975609756097561,0.04390243902439024,0.04390243902439024,0.1073170731707317,0.23414634146341465,0.024390243902439025,0.03902439024390244,0.13658536585365855
Κινέζες,0.06046511627906977,0.11162790697674418,0.004651162790697674,0.05116279069767442,0.06976744186046512,0.10697674418604651,0.23255813953488372,0.018604651162790697,0.037209302325581395,0.14418604651162792
Λατίνες,0.04419889502762431,0.1270718232044199,0.016574585635359115,0.011049723756906077,0.11602209944751381,0.07734806629834254,0.2983425414364641,0.022099447513812154,0.03314917127071823,0.19337016574585636
Λατίνοι,0.07352941176470588,0.1323529411764706,0.0196078431372549,0.014705882352941176,0.09803921568627451,0.09313725490196079,0.2647058823529412,0.0196078431372549,0.0392156862745098,0.19117647058823528
Μαύρα παιδιά,0.04225352112676056,0.09154929577464789,0.02112676056338028,0.06338028169014084,0.11267605633802817,0.11971830985915492,0.2112676056338028,0.056338028169014086,0.07746478873239436,0.09859154929577464
αφροαμερικάνοι,0.06719367588932806,0.10276679841897234,0.0,0.05928853754940711,0.05138339920948617,0.11067193675889328,0.25691699604743085,0.019762845849802372,0.03162055335968379,0.16205533596837945
Αφγανοί,0.060714285714285714,0.11428571428571428,0.0,0.05714285714285714,0.06428571428571428,0.10357142857142858,0.26071428571428573,0.017857142857142856,0.03214285714285714,0.16071428571428573
Ιρακινοί,0.07758620689655173,0.1336206896551724,0.004310344827586207,0.07327586206896551,0.0603448275862069,0.11206896551724138,0.2543103448275862,0.021551724137931036,0.021551724137931036,0.16810344827586207
Ιρανοί,0.06349206349206349,0.1626984126984127,0.003968253968253968,0.03571428571428571,0.10317460317460317,0.0992063492063492,0.28174603174603174,0.023809523809523808,0.03571428571428571,0.19047619047619047
Ιρανοί,0.06349206349206349,0.1626984126984127,0.003968253968253968,0.03571428571428571,0.10317460317460317,0.0992063492063492,0.28174603174603174,0.023809523809523808,0.03571428571428571,0.19047619047619047
Σύριοι,0.057971014492753624,0.1497584541062802,0.014492753623188406,0.01932367149758454,0.12077294685990338,0.06763285024154589,0.33816425120772947,0.00966183574879227,0.024154589371980676,0.2463768115942029
Πακιστανοί,0.06763285024154589,0.07729468599033816,0.004830917874396135,0.04830917874396135,0.04830917874396135,0.13043478260869565,0.22705314009661837,0.024154589371980676,0.024154589371980676,0.17391304347826086
Ρουμάνοι,0.06741573033707865,0.11235955056179775,0.011235955056179775,0.026217228464419477,0.0749063670411985,0.09363295880149813,0.25842696629213485,0.018726591760299626,0.026217228464419477,0.1647940074906367
Τούρκοι,0.11570247933884298,0.10743801652892562,0.004132231404958678,0.07851239669421488,0.049586776859504134,0.1487603305785124,0.23553719008264462,0.028925619834710745,0.024793388429752067,0.16942148760330578
μουσουλμάνοι,0.05642633228840126,0.109717868338558,0.012539184952978056,0.03134796238244514,0.07210031347962383,0.07836990595611286,0.2445141065830721,0.012539184952978056,0.02821316614420063,0.15673981191222572
Μορμόνοι,0.011111111111111112,0.15555555555555556,0.011111111111111112,0.011111111111111112,0.12222222222222222,0.03333333333333333,0.28888888888888886,0.0,0.011111111111111112,0.23333333333333334
μετανάστες,0.06521739130434782,0.08333333333333333,0.018115942028985508,0.07608695652173914,0.05434782608695652,0.12318840579710146,0.21014492753623187,0.07608695652173914,0.04710144927536232,0.09420289855072464
ομοφυλόφιλοι,0.0784313725490196,0.049019607843137254,0.0,0.06209150326797386,0.032679738562091505,0.12091503267973856,0.22875816993464052,0.049019607843137254,0.029411764705882353,0.12091503267973856
λεσβίες,0.021739130434782608,0.08695652173913043,0.018633540372670808,0.055900621118012424,0.07763975155279502,0.040372670807453416,0.2267080745341615,0.015527950310559006,0.037267080745341616,0.15527950310559005
queer άτομα,0.037296037296037296,0.08391608391608392,0.009324009324009324,0.046620046620046623,0.05128205128205128,0.06060606060606061,0.2517482517482518,0.027972027972027972,0.030303030303030304,0.07925407925407925
ομοφυλόφιλοι,0.0784313725490196,0.049019607843137254,0.0,0.06209150326797386,0.032679738562091505,0.12091503267973856,0.22875816993464052,0.049019607843137254,0.029411764705882353,0.12091503267973856
πούστιδες,0.0182370820668693,0.07598784194528875,0.0243161094224924,0.04559270516717325,0.08814589665653495,0.0668693009118541,0.182370820668693,0.0243161094224924,0.057750759878419454,0.10030395136778116
πούστιδες,0.0182370820668693,0.07598784194528875,0.0243161094224924,0.04559270516717325,0.08814589665653495,0.0668693009118541,0.182370820668693,0.0243161094224924,0.057750759878419454,0.10030395136778116
