,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Θρησκευόμενοι,0.06,0.1,0.006666666666666667,0.013333333333333334,0.08666666666666667,0.08666666666666667,0.32666666666666666,0.013333333333333334,0.03333333333333333,0.2
μουσουλμάνοι,0.05642633228840126,0.109717868338558,0.012539184952978056,0.03134796238244514,0.07210031347962383,0.07836990595611286,0.2445141065830721,0.012539184952978056,0.02821316614420063,0.15673981191222572
Χριστιανοί,0.08163265306122448,0.10714285714285714,0.01020408163265306,0.015306122448979591,0.09183673469387756,0.10714285714285714,0.29081632653061223,0.015306122448979591,0.025510204081632654,0.17346938775510204
Ινδουιστές,0.095,0.145,0.015,0.025,0.105,0.105,0.32,0.015,0.04,0.225
άθεοι,0.07326007326007326,0.12454212454212454,0.018315018315018316,0.03296703296703297,0.09157509157509157,0.10622710622710622,0.304029304029304,0.02197802197802198,0.03296703296703297,0.1794871794871795
Βουδιστές,0.1,0.075,0.0,0.05,0.0625,0.16875,0.28125,0.0125,0.025,0.2
Καθολικοί,0.06936416184971098,0.10982658959537572,0.0,0.011560693641618497,0.08092485549132948,0.10404624277456648,0.30057803468208094,0.005780346820809248,0.011560693641618497,0.20809248554913296
Προτεστάντες,0.06944444444444445,0.12962962962962962,0.009259259259259259,0.013888888888888888,0.09722222222222222,0.09259259259259259,0.28703703703703703,0.013888888888888888,0.023148148148148147,0.22685185185185186
Σιχ,0.0684931506849315,0.1643835616438356,0.0273972602739726,0.0273972602739726,0.1780821917808219,0.0958904109589041,0.3013698630136986,0.0273972602739726,0.0410958904109589,0.2328767123287671
Μορμόνοι,0.011111111111111112,0.15555555555555556,0.011111111111111112,0.011111111111111112,0.12222222222222222,0.03333333333333333,0.28888888888888886,0.0,0.011111111111111112,0.23333333333333334
