,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
studenti,0.07711442786069651,0.06716417910447761,0.03482587064676617,0.05721393034825871,0.09950248756218906,0.1417910447761194,0.2860696517412935,0.05721393034825871,0.03233830845771144,0.16417910447761194
političari,0.10864197530864197,0.05925925925925926,0.07407407407407407,0.06666666666666667,0.06666666666666667,0.19012345679012346,0.24691358024691357,0.07160493827160494,0.037037037037037035,0.1580246913580247
liječnici,0.07294117647058823,0.08235294117647059,0.04,0.09647058823529411,0.05176470588235294,0.18588235294117647,0.24705882352941178,0.07764705882352942,0.04,0.19058823529411764
poslovni ljudi,0.03636363636363636,0.08636363636363636,0.03636363636363636,0.029545454545454545,0.09772727272727273,0.1,0.30454545454545456,0.056818181818181816,0.03409090909090909,0.17954545454545454
knjižničari,0.07142857142857142,0.04926108374384237,0.046798029556650245,0.046798029556650245,0.08374384236453201,0.15024630541871922,0.29064039408866993,0.06896551724137931,0.03201970443349754,0.18226600985221675
umjetnici,0.059496567505720827,0.08237986270022883,0.043478260869565216,0.04805491990846682,0.09610983981693363,0.09382151029748284,0.30892448512585813,0.06636155606407322,0.06178489702517163,0.12585812356979406
profesori,0.05656108597285068,0.07239819004524888,0.03619909502262444,0.038461538461538464,0.0746606334841629,0.12217194570135746,0.2828054298642534,0.042986425339366516,0.038461538461538464,0.19004524886877827
svećenici,0.07712082262210797,0.06683804627249357,0.04113110539845758,0.04627249357326478,0.061696658097686374,0.14652956298200515,0.2390745501285347,0.04884318766066838,0.03598971722365039,0.1953727506426735
šefovi,0.06516290726817042,0.06516290726817042,0.040100250626566414,0.045112781954887216,0.08020050125313283,0.12781954887218044,0.2857142857142857,0.06015037593984962,0.03759398496240601,0.17543859649122806
policajci,0.08552631578947369,0.05701754385964912,0.05921052631578947,0.10526315789473684,0.05043859649122807,0.19078947368421054,0.2236842105263158,0.08114035087719298,0.03070175438596491,0.12280701754385964
policajci,0.08552631578947369,0.05701754385964912,0.05921052631578947,0.10526315789473684,0.05043859649122807,0.19078947368421054,0.2236842105263158,0.08114035087719298,0.03070175438596491,0.12280701754385964
vojnici,0.0798004987531172,0.06733167082294264,0.05486284289276808,0.08977556109725686,0.06483790523690773,0.15211970074812967,0.24688279301745636,0.057356608478802994,0.02743142144638404,0.14463840399002495
znanstvenici,0.06685236768802229,0.06406685236768803,0.03064066852367688,0.025069637883008356,0.027855153203342618,0.13649025069637882,0.20055710306406685,0.016713091922005572,0.025069637883008356,0.14484679665738162
liječnici,0.07294117647058823,0.08235294117647059,0.04,0.09647058823529411,0.05176470588235294,0.18588235294117647,0.24705882352941178,0.07764705882352942,0.04,0.19058823529411764
Blagajnici,0.046153846153846156,0.06461538461538462,0.07076923076923076,0.043076923076923075,0.07076923076923076,0.12923076923076923,0.2523076923076923,0.043076923076923075,0.03076923076923077,0.1753846153846154
domaćice,0.0821917808219178,0.06653620352250489,0.043052837573385516,0.06457925636007827,0.0547945205479452,0.11741682974559686,0.1917808219178082,0.019569471624266144,0.023483365949119372,0.12524461839530332
učitelji,0.07373271889400922,0.08525345622119816,0.055299539170506916,0.059907834101382486,0.07834101382488479,0.15668202764976957,0.28110599078341014,0.06451612903225806,0.04608294930875576,0.1889400921658986
domari,0.037142857142857144,0.05714285714285714,0.04857142857142857,0.02,0.05714285714285714,0.10285714285714286,0.19714285714285715,0.037142857142857144,0.03428571428571429,0.13714285714285715
modeli,0.030991735537190084,0.04132231404958678,0.026859504132231406,0.026859504132231406,0.0371900826446281,0.049586776859504134,0.1797520661157025,0.028925619834710745,0.02066115702479339,0.08264462809917356
glumice,0.09872611464968153,0.052547770700636945,0.03980891719745223,0.06050955414012739,0.042993630573248405,0.13535031847133758,0.18471337579617833,0.02388535031847134,0.01910828025477707,0.09394904458598727
