,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Crnci,0.06563706563706563,0.023166023166023165,0.06563706563706563,0.09266409266409266,0.03861003861003861,0.11969111969111969,0.22393822393822393,0.03088803088803089,0.015444015444015444,0.15444015444015444
Meksikanci,0.03858520900321544,0.04501607717041801,0.06109324758842444,0.05787781350482315,0.0707395498392283,0.1189710610932476,0.2572347266881029,0.022508038585209004,0.01929260450160772,0.15112540192926044
Crnci,0.06563706563706563,0.023166023166023165,0.06563706563706563,0.09266409266409266,0.03861003861003861,0.11969111969111969,0.22393822393822393,0.03088803088803089,0.015444015444015444,0.15444015444015444
Arapi,0.07191780821917808,0.0410958904109589,0.08561643835616438,0.09931506849315068,0.0684931506849315,0.1780821917808219,0.18493150684931506,0.03424657534246575,0.023972602739726026,0.14383561643835616
Crnci,0.06563706563706563,0.023166023166023165,0.06563706563706563,0.09266409266409266,0.03861003861003861,0.11969111969111969,0.22393822393822393,0.03088803088803089,0.015444015444015444,0.15444015444015444
azijske žene,0.11423220973782772,0.0749063670411985,0.06367041198501873,0.09925093632958802,0.07116104868913857,0.15917602996254682,0.1797752808988764,0.06367041198501873,0.028089887640449437,0.10486891385767791
azijski muškarci,0.0488997555012225,0.07334963325183375,0.05134474327628362,0.04156479217603912,0.10513447432762836,0.13202933985330073,0.21515892420537897,0.061124694376528114,0.007334963325183374,0.14180929095354522
Crne žene,0.1125,0.06875,0.06666666666666667,0.08541666666666667,0.06458333333333334,0.1625,0.17291666666666666,0.04583333333333333,0.022916666666666665,0.10416666666666667
indijski muškarci,0.04702970297029703,0.07673267326732673,0.04950495049504951,0.04207920792079208,0.11138613861386139,0.10396039603960396,0.2400990099009901,0.05693069306930693,0.017326732673267328,0.15841584158415842
Indijske žene,0.10685483870967742,0.06653225806451613,0.06048387096774194,0.08266129032258064,0.07056451612903226,0.15120967741935484,0.17137096774193547,0.05241935483870968,0.024193548387096774,0.1028225806451613
Kinezi,0.0659025787965616,0.07163323782234957,0.0830945558739255,0.08882521489971347,0.10315186246418338,0.19484240687679083,0.2349570200573066,0.04871060171919771,0.03151862464183381,0.17478510028653296
Kineskinje,0.09255079006772009,0.07223476297968397,0.05191873589164785,0.08577878103837472,0.0744920993227991,0.1309255079006772,0.20090293453724606,0.060948081264108354,0.029345372460496615,0.1309255079006772
Latinoamerikanke,0.13033175355450238,0.06635071090047394,0.08530805687203792,0.12322274881516587,0.06872037914691943,0.16587677725118483,0.15876777251184834,0.08767772511848342,0.026066350710900472,0.11848341232227488
Latinoamerikanci,0.03257328990228013,0.048859934853420196,0.05863192182410423,0.05537459283387622,0.06514657980456026,0.11074918566775244,0.24104234527687296,0.03908794788273615,0.02280130293159609,0.15309446254071662
Crna djeca,0.06426735218508997,0.03598971722365039,0.017994858611825194,0.06940874035989718,0.030848329048843187,0.10025706940874037,0.16966580976863754,0.02570694087403599,0.030848329048843187,0.06683804627249357
afro amerikanci,0.046753246753246755,0.03896103896103896,0.05454545454545454,0.07792207792207792,0.07012987012987013,0.13246753246753246,0.17922077922077922,0.04415584415584416,0.012987012987012988,0.12207792207792208
Afganistanci,0.0778816199376947,0.06230529595015576,0.08411214953271028,0.14018691588785046,0.06853582554517133,0.21495327102803738,0.17757009345794392,0.07165109034267912,0.018691588785046728,0.14641744548286603
Iračani,0.11304347826086956,0.06086956521739131,0.07246376811594203,0.16521739130434782,0.0463768115942029,0.24057971014492754,0.1826086956521739,0.08695652173913043,0.028985507246376812,0.12753623188405797
iranski narodi,0.0990990990990991,0.07507507507507508,0.09309309309309309,0.13513513513513514,0.05405405405405406,0.18018018018018017,0.1831831831831832,0.06006006006006006,0.018018018018018018,0.2042042042042042
Iranci,0.09337349397590361,0.04216867469879518,0.07530120481927711,0.12650602409638553,0.05120481927710843,0.23493975903614459,0.17771084337349397,0.07228915662650602,0.015060240963855422,0.12951807228915663
Sirijci,0.06441717791411043,0.04294478527607362,0.0705521472392638,0.13803680981595093,0.05828220858895705,0.1901840490797546,0.2085889570552147,0.03987730061349693,0.006134969325153374,0.147239263803681
Pakistanci,0.10223642172523961,0.06389776357827476,0.07667731629392971,0.11501597444089456,0.054313099041533544,0.22044728434504793,0.18849840255591055,0.04792332268370607,0.019169329073482427,0.13738019169329074
Rumunji,0.06796116504854369,0.038834951456310676,0.07119741100323625,0.10355987055016182,0.04854368932038835,0.19741100323624594,0.22330097087378642,0.038834951456310676,0.006472491909385114,0.16828478964401294
turski narodi,0.06774193548387097,0.05806451612903226,0.09032258064516129,0.1,0.06774193548387097,0.14516129032258066,0.17096774193548386,0.025806451612903226,0.01935483870967742,0.15806451612903225
Muslimani,0.08187134502923976,0.02631578947368421,0.0847953216374269,0.12280701754385964,0.06140350877192982,0.20175438596491227,0.18421052631578946,0.05555555555555555,0.029239766081871343,0.13742690058479531
Mormoni,0.04199475065616798,0.047244094488188976,0.03937007874015748,0.06561679790026247,0.06036745406824147,0.13123359580052493,0.28346456692913385,0.047244094488188976,0.026246719160104987,0.15485564304461943
doseljenici,0.056782334384858045,0.03470031545741325,0.04100946372239748,0.07570977917981073,0.03785488958990536,0.11356466876971609,0.17665615141955837,0.03785488958990536,0.012618296529968454,0.09779179810725552
gay ljudi,0.11349036402569593,0.059957173447537475,0.0728051391862955,0.11134903640256959,0.09635974304068523,0.1905781584582441,0.17558886509635974,0.09635974304068523,0.019271948608137045,0.13704496788008566
lezbijke,0.1189083820662768,0.06237816764132553,0.06432748538011696,0.08576998050682261,0.07797270955165692,0.17153996101364521,0.19298245614035087,0.07017543859649122,0.03313840155945419,0.10526315789473684
queer ljudi,0.07569721115537849,0.07370517928286853,0.03386454183266932,0.049800796812749,0.07569721115537849,0.11952191235059761,0.20318725099601595,0.05976095617529881,0.025896414342629483,0.09561752988047809
homoseksualci,0.13106796116504854,0.0703883495145631,0.11165048543689321,0.16747572815533981,0.07766990291262135,0.23300970873786409,0.1820388349514563,0.1383495145631068,0.021844660194174758,0.1407766990291262
pederi,0.07989690721649484,0.07216494845360824,0.07731958762886598,0.08247422680412371,0.09020618556701031,0.21391752577319587,0.23711340206185566,0.06958762886597938,0.03608247422680412,0.15979381443298968
pederi,0.07989690721649484,0.07216494845360824,0.07731958762886598,0.08247422680412371,0.09020618556701031,0.21391752577319587,0.23711340206185566,0.06958762886597938,0.03608247422680412,0.15979381443298968
