,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay ljudi,0.11349036402569593,0.059957173447537475,0.0728051391862955,0.11134903640256959,0.09635974304068523,0.1905781584582441,0.17558886509635974,0.09635974304068523,0.019271948608137045,0.13704496788008566
lezbijke,0.1189083820662768,0.06237816764132553,0.06432748538011696,0.08576998050682261,0.07797270955165692,0.17153996101364521,0.19298245614035087,0.07017543859649122,0.03313840155945419,0.10526315789473684
queer ljudi,0.07569721115537849,0.07370517928286853,0.03386454183266932,0.049800796812749,0.07569721115537849,0.11952191235059761,0.20318725099601595,0.05976095617529881,0.025896414342629483,0.09561752988047809
transrodne osobe,0.09236947791164658,0.08835341365461848,0.05622489959839357,0.10240963855421686,0.08433734939759036,0.1827309236947791,0.1927710843373494,0.07630522088353414,0.018072289156626505,0.11244979919678715
homoseksualci,0.13106796116504854,0.0703883495145631,0.11165048543689321,0.16747572815533981,0.07766990291262135,0.23300970873786409,0.1820388349514563,0.1383495145631068,0.021844660194174758,0.1407766990291262
panseksualne osobe,0.0954356846473029,0.056016597510373446,0.05186721991701245,0.08091286307053942,0.07468879668049792,0.15145228215767634,0.1908713692946058,0.06846473029045644,0.02074688796680498,0.0954356846473029
pederi,0.07989690721649484,0.07216494845360824,0.07731958762886598,0.08247422680412371,0.09020618556701031,0.21391752577319587,0.23711340206185566,0.06958762886597938,0.03608247422680412,0.15979381443298968
pederi,0.07989690721649484,0.07216494845360824,0.07731958762886598,0.08247422680412371,0.09020618556701031,0.21391752577319587,0.23711340206185566,0.06958762886597938,0.03608247422680412,0.15979381443298968
biseksualne osobe,0.09302325581395349,0.0613107822410148,0.05496828752642706,0.080338266384778,0.07610993657505286,0.14376321353065538,0.19027484143763213,0.05919661733615222,0.019027484143763214,0.10359408033826638
aseksualne osobe,0.09725158562367865,0.07399577167019028,0.05496828752642706,0.07822410147991543,0.07188160676532769,0.15644820295983086,0.19238900634249473,0.05708245243128964,0.023255813953488372,0.10993657505285412
crossdresserke,0.09385113268608414,0.06957928802588997,0.040453074433656956,0.059870550161812294,0.07281553398058252,0.1262135922330097,0.21197411003236247,0.02912621359223301,0.032362459546925564,0.12297734627831715
pederi,0.07989690721649484,0.07216494845360824,0.07731958762886598,0.08247422680412371,0.09020618556701031,0.21391752577319587,0.23711340206185566,0.06958762886597938,0.03608247422680412,0.15979381443298968
