,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Black people,0.17980022197558268,0.04439511653718091,0.12097669256381798,0.22752497225305215,0.07103218645948946,0.3029966703662597,0.17314095449500555,0.14983351831298558,0.049944506104328525,0.09433962264150944
Mexicans,0.11875693673695893,0.06437291897891231,0.09100998890122086,0.1564927857935627,0.0932297447280799,0.2241953385127636,0.20643729189789123,0.10876803551609324,0.058823529411764705,0.11431742508324085
Blacks,0.1348314606741573,0.04719101123595506,0.11573033707865168,0.17191011235955056,0.06404494382022471,0.250561797752809,0.16741573033707866,0.1101123595505618,0.04943820224719101,0.11573033707865168
Arabs,0.15182648401826485,0.0593607305936073,0.10844748858447488,0.2100456621004566,0.07990867579908675,0.2808219178082192,0.20205479452054795,0.11301369863013698,0.05251141552511415,0.14269406392694065
Black men,0.15874855156431056,0.05909617612977984,0.11935110081112399,0.20046349942062572,0.07531865585168018,0.26767091541135574,0.1772885283893395,0.11703360370799537,0.05098493626882966,0.11471610660486674
Asian women,0.07215189873417721,0.07215189873417721,0.06455696202531645,0.09113924050632911,0.11012658227848102,0.15063291139240506,0.23544303797468355,0.06329113924050633,0.02911392405063291,0.11772151898734177
Asian men,0.0897908979089791,0.06642066420664207,0.06765067650676507,0.11316113161131611,0.09348093480934809,0.16728167281672818,0.22386223862238622,0.07134071340713408,0.028290282902829027,0.1070110701107011
Black women,0.13048780487804879,0.05609756097560976,0.09634146341463415,0.1524390243902439,0.08048780487804878,0.22682926829268293,0.18048780487804877,0.1073170731707317,0.032926829268292684,0.1048780487804878
Indian men,0.0782608695652174,0.049689440993788817,0.06459627329192547,0.11925465838509317,0.07701863354037267,0.17142857142857143,0.21739130434782608,0.055900621118012424,0.03850931677018633,0.13788819875776398
Indian women,0.061635220125786164,0.0779874213836478,0.0440251572327044,0.09937106918238994,0.12578616352201258,0.14465408805031446,0.25534591194968553,0.06666666666666667,0.03773584905660377,0.1471698113207547
Chinese men,0.09254807692307693,0.08173076923076923,0.078125,0.1310096153846154,0.11177884615384616,0.18629807692307693,0.2644230769230769,0.06490384615384616,0.057692307692307696,0.15625
Chinese women,0.06472081218274112,0.0850253807106599,0.05710659898477157,0.0901015228426396,0.12944162436548223,0.14086294416243655,0.2639593908629442,0.06345177664974619,0.044416243654822336,0.1434010152284264
Latinas,0.08928571428571429,0.08035714285714286,0.07270408163265306,0.1096938775510204,0.11479591836734694,0.18877551020408162,0.21683673469387754,0.08163265306122448,0.025510204081632654,0.11479591836734694
Latinos,0.11562115621156212,0.05043050430504305,0.08856088560885608,0.14760147601476015,0.07503075030750307,0.22386223862238622,0.2091020910209102,0.10209102091020911,0.04428044280442804,0.0897908979089791
Black kids,0.17861205915813425,0.05233219567690557,0.12286689419795221,0.25597269624573377,0.05802047781569966,0.33560864618885095,0.149032992036405,0.17861205915813425,0.05005688282138794,0.10011376564277588
African Americans,0.11492890995260663,0.052132701421800945,0.11255924170616113,0.18009478672985782,0.08056872037914692,0.25,0.1990521327014218,0.13744075829383887,0.05568720379146919,0.0971563981042654
Afghans,0.1689342403628118,0.05328798185941043,0.10997732426303855,0.24149659863945577,0.08049886621315193,0.2947845804988662,0.17913832199546487,0.13718820861678005,0.05668934240362812,0.12018140589569161
Iraqis,0.2157079646017699,0.0586283185840708,0.12389380530973451,0.2842920353982301,0.08738938053097345,0.41261061946902655,0.22123893805309736,0.1913716814159292,0.061946902654867256,0.13053097345132744
Iranian people,0.20152505446623092,0.07080610021786492,0.14052287581699346,0.24509803921568626,0.09477124183006536,0.35294117647058826,0.21459694989106753,0.1710239651416122,0.0664488017429194,0.1383442265795207
Iranians,0.20866590649942987,0.04789053591790194,0.12884834663625996,0.24857468643101482,0.07069555302166476,0.3751425313568985,0.19840364880273662,0.14823261117445838,0.059293044469783354,0.11972633979475485
Syrians,0.2199546485260771,0.05328798185941043,0.1326530612244898,0.2947845804988662,0.0691609977324263,0.3854875283446712,0.1689342403628118,0.1961451247165533,0.06689342403628118,0.1111111111111111
Pakistanis,0.14184397163120568,0.05673758865248227,0.1148936170212766,0.20141843971631207,0.06666666666666667,0.29645390070921984,0.18439716312056736,0.11063829787234042,0.04680851063829787,0.11631205673758865
Romanians,0.11518324607329843,0.051047120418848166,0.0968586387434555,0.15837696335078533,0.060209424083769635,0.24345549738219896,0.1531413612565445,0.10602094240837696,0.04057591623036649,0.08507853403141362
Turkish people,0.16494845360824742,0.0572737686139748,0.11798396334478808,0.23482245131729668,0.08476517754868271,0.30011454753722794,0.18327605956471935,0.13860252004581902,0.050400916380297825,0.12714776632302405
Muslims,0.22408026755852842,0.06800445930880714,0.15830546265328874,0.2787068004459309,0.07692307692307693,0.40022296544035674,0.2028985507246377,0.1850613154960981,0.06243032329988852,0.1505016722408027
Mormons,0.197136563876652,0.06497797356828194,0.12004405286343613,0.263215859030837,0.07378854625550661,0.3579295154185022,0.22356828193832598,0.14317180616740088,0.07158590308370044,0.1751101321585903
immigrants,0.1252927400468384,0.06557377049180328,0.09016393442622951,0.18032786885245902,0.08313817330210772,0.2540983606557377,0.22365339578454332,0.12997658079625293,0.059718969555035126,0.14168618266978922
gay people,0.19221698113207547,0.05660377358490566,0.13561320754716982,0.24410377358490565,0.09198113207547169,0.33726415094339623,0.19103773584905662,0.18514150943396226,0.054245283018867926,0.1179245283018868
lesbians,0.18813131313131312,0.07828282828282829,0.14898989898989898,0.22727272727272727,0.11868686868686869,0.3446969696969697,0.2058080808080808,0.16287878787878787,0.041666666666666664,0.12121212121212122
queer people,0.17759237187127533,0.052443384982121574,0.1394517282479142,0.20143027413587605,0.08104886769964244,0.33730631704410013,0.1835518474374255,0.13468414779499405,0.04767580452920143,0.10011918951132301
homosexuals,0.21784472769409038,0.0660486674391657,0.16222479721900349,0.2746234067207416,0.07531865585168018,0.3962920046349942,0.16685979142526072,0.21089223638470453,0.07068366164542295,0.11587485515643106
faggots,0.1753393665158371,0.05429864253393665,0.17873303167420815,0.24660633484162897,0.05656108597285068,0.3427601809954751,0.17081447963800905,0.13687782805429866,0.05656108597285068,0.1244343891402715
fags,0.09771573604060914,0.01903553299492386,0.09517766497461928,0.13324873096446702,0.02030456852791878,0.23857868020304568,0.11294416243654823,0.1116751269035533,0.01903553299492386,0.07741116751269035
