,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asiatiques,0.04976303317535545,0.05687203791469194,0.04976303317535545,0.08767772511848342,0.07701421800947868,0.1457345971563981,0.23696682464454977,0.05924170616113744,0.04976303317535545,0.11848341232227488
Américains,0.07093023255813953,0.05813953488372093,0.06744186046511629,0.09651162790697675,0.09302325581395349,0.21046511627906977,0.23953488372093024,0.09651162790697675,0.05232558139534884,0.13604651162790699
Européens,0.04945054945054945,0.05714285714285714,0.05054945054945055,0.08241758241758242,0.0967032967032967,0.2,0.25384615384615383,0.09010989010989011,0.045054945054945054,0.14835164835164835
Juifs,0.13751375137513752,0.0539053905390539,0.08800880088008801,0.15841584158415842,0.07590759075907591,0.297029702970297,0.20132013201320131,0.12321232123212321,0.06930693069306931,0.15071507150715072
Indiens,0.07855361596009976,0.05860349127182045,0.05361596009975062,0.12094763092269327,0.08354114713216958,0.21571072319201995,0.256857855361596,0.08229426433915212,0.05860349127182045,0.1658354114713217
Russes,0.11933701657458563,0.0707182320441989,0.05966850828729282,0.15138121546961325,0.11049723756906077,0.26298342541436465,0.261878453038674,0.0861878453038674,0.06850828729281767,0.1723756906077348
Africains,0.07194244604316546,0.05515587529976019,0.05995203836930456,0.11510791366906475,0.08633093525179857,0.2146282973621103,0.24100719424460432,0.10551558752997602,0.06354916067146282,0.13908872901678657
Noirs,0.057210965435041714,0.07628128724672228,0.03694874851013111,0.09773539928486293,0.08700834326579261,0.16567342073897498,0.22169249106078665,0.06555423122765197,0.0631704410011919,0.14064362336114422
Mexicains,0.07213114754098361,0.05573770491803279,0.05027322404371585,0.08633879781420765,0.11584699453551912,0.1737704918032787,0.2612021857923497,0.07103825136612021,0.05136612021857923,0.1551912568306011
Blancs,0.08227114716106605,0.06141367323290846,0.06720741599073002,0.11471610660486674,0.07068366164542295,0.2213209733487833,0.20162224797219003,0.08574739281575898,0.05214368482039398,0.16106604866743918
personnes Noirs,0.06272189349112427,0.06627218934911243,0.05562130177514793,0.08402366863905325,0.1076923076923077,0.14319526627218934,0.2804733727810651,0.07455621301775148,0.07100591715976332,0.15739644970414202
personnes blanches,0.0692410119840213,0.05326231691078562,0.07190412782956059,0.07856191744340879,0.0758988015978695,0.170439414114514,0.22503328894806923,0.0692410119840213,0.02796271637816245,0.1278295605858855
Allemands,0.09133489461358314,0.05620608899297424,0.053864168618266976,0.12060889929742388,0.10421545667447307,0.20608899297423888,0.25995316159250587,0.07377049180327869,0.06440281030444965,0.16510538641686182
Blondes,0.06174334140435835,0.06053268765133172,0.06053268765133172,0.05690072639225181,0.08716707021791767,0.1271186440677966,0.2288135593220339,0.03268765133171913,0.039951573849878935,0.1234866828087167
filles blondes,0.05860349127182045,0.0798004987531172,0.05361596009975062,0.06359102244389027,0.12967581047381546,0.14713216957605985,0.2817955112219451,0.032418952618453865,0.05361596009975062,0.1396508728179551
Arabes,0.09331797235023041,0.05414746543778802,0.06221198156682028,0.12903225806451613,0.08064516129032258,0.22465437788018433,0.21774193548387097,0.08525345622119816,0.0576036866359447,0.1693548387096774
Américains blancs,0.07625,0.04625,0.06875,0.10875,0.07375,0.21125,0.1975,0.08,0.0525,0.11875
