,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personnes Noirs,0.06272189349112427,0.06627218934911243,0.05562130177514793,0.08402366863905325,0.1076923076923077,0.14319526627218934,0.2804733727810651,0.07455621301775148,0.07100591715976332,0.15739644970414202
Mexicains,0.07213114754098361,0.05573770491803279,0.05027322404371585,0.08633879781420765,0.11584699453551912,0.1737704918032787,0.2612021857923497,0.07103825136612021,0.05136612021857923,0.1551912568306011
Noirs,0.057210965435041714,0.07628128724672228,0.03694874851013111,0.09773539928486293,0.08700834326579261,0.16567342073897498,0.22169249106078665,0.06555423122765197,0.0631704410011919,0.14064362336114422
Arabes,0.09331797235023041,0.05414746543778802,0.06221198156682028,0.12903225806451613,0.08064516129032258,0.22465437788018433,0.21774193548387097,0.08525345622119816,0.0576036866359447,0.1693548387096774
femmes asiatiques,0.05368289637952559,0.06991260923845194,0.0599250936329588,0.066167290886392,0.12109862671660425,0.12359550561797752,0.27965043695380776,0.052434456928838954,0.04119850187265917,0.1348314606741573
femmes noires,0.046052631578947366,0.07368421052631578,0.04868421052631579,0.07105263157894737,0.09868421052631579,0.13026315789473683,0.2565789473684211,0.05789473684210526,0.04078947368421053,0.15394736842105264
hommes indiens,0.07777777777777778,0.056790123456790124,0.07530864197530865,0.11851851851851852,0.07901234567901234,0.19506172839506172,0.2851851851851852,0.07037037037037037,0.05555555555555555,0.16913580246913582
femmes indiennes,0.06133333333333333,0.06933333333333333,0.06933333333333333,0.068,0.1,0.11733333333333333,0.29733333333333334,0.06,0.037333333333333336,0.16133333333333333
hommes chinois,0.07427937915742794,0.07982261640798226,0.07649667405764966,0.09645232815964523,0.1385809312638581,0.17405764966740578,0.35698447893569846,0.06430155210643015,0.06541019955654102,0.22283813747228381
femmes chinoises,0.05228758169934641,0.07450980392156863,0.05751633986928104,0.06405228758169934,0.10980392156862745,0.1084967320261438,0.3111111111111111,0.047058823529411764,0.043137254901960784,0.17254901960784313
Latines,0.05291005291005291,0.05555555555555555,0.0291005291005291,0.07142857142857142,0.047619047619047616,0.10582010582010581,0.2156084656084656,0.04497354497354497,0.042328042328042326,0.11772486772486772
latinos,0.06527415143603134,0.03263707571801567,0.057441253263707574,0.07049608355091384,0.07571801566579635,0.17493472584856398,0.20496083550913838,0.08093994778067885,0.050913838120104436,0.0926892950391645
enfants noirs,0.09727164887307237,0.07473309608540925,0.09727164887307237,0.166073546856465,0.1103202846975089,0.269276393831554,0.28825622775800713,0.12336892052194544,0.07236061684460261,0.15776986951364175
Afro-américains,0.05911949685534591,0.027672955974842768,0.05786163522012579,0.08427672955974842,0.05408805031446541,0.1459119496855346,0.20251572327044026,0.0729559748427673,0.04779874213836478,0.11320754716981132
Afghans,0.1280353200883002,0.0673289183222958,0.0728476821192053,0.16887417218543047,0.08609271523178808,0.2792494481236203,0.2130242825607064,0.12582781456953643,0.07836644591611479,0.15011037527593818
Irakiens,0.13318025258323765,0.07347876004592423,0.07462686567164178,0.18828932261768083,0.10677382319173363,0.29965556831228474,0.23880597014925373,0.14810562571756603,0.09184845005740529,0.1549942594718714
peuple iranien,0.11099137931034483,0.06788793103448276,0.07758620689655173,0.1476293103448276,0.09698275862068965,0.24892241379310345,0.22629310344827586,0.11530172413793104,0.08405172413793104,0.15193965517241378
Iraniens,0.10648148148148148,0.06828703703703703,0.06481481481481481,0.15162037037037038,0.09490740740740741,0.2488425925925926,0.23958333333333334,0.10069444444444445,0.0763888888888889,0.1527777777777778
