,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopía,0.05817610062893082,0.05817610062893082,0.04874213836477988,0.08333333333333333,0.09119496855345911,0.13836477987421383,0.25943396226415094,0.05188679245283019,0.0440251572327044,0.15880503144654087
Europa,0.05950095969289827,0.044145873320537425,0.04030710172744722,0.08445297504798464,0.06525911708253358,0.14779270633397312,0.2034548944337812,0.053742802303262956,0.03838771593090211,0.10748560460652591
Ucrania,0.0990990990990991,0.05555555555555555,0.04804804804804805,0.13063063063063063,0.08708708708708708,0.16366366366366367,0.25375375375375375,0.07207207207207207,0.057057057057057055,0.16816816816816818
Sudán,0.08029197080291971,0.059854014598540145,0.051094890510948905,0.13284671532846715,0.08175182481751825,0.16058394160583941,0.23795620437956205,0.07007299270072993,0.040875912408759124,0.16204379562043797
Afganistán,0.13165266106442577,0.056022408963585436,0.06022408963585434,0.1638655462184874,0.0700280112044818,0.21428571428571427,0.22268907563025211,0.1092436974789916,0.0546218487394958,0.1400560224089636
Irak,0.14961832061068703,0.051908396946564885,0.07022900763358779,0.20763358778625954,0.0717557251908397,0.24732824427480915,0.20916030534351146,0.11603053435114503,0.061068702290076333,0.13893129770992366
Yemen,0.16793893129770993,0.04122137404580153,0.08854961832061069,0.23053435114503817,0.06259541984732825,0.27022900763358776,0.1984732824427481,0.1480916030534351,0.0549618320610687,0.1099236641221374
Rusia,0.09339774557165861,0.05475040257648953,0.05152979066022544,0.13043478260869565,0.07729468599033816,0.1706924315619968,0.2560386473429952,0.07568438003220612,0.04669887278582931,0.14170692431561996
Italia,0.06627680311890838,0.04678362573099415,0.05263157894736842,0.09551656920077972,0.08576998050682261,0.14035087719298245,0.2300194931773879,0.06042884990253411,0.04093567251461988,0.11695906432748537
Somalia,0.11826086956521739,0.04695652173913043,0.07130434782608695,0.1826086956521739,0.057391304347826085,0.21043478260869566,0.2,0.11304347826086956,0.04521739130434783,0.11478260869565217
Irán,0.12320916905444126,0.06303724928366762,0.07163323782234957,0.19197707736389685,0.09025787965616046,0.2034383954154728,0.2593123209169054,0.0988538681948424,0.0673352435530086,0.17191977077363896
Venezuela,0.08901515151515152,0.03977272727272727,0.06439393939393939,0.13446969696969696,0.08712121212121213,0.17803030303030304,0.24431818181818182,0.07954545454545454,0.045454545454545456,0.11742424242424243
Omán,0.07032348804500703,0.07172995780590717,0.06047819971870605,0.08720112517580872,0.090014064697609,0.1308016877637131,0.3066104078762307,0.06188466947960619,0.046413502109704644,0.2011251758087201
Siria,0.140625,0.041015625,0.083984375,0.21875,0.0625,0.2421875,0.189453125,0.130859375,0.046875,0.1171875
