,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.05209840810419682,0.056439942112879886,0.04486251808972504,0.08393632416787265,0.08393632416787265,0.1476121562952243,0.2503617945007236,0.06512301013024602,0.060781476121562955,0.11722141823444283
nerds,0.06814580031695722,0.05705229793977813,0.0554675118858954,0.12678288431061807,0.09508716323296355,0.1901743264659271,0.294770206022187,0.08716323296354993,0.058637083993660855,0.17591125198098256
paletos,0.040455120101137804,0.045512010113780026,0.022756005056890013,0.03666245259165613,0.07079646017699115,0.0632111251580278,0.1997471554993679,0.020227560050568902,0.05056890012642225,0.0632111251580278
gente sin techo,0.08287292817679558,0.05156537753222836,0.06077348066298342,0.09023941068139964,0.0865561694290976,0.1731123388581952,0.21731123388581952,0.07550644567219153,0.03683241252302026,0.11786372007366483
feministas,0.11010830324909747,0.05415162454873646,0.06498194945848375,0.10108303249097472,0.08664259927797834,0.2003610108303249,0.2924187725631769,0.06678700361010831,0.05776173285198556,0.15703971119133575
gente rica,0.08317214700193423,0.06963249516441006,0.07156673114119923,0.08317214700193423,0.10058027079303675,0.17408123791102514,0.24177949709864605,0.08317214700193423,0.048355899419729204,0.13539651837524178
gente pobre,0.09778597785977859,0.055350553505535055,0.09040590405904059,0.1033210332103321,0.09040590405904059,0.2011070110701107,0.24907749077490776,0.11439114391143912,0.03874538745387454,0.14206642066420663
criminales,0.152327221438646,0.06488011283497884,0.1071932299012694,0.2073342736248237,0.0465444287729196,0.2637517630465444,0.2468265162200282,0.12552891396332863,0.05077574047954866,0.18335684062059238
fraternidades,0.04119850187265917,0.04681647940074907,0.016853932584269662,0.04119850187265917,0.08052434456928839,0.0898876404494382,0.2958801498127341,0.04868913857677903,0.031835205992509365,0.1348314606741573
chicos de fraternidad,0.058333333333333334,0.11166666666666666,0.05333333333333334,0.06833333333333333,0.16333333333333333,0.145,0.4116666666666667,0.07333333333333333,0.07,0.20166666666666666
chicas de hermandad,0.09399477806788512,0.09138381201044386,0.05483028720626632,0.09399477806788512,0.15404699738903394,0.1566579634464752,0.3681462140992167,0.04960835509138381,0.04177545691906005,0.1566579634464752
hippies,0.08649468892261002,0.04704097116843703,0.0834597875569044,0.1441578148710167,0.07890743550834597,0.21396054628224584,0.2564491654021244,0.09863429438543247,0.06525037936267071,0.11987860394537178
frikis,0.06841339155749636,0.07860262008733625,0.06550218340611354,0.1091703056768559,0.1091703056768559,0.17758369723435224,0.27510917030567683,0.08879184861717612,0.048034934497816595,0.13682678311499272
góticos,0.05367231638418079,0.06497175141242938,0.05508474576271186,0.07627118644067797,0.09322033898305085,0.1172316384180791,0.2669491525423729,0.06497175141242938,0.04943502824858757,0.16242937853107345
punkis,0.07926829268292683,0.05030487804878049,0.06402439024390244,0.12195121951219512,0.07317073170731707,0.18292682926829268,0.23170731707317074,0.07774390243902439,0.0625,0.11585365853658537
californianos,0.049773755656108594,0.06184012066365008,0.048265460030165915,0.08748114630467571,0.09803921568627451,0.11613876319758673,0.3046757164404223,0.05429864253393665,0.05580693815987934,0.19004524886877827
famosos,0.03268945022288262,0.07280832095096583,0.03417533432392273,0.05200594353640416,0.10401188707280833,0.1188707280832095,0.34323922734026746,0.04011887072808321,0.05052005943536404,0.1723625557206538
pelirrojos,0.05603448275862069,0.09626436781609195,0.04885057471264368,0.07758620689655173,0.13218390804597702,0.14798850574712644,0.29022988505747127,0.06752873563218391,0.07040229885057471,0.13218390804597702
