,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
stariji,0.053497942386831275,0.04526748971193416,0.02263374485596708,0.053497942386831275,0.026748971193415638,0.09259259259259259,0.1522633744855967,0.02880658436213992,0.01646090534979424,0.12345679012345678
djeca,0.04895104895104895,0.055944055944055944,0.018648018648018648,0.037296037296037296,0.027972027972027972,0.10256410256410256,0.1258741258741259,0.03263403263403263,0.018648018648018648,0.1048951048951049
milenijalci,0.03852889667250438,0.050788091068301226,0.03152364273204904,0.03152364273204904,0.03502626970227671,0.07880910683012259,0.12784588441331,0.024518388791593695,0.028021015761821366,0.1190893169877408
tinejdžeri,0.04365079365079365,0.05357142857142857,0.03373015873015873,0.03571428571428571,0.041666666666666664,0.08928571428571429,0.1527777777777778,0.027777777777777776,0.023809523809523808,0.11706349206349206
boomeri,0.0368,0.0544,0.032,0.0288,0.0384,0.08,0.144,0.0272,0.0208,0.12
stari ljudi,0.06073752711496746,0.04338394793926247,0.04338394793926247,0.0650759219088937,0.019522776572668113,0.10412147505422993,0.1475054229934924,0.04121475054229935,0.013015184381778741,0.12581344902386118
starice,0.04963235294117647,0.04779411764705882,0.02389705882352941,0.03125,0.02389705882352941,0.07904411764705882,0.12867647058823528,0.022058823529411766,0.014705882352941176,0.10294117647058823
djeca,0.04895104895104895,0.055944055944055944,0.018648018648018648,0.037296037296037296,0.027972027972027972,0.10256410256410256,0.1258741258741259,0.03263403263403263,0.018648018648018648,0.1048951048951049
tinejdžeri,0.04365079365079365,0.05357142857142857,0.03373015873015873,0.03571428571428571,0.041666666666666664,0.08928571428571429,0.1527777777777778,0.027777777777777776,0.023809523809523808,0.11706349206349206
kćeri,0.05197505197505198,0.0498960498960499,0.04158004158004158,0.0498960498960499,0.0395010395010395,0.10187110187110188,0.12681912681912683,0.0395010395010395,0.018711018711018712,0.1288981288981289
sinovi,0.05591397849462366,0.053763440860215055,0.047311827956989246,0.043010752688172046,0.043010752688172046,0.08387096774193549,0.13118279569892474,0.03870967741935484,0.023655913978494623,0.12473118279569892
