,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopija,0.04504504504504504,0.0518018018018018,0.02702702702702703,0.02927927927927928,0.04054054054054054,0.08108108108108109,0.15090090090090091,0.02927927927927928,0.024774774774774775,0.13513513513513514
Europa,0.014457831325301205,0.04578313253012048,0.01927710843373494,0.014457831325301205,0.03614457831325301,0.043373493975903614,0.14457831325301204,0.012048192771084338,0.012048192771084338,0.14457831325301204
Ukrajina,0.0518018018018018,0.0472972972972973,0.02252252252252252,0.03153153153153153,0.02702702702702703,0.07657657657657657,0.13513513513513514,0.02927927927927928,0.013513513513513514,0.12612612612612611
Sudan,0.046511627906976744,0.04883720930232558,0.02558139534883721,0.030232558139534883,0.037209302325581395,0.08372093023255814,0.14418604651162792,0.03255813953488372,0.020930232558139535,0.13488372093023257
Afganistan,0.03800475059382423,0.0498812351543943,0.021377672209026127,0.04275534441805225,0.0332541567695962,0.0688836104513064,0.16152019002375298,0.030878859857482184,0.019002375296912115,0.13539192399049882
Irak,0.04878048780487805,0.05121951219512195,0.026829268292682926,0.036585365853658534,0.036585365853658534,0.09268292682926829,0.15853658536585366,0.03902439024390244,0.014634146341463415,0.14878048780487804
Jemen,0.04536082474226804,0.04742268041237113,0.032989690721649485,0.030927835051546393,0.0288659793814433,0.08247422680412371,0.11958762886597939,0.03917525773195876,0.026804123711340205,0.1134020618556701
Rusija,0.030878859857482184,0.0498812351543943,0.0166270783847981,0.019002375296912115,0.0332541567695962,0.06175771971496437,0.14726840855106887,0.021377672209026127,0.007125890736342043,0.13539192399049882
Italija,0.020356234096692113,0.05089058524173028,0.017811704834605598,0.010178117048346057,0.04071246819338423,0.05343511450381679,0.15012722646310434,0.022900763358778626,0.01272264631043257,0.1450381679389313
Somalija,0.04772234273318872,0.06073752711496746,0.0368763557483731,0.028199566160520606,0.04121475054229935,0.08676789587852494,0.14967462039045554,0.04338394793926247,0.028199566160520606,0.12581344902386118
Iran,0.03944315545243619,0.048723897911832945,0.02088167053364269,0.027842227378190254,0.03480278422273782,0.0765661252900232,0.1531322505800464,0.027842227378190254,0.016241299303944315,0.14153132250580047
Venezuela,0.02666666666666667,0.042222222222222223,0.022222222222222223,0.028888888888888888,0.03777777777777778,0.057777777777777775,0.13777777777777778,0.035555555555555556,0.017777777777777778,0.13333333333333333
Oman,0.04525862068965517,0.04310344827586207,0.03017241379310345,0.03017241379310345,0.023706896551724137,0.07112068965517242,0.12284482758620689,0.040948275862068964,0.021551724137931036,0.125
Sirija,0.04468085106382979,0.05319148936170213,0.03404255319148936,0.03404255319148936,0.04042553191489362,0.08085106382978724,0.14468085106382977,0.036170212765957444,0.027659574468085105,0.1276595744680851
Kina,0.03636363636363636,0.03116883116883117,0.01818181818181818,0.012987012987012988,0.03636363636363636,0.05714285714285714,0.16103896103896104,0.02077922077922078,0.005194805194805195,0.17662337662337663
Indija,0.04288939051918736,0.05191873589164785,0.03837471783295711,0.03611738148984198,0.040632054176072234,0.07674943566591422,0.15124153498871332,0.03611738148984198,0.029345372460496615,0.1309255079006772
Britanija,0.025821596244131457,0.06338028169014084,0.023474178403755867,0.01643192488262911,0.04225352112676056,0.0539906103286385,0.15492957746478872,0.018779342723004695,0.03286384976525822,0.13615023474178403
Francuska,0.025974025974025976,0.04329004329004329,0.01948051948051948,0.017316017316017316,0.0367965367965368,0.06277056277056277,0.14935064935064934,0.025974025974025976,0.017316017316017316,0.14285714285714285
Grčka,0.03970223325062035,0.04466501240694789,0.019851116625310174,0.022332506203473945,0.02977667493796526,0.07444168734491315,0.1315136476426799,0.02481389578163772,0.01240694789081886,0.1513647642679901
Škotska,0.038876889848812095,0.05399568034557235,0.028077753779697623,0.023758099352051837,0.047516198704103674,0.07991360691144708,0.15766738660907129,0.0367170626349892,0.019438444924406047,0.14038876889848811
Paragvaj,0.04842105263157895,0.05473684210526316,0.037894736842105266,0.04,0.029473684210526315,0.08421052631578947,0.13894736842105262,0.04421052631578947,0.031578947368421054,0.12210526315789473
Brazil,0.02050113895216401,0.04100227790432802,0.018223234624145785,0.022779043280182234,0.03644646924829157,0.05011389521640091,0.14123006833712984,0.025056947608200455,0.015945330296127564,0.13439635535307518
Afrika,0.02610966057441253,0.04699738903394256,0.02349869451697128,0.03655352480417755,0.04177545691906005,0.07049608355091384,0.1514360313315927,0.02610966057441253,0.02349869451697128,0.13577023498694518
Jordan,0.03571428571428571,0.05042016806722689,0.012605042016806723,0.018907563025210083,0.03991596638655462,0.05672268907563025,0.16806722689075632,0.02100840336134454,0.014705882352941176,0.14915966386554622
Indonezija,0.042735042735042736,0.05128205128205128,0.03205128205128205,0.03418803418803419,0.03632478632478633,0.0876068376068376,0.14102564102564102,0.04487179487179487,0.021367521367521368,0.13675213675213677
Vijetnam,0.0423728813559322,0.05084745762711865,0.025423728813559324,0.019067796610169493,0.0423728813559322,0.059322033898305086,0.15677966101694915,0.014830508474576272,0.0211864406779661,0.1419491525423729
Pakistan,0.0547945205479452,0.04337899543378995,0.0228310502283105,0.0365296803652968,0.0365296803652968,0.0730593607305936,0.1643835616438356,0.02968036529680365,0.0228310502283105,0.1598173515981735
Rumunjska,0.036036036036036036,0.0472972972972973,0.024774774774774775,0.02927927927927928,0.036036036036036036,0.07882882882882883,0.14864864864864866,0.02927927927927928,0.013513513513513514,0.13513513513513514
Ekvador,0.03991596638655462,0.04411764705882353,0.025210084033613446,0.031512605042016806,0.031512605042016806,0.07563025210084033,0.13025210084033614,0.03571428571428571,0.018907563025210083,0.12394957983193278
Meksiko,0.02107728337236534,0.04918032786885246,0.01873536299765808,0.0234192037470726,0.03747072599531616,0.05620608899297424,0.1451990632318501,0.03278688524590164,0.01639344262295082,0.13114754098360656
Portoriko,0.028747433264887063,0.049281314168377825,0.02053388090349076,0.018480492813141684,0.028747433264887063,0.06365503080082136,0.1293634496919918,0.028747433264887063,0.02053388090349076,0.1293634496919918
Kamerun,0.04791666666666667,0.04375,0.025,0.022916666666666665,0.03958333333333333,0.07291666666666667,0.15416666666666667,0.01875,0.020833333333333332,0.14166666666666666
Kenija,0.04827586206896552,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.04367816091954023,0.08735632183908046,0.14482758620689656,0.0367816091954023,0.0367816091954023,0.135632183908046
Liberija,0.037037037037037035,0.05664488017429194,0.0196078431372549,0.02178649237472767,0.034858387799564274,0.06100217864923747,0.1503267973856209,0.017429193899782137,0.02178649237472767,0.12854030501089325
Sijera Leon,0.04112554112554113,0.047619047619047616,0.017316017316017316,0.02813852813852814,0.030303030303030304,0.07575757575757576,0.1277056277056277,0.030303030303030304,0.01948051948051948,0.11904761904761904
Katar,0.031026252983293555,0.050119331742243436,0.016706443914081145,0.011933174224343675,0.04295942720763723,0.059665871121718374,0.16467780429594273,0.021479713603818614,0.016706443914081145,0.1431980906921241
Sirija,0.04468085106382979,0.05319148936170213,0.03404255319148936,0.03404255319148936,0.04042553191489362,0.08085106382978724,0.14468085106382977,0.036170212765957444,0.027659574468085105,0.1276595744680851
Kenija,0.04827586206896552,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.04367816091954023,0.08735632183908046,0.14482758620689656,0.0367816091954023,0.0367816091954023,0.135632183908046
Saudijska Arabija,0.032397408207343416,0.04967602591792657,0.019438444924406047,0.02159827213822894,0.04535637149028078,0.06695464362850972,0.15766738660907129,0.017278617710583154,0.008639308855291577,0.14254859611231102
Libanon,0.050997782705099776,0.057649667405764965,0.024390243902439025,0.031042128603104215,0.03991130820399113,0.07760532150776053,0.14634146341463414,0.03325942350332594,0.022172949002217297,0.1286031042128603
Južna Afrika,0.024943310657596373,0.045351473922902494,0.031746031746031744,0.027210884353741496,0.036281179138321996,0.06575963718820861,0.16099773242630386,0.027210884353741496,0.011337868480725623,0.14512471655328799
Koreja,0.04430379746835443,0.04852320675105485,0.03164556962025317,0.02531645569620253,0.04008438818565401,0.07172995780590717,0.14556962025316456,0.027426160337552744,0.027426160337552744,0.14345991561181434
Singapur,0.02850877192982456,0.039473684210526314,0.021929824561403508,0.013157894736842105,0.041666666666666664,0.04824561403508772,0.17543859649122806,0.021929824561403508,0.02631578947368421,0.17105263157894737
Njemačka,0.022613065326633167,0.04271356783919598,0.017587939698492462,0.017587939698492462,0.035175879396984924,0.05527638190954774,0.15829145728643215,0.02763819095477387,0.01507537688442211,0.14321608040201006
Irska,0.028037383177570093,0.0630841121495327,0.02102803738317757,0.02336448598130841,0.04672897196261682,0.06074766355140187,0.17289719626168223,0.028037383177570093,0.018691588785046728,0.1425233644859813
Maroko,0.046052631578947366,0.046052631578947366,0.02412280701754386,0.017543859649122806,0.039473684210526314,0.07675438596491228,0.1513157894736842,0.02412280701754386,0.017543859649122806,0.12719298245614036
Turska,0.045871559633027525,0.0481651376146789,0.027522935779816515,0.02522935779816514,0.0389908256880734,0.0871559633027523,0.14678899082568808,0.03211009174311927,0.016055045871559634,0.13073394495412843
Laos,0.03512396694214876,0.0371900826446281,0.01859504132231405,0.02066115702479339,0.028925619834710745,0.05371900826446281,0.13429752066115702,0.026859504132231406,0.01859504132231405,0.12190082644628099
Bangladeš,0.046242774566473986,0.04816955684007707,0.02697495183044316,0.03275529865125241,0.038535645472061654,0.08092485549132948,0.13680154142581888,0.036608863198458574,0.025048169556840076,0.1348747591522158
Gvatemala,0.038539553752535496,0.0486815415821501,0.02231237322515213,0.028397565922920892,0.04665314401622718,0.06490872210953347,0.15010141987829614,0.030425963488843813,0.02231237322515213,0.13793103448275862
Gana,0.03773584905660377,0.05390835579514825,0.026954177897574125,0.02425876010781671,0.0431266846361186,0.06199460916442048,0.14285714285714285,0.03234501347708895,0.029649595687331536,0.1293800539083558
Nepal,0.04106280193236715,0.04830917874396135,0.033816425120772944,0.024154589371980676,0.03864734299516908,0.07004830917874397,0.1570048309178744,0.03140096618357488,0.016908212560386472,0.14492753623188406
Albanija,0.04640371229698376,0.05336426914153132,0.030162412993039442,0.030162412993039442,0.03248259860788863,0.09280742459396751,0.1368909512761021,0.037122969837587005,0.016241299303944315,0.1345707656612529
Španjolska,0.033482142857142856,0.05133928571428571,0.020089285714285716,0.017857142857142856,0.04017857142857143,0.06919642857142858,0.15401785714285715,0.029017857142857144,0.017857142857142856,0.15401785714285715
Švedska,0.028503562945368172,0.04275534441805225,0.021377672209026127,0.021377672209026127,0.04275534441805225,0.047505938242280284,0.15676959619952494,0.023752969121140142,0.019002375296912115,0.15914489311163896
Argentina,0.026785714285714284,0.05133928571428571,0.017857142857142856,0.024553571428571428,0.04241071428571429,0.05803571428571429,0.15178571428571427,0.029017857142857144,0.017857142857142856,0.14955357142857142
Čile,0.03464203233256351,0.05542725173210162,0.020785219399538105,0.025404157043879907,0.04157043879907621,0.06928406466512702,0.14549653579676675,0.025404157043879907,0.025404157043879907,0.16166281755196305
Tajvan,0.047619047619047616,0.05555555555555555,0.023809523809523808,0.017857142857142856,0.041666666666666664,0.07738095238095238,0.15674603174603174,0.025793650793650792,0.025793650793650792,0.13095238095238096
