,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
djevojke,0.06496062992125984,0.05708661417322835,0.045275590551181105,0.051181102362204724,0.025590551181102362,0.10433070866141732,0.1279527559055118,0.03543307086614173,0.021653543307086614,0.1141732283464567
žene,0.06157112526539278,0.050955414012738856,0.03397027600849257,0.044585987261146494,0.03397027600849257,0.09554140127388536,0.1316348195329087,0.025477707006369428,0.016985138004246284,0.1464968152866242
muškarci,0.05739514348785872,0.059602649006622516,0.04194260485651214,0.04194260485651214,0.046357615894039736,0.10596026490066225,0.1434878587196468,0.03532008830022075,0.033112582781456956,0.15011037527593818
ženske,0.05220883534136546,0.04819277108433735,0.03815261044176707,0.03815261044176707,0.03413654618473896,0.08433734939759036,0.12449799196787148,0.02610441767068273,0.01606425702811245,0.13052208835341367
mužjaci,0.042435424354243544,0.04059040590405904,0.033210332103321034,0.03136531365313653,0.025830258302583026,0.08302583025830258,0.11439114391143912,0.027675276752767528,0.02214022140221402,0.11439114391143912
dječaci,0.043478260869565216,0.0533596837944664,0.03557312252964427,0.043478260869565216,0.02766798418972332,0.08893280632411067,0.12648221343873517,0.03162055335968379,0.019762845849802372,0.11857707509881422
dečki,0.04421052631578947,0.04,0.042105263157894736,0.037894736842105266,0.02526315789473684,0.1031578947368421,0.12210526315789473,0.03368421052631579,0.03368421052631579,0.11578947368421053
djevojke,0.06496062992125984,0.05708661417322835,0.045275590551181105,0.051181102362204724,0.025590551181102362,0.10433070866141732,0.1279527559055118,0.03543307086614173,0.021653543307086614,0.1141732283464567
maćehe,0.05871559633027523,0.04954128440366973,0.04036697247706422,0.045871559633027525,0.031192660550458717,0.11009174311926606,0.12477064220183487,0.03853211009174312,0.01651376146788991,0.13027522935779817
očuhi,0.04512635379061372,0.03790613718411552,0.03790613718411552,0.03429602888086643,0.02888086642599278,0.09566787003610108,0.11913357400722022,0.036101083032490974,0.02707581227436823,0.10469314079422383
dame,0.06445672191528545,0.0423572744014733,0.03314917127071823,0.03683241252302026,0.029465930018416207,0.08839779005524862,0.1270718232044199,0.02578268876611418,0.016574585635359115,0.13812154696132597
gospoda,0.054901960784313725,0.045098039215686274,0.01568627450980392,0.027450980392156862,0.025490196078431372,0.09411764705882353,0.11960784313725491,0.021568627450980392,0.013725490196078431,0.12941176470588237
braća,0.04680851063829787,0.06170212765957447,0.03829787234042553,0.036170212765957444,0.03829787234042553,0.09148936170212765,0.1425531914893617,0.03404255319148936,0.02553191489361702,0.1276595744680851
sestre,0.06529850746268656,0.054104477611940295,0.026119402985074626,0.03917910447761194,0.03171641791044776,0.08395522388059702,0.15111940298507462,0.020522388059701493,0.014925373134328358,0.13619402985074627
majke,0.060550458715596334,0.047706422018348627,0.031192660550458717,0.03486238532110092,0.03853211009174312,0.08990825688073395,0.15412844036697249,0.025688073394495414,0.01651376146788991,0.13027522935779817
očevi,0.04585152838427948,0.05240174672489083,0.043668122270742356,0.039301310043668124,0.03711790393013101,0.09170305676855896,0.13537117903930132,0.034934497816593885,0.024017467248908297,0.13755458515283842
djedovi,0.04526748971193416,0.05761316872427984,0.047325102880658436,0.04526748971193416,0.03909465020576132,0.10082304526748971,0.1337448559670782,0.03497942386831276,0.030864197530864196,0.12757201646090535
bake,0.05241935483870968,0.05040322580645161,0.036290322580645164,0.05040322580645161,0.04233870967741935,0.0967741935483871,0.1310483870967742,0.034274193548387094,0.02620967741935484,0.12903225806451613
nevjeste,0.05081967213114754,0.04590163934426229,0.03278688524590164,0.03442622950819672,0.022950819672131147,0.07213114754098361,0.12459016393442623,0.029508196721311476,0.029508196721311476,0.12131147540983607
mladoženje,0.04477611940298507,0.04477611940298507,0.026119402985074626,0.022388059701492536,0.03171641791044776,0.07649253731343283,0.13992537313432835,0.027985074626865673,0.009328358208955223,0.11940298507462686
učenice,0.06786427145708583,0.04790419161676647,0.029940119760479042,0.033932135728542916,0.015968063872255488,0.09780439121756487,0.13373253493013973,0.021956087824351298,0.013972055888223553,0.1157684630738523
školarci,0.03667953667953668,0.05019305019305019,0.02702702702702703,0.025096525096525095,0.032818532818532815,0.07335907335907337,0.13706563706563707,0.019305019305019305,0.021235521235521235,0.11776061776061776
mamice,0.058712121212121215,0.04924242424242424,0.03787878787878788,0.03787878787878788,0.032196969696969696,0.0928030303030303,0.1268939393939394,0.030303030303030304,0.01893939393939394,0.12878787878787878
tatice,0.059422750424448216,0.05263157894736842,0.03395585738539898,0.044142614601018676,0.027164685908319185,0.0831918505942275,0.13242784380305603,0.028862478777589132,0.01867572156196944,0.1273344651952462
