,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsteri,0.058925476603119586,0.04852686308492201,0.03986135181975736,0.036395147313691506,0.038128249566724434,0.11265164644714037,0.13344887348353554,0.03119584055459272,0.029462738301559793,0.11785095320623917
štreberi,0.03690036900369004,0.04981549815498155,0.027675276752767528,0.023985239852398525,0.03505535055350553,0.07380073800738007,0.11254612546125461,0.027675276752767528,0.01845018450184502,0.13837638376383765
seljaci,0.05112474437627812,0.04703476482617587,0.034764826175869123,0.028629856850715747,0.034764826175869123,0.10020449897750511,0.13701431492842536,0.026584867075664622,0.012269938650306749,0.1329243353783231
beskućnici,0.04417670682730924,0.04618473895582329,0.0321285140562249,0.02610441767068273,0.028112449799196786,0.0823293172690763,0.12248995983935743,0.02610441767068273,0.01606425702811245,0.11847389558232932
feministice,0.05245901639344262,0.05901639344262295,0.022950819672131147,0.03278688524590164,0.03278688524590164,0.06721311475409836,0.15081967213114755,0.019672131147540985,0.02622950819672131,0.12950819672131147
bogataši,0.04980842911877394,0.04789272030651341,0.038314176245210725,0.044061302681992334,0.034482758620689655,0.1053639846743295,0.1532567049808429,0.040229885057471264,0.017241379310344827,0.13026819923371646
jadni ljudi,0.055299539170506916,0.03456221198156682,0.029953917050691243,0.0576036866359447,0.02534562211981567,0.08755760368663594,0.1774193548387097,0.03686635944700461,0.02304147465437788,0.14055299539170507
kriminalci,0.07096774193548387,0.03225806451612903,0.060215053763440864,0.06236559139784946,0.01935483870967742,0.12043010752688173,0.13548387096774195,0.05161290322580645,0.008602150537634409,0.13763440860215054
bratstva,0.0430327868852459,0.06352459016393443,0.02663934426229508,0.028688524590163935,0.045081967213114756,0.06967213114754098,0.14754098360655737,0.022540983606557378,0.030737704918032786,0.125
dečki iz bratstva,0.03815261044176707,0.05220883534136546,0.030120481927710843,0.028112449799196786,0.02610441767068273,0.08433734939759036,0.13052208835341367,0.02208835341365462,0.012048192771084338,0.13253012048192772
djevojke iz sestrinstva,0.0410958904109589,0.05650684931506849,0.023972602739726026,0.02910958904109589,0.03767123287671233,0.07191780821917808,0.1404109589041096,0.023972602739726026,0.02226027397260274,0.11301369863013698
hipiji,0.0595903165735568,0.04655493482309125,0.03910614525139665,0.0335195530726257,0.0335195530726257,0.09124767225325885,0.12476722532588454,0.03910614525139665,0.03165735567970205,0.10242085661080075
štreberi,0.03690036900369004,0.04981549815498155,0.027675276752767528,0.023985239852398525,0.03505535055350553,0.07380073800738007,0.11254612546125461,0.027675276752767528,0.01845018450184502,0.13837638376383765
gotičari,0.04823747680890538,0.04823747680890538,0.03153988868274583,0.03710575139146568,0.027829313543599257,0.09647495361781076,0.1280148423005566,0.027829313543599257,0.01855287569573284,0.11873840445269017
punkeri,0.05037313432835821,0.04291044776119403,0.033582089552238806,0.026119402985074626,0.03544776119402985,0.08395522388059702,0.13432835820895522,0.03171641791044776,0.03544776119402985,0.12126865671641791
Kalifornijci,0.04071246819338423,0.04834605597964377,0.02544529262086514,0.020356234096692113,0.03307888040712468,0.0737913486005089,0.13994910941475827,0.015267175572519083,0.027989821882951654,0.15267175572519084
slavne osobe,0.05199306759098787,0.0658578856152513,0.022530329289428077,0.025996533795493933,0.0415944540727903,0.060658578856152515,0.18370883882149047,0.01559792027729636,0.025996533795493933,0.14211438474870017
crvenokosi,0.0273224043715847,0.056466302367941715,0.025500910746812388,0.03460837887067395,0.03278688524590164,0.07468123861566485,0.14389799635701275,0.030965391621129327,0.018214936247723135,0.11657559198542805
