,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
doseljenici,0.05018587360594796,0.04460966542750929,0.03531598513011153,0.03531598513011153,0.027881040892193308,0.07806691449814127,0.120817843866171,0.024163568773234202,0.027881040892193308,0.10966542750929369
konzervativci,0.045454545454545456,0.04363636363636364,0.034545454545454546,0.038181818181818185,0.03090909090909091,0.08363636363636363,0.14181818181818182,0.02727272727272727,0.02909090909090909,0.12181818181818181
liberali,0.045627376425855515,0.045627376425855515,0.028517110266159697,0.034220532319391636,0.034220532319391636,0.07984790874524715,0.16159695817490494,0.019011406844106463,0.028517110266159697,0.13498098859315588
trumpove pristaše,0.0453781512605042,0.04873949579831933,0.021848739495798318,0.030252100840336135,0.030252100840336135,0.07058823529411765,0.13277310924369748,0.018487394957983194,0.01680672268907563,0.11932773109243698
birači,0.04263565891472868,0.040697674418604654,0.023255813953488372,0.023255813953488372,0.03682170542635659,0.06976744186046512,0.14922480620155038,0.015503875968992248,0.011627906976744186,0.1298449612403101
komunisti,0.05450733752620545,0.03563941299790356,0.041928721174004195,0.03773584905660377,0.025157232704402517,0.10062893081761007,0.14046121593291405,0.033542976939203356,0.012578616352201259,0.13626834381551362
kapitalisti,0.052313883299798795,0.04426559356136821,0.04225352112676056,0.04426559356136821,0.03219315895372234,0.0925553319919517,0.16700201207243462,0.03219315895372234,0.01609657947686117,0.16096579476861167
narodnjaci,0.054104477611940295,0.04477611940298507,0.033582089552238806,0.029850746268656716,0.026119402985074626,0.08395522388059702,0.12126865671641791,0.029850746268656716,0.022388059701492536,0.10820895522388059
socijalisti,0.053784860557768925,0.045816733067729085,0.035856573705179286,0.035856573705179286,0.03386454183266932,0.08565737051792828,0.16135458167330677,0.025896414342629483,0.0199203187250996,0.1394422310756972
katalonski independisti,0.038391224862888484,0.038391224862888484,0.025594149908592323,0.027422303473491772,0.025594149908592323,0.07495429616087751,0.1206581352833638,0.027422303473491772,0.014625228519195612,0.1206581352833638
