,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay ljudi,0.060263653483992465,0.04331450094161959,0.035781544256120526,0.04331450094161959,0.03389830508474576,0.08851224105461393,0.1374764595103578,0.030131826741996232,0.018832391713747645,0.10357815442561205
lezbijke,0.048417132216014895,0.048417132216014895,0.037243947858473,0.03165735567970205,0.0297951582867784,0.09683426443202979,0.09869646182495345,0.03165735567970205,0.0111731843575419,0.10242085661080075
queer ljudi,0.0406885758998435,0.056338028169014086,0.025039123630672927,0.028169014084507043,0.03129890453834116,0.07511737089201878,0.13615023474178403,0.03286384976525822,0.014084507042253521,0.11580594679186229
transrodne osobe,0.05647840531561462,0.0681063122923588,0.026578073089700997,0.044850498338870434,0.03156146179401993,0.09634551495016612,0.1478405315614618,0.024916943521594685,0.018272425249169437,0.12624584717607973
homoseksualci,0.05847953216374269,0.04483430799220273,0.04093567251461988,0.04678362573099415,0.031189083820662766,0.08771929824561403,0.14230019493177387,0.03313840155945419,0.01949317738791423,0.12085769980506822
panseksualne osobe,0.0535405872193437,0.0690846286701209,0.017271157167530225,0.03626943005181347,0.031088082901554404,0.07944732297063903,0.14162348877374784,0.017271157167530225,0.022452504317789293,0.10880829015544041
pederi,0.04655493482309125,0.048417132216014895,0.037243947858473,0.037243947858473,0.0335195530726257,0.08752327746741155,0.1266294227188082,0.0335195530726257,0.027932960893854747,0.12476722532588454
pederi,0.04655493482309125,0.048417132216014895,0.037243947858473,0.037243947858473,0.0335195530726257,0.08752327746741155,0.1266294227188082,0.0335195530726257,0.027932960893854747,0.12476722532588454
biseksualne osobe,0.05709342560553633,0.06920415224913495,0.01903114186851211,0.039792387543252594,0.031141868512110725,0.08131487889273356,0.15051903114186851,0.01903114186851211,0.020761245674740483,0.10899653979238755
aseksualne osobe,0.04878048780487805,0.06794425087108014,0.020905923344947737,0.033101045296167246,0.033101045296167246,0.07491289198606271,0.15331010452961671,0.020905923344947737,0.020905923344947737,0.10801393728222997
crossdresserke,0.04038772213247173,0.05815831987075929,0.027463651050080775,0.024232633279483037,0.04038772213247173,0.07431340872374798,0.15993537964458804,0.022617124394184167,0.01938610662358643,0.12924071082390953
pederi,0.04655493482309125,0.048417132216014895,0.037243947858473,0.037243947858473,0.0335195530726257,0.08752327746741155,0.1266294227188082,0.0335195530726257,0.027932960893854747,0.12476722532588454
