,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ethiopia,0.03926701570680628,0.03926701570680628,0.031413612565445025,0.09162303664921466,0.03926701570680628,0.12827225130890052,0.16753926701570682,0.04712041884816754,0.015706806282722512,0.11780104712041885
Europe,0.023529411764705882,0.04470588235294118,0.02588235294117647,0.06588235294117648,0.04470588235294118,0.12941176470588237,0.16470588235294117,0.04470588235294118,0.009411764705882352,0.10352941176470588
Ukraine,0.03482587064676617,0.0472636815920398,0.02736318407960199,0.08706467661691543,0.03980099502487562,0.13930348258706468,0.1865671641791045,0.06218905472636816,0.022388059701492536,0.11194029850746269
Sudan,0.0480225988700565,0.03389830508474576,0.0423728813559322,0.1016949152542373,0.03954802259887006,0.1553672316384181,0.1751412429378531,0.05649717514124294,0.01694915254237288,0.12429378531073447
Afghanistan,0.05063291139240506,0.04556962025316456,0.03291139240506329,0.09113924050632911,0.04556962025316456,0.14936708860759493,0.17974683544303796,0.06329113924050633,0.017721518987341773,0.11392405063291139
Iraq,0.052109181141439205,0.052109181141439205,0.02729528535980149,0.0967741935483871,0.03225806451612903,0.1488833746898263,0.1687344913151365,0.05707196029776675,0.017369727047146403,0.10421836228287841
Yemen,0.04603580562659847,0.04603580562659847,0.02557544757033248,0.09974424552429667,0.03836317135549872,0.1534526854219949,0.1636828644501279,0.05115089514066496,0.02557544757033248,0.11508951406649616
Russia,0.02756892230576441,0.03759398496240601,0.03258145363408521,0.07518796992481203,0.03258145363408521,0.12781954887218044,0.16040100250626566,0.05263157894736842,0.015037593984962405,0.10776942355889724
Italy,0.03508771929824561,0.042606516290726815,0.020050125313283207,0.06265664160401002,0.042606516290726815,0.11779448621553884,0.17794486215538846,0.05263157894736842,0.012531328320802004,0.09523809523809523
Somalia,0.05367231638418079,0.04519774011299435,0.03389830508474576,0.07627118644067797,0.0423728813559322,0.12994350282485875,0.17796610169491525,0.05084745762711865,0.014124293785310734,0.12429378531073447
Iran,0.04668304668304668,0.044226044226044224,0.02702702702702703,0.08845208845208845,0.036855036855036855,0.14004914004914004,0.1769041769041769,0.051597051597051594,0.014742014742014743,0.11793611793611794
Venezuela,0.03529411764705882,0.03529411764705882,0.021176470588235293,0.07058823529411765,0.047058823529411764,0.11764705882352941,0.18588235294117647,0.042352941176470586,0.011764705882352941,0.12705882352941175
Oman,0.041666666666666664,0.019444444444444445,0.041666666666666664,0.075,0.022222222222222223,0.12777777777777777,0.18888888888888888,0.06111111111111111,0.011111111111111112,0.11388888888888889
Syria,0.04819277108433735,0.05060240963855422,0.02891566265060241,0.09879518072289156,0.03132530120481928,0.13975903614457832,0.16626506024096385,0.060240963855421686,0.024096385542168676,0.1180722891566265
China,0.028132992327365727,0.04092071611253197,0.023017902813299233,0.061381074168797956,0.04092071611253197,0.11508951406649616,0.17135549872122763,0.043478260869565216,0.010230179028132993,0.09718670076726342
India,0.035545023696682464,0.04028436018957346,0.03317535545023697,0.09004739336492891,0.035545023696682464,0.12559241706161137,0.1895734597156398,0.04976303317535545,0.011848341232227487,0.11848341232227488
Britain,0.028645833333333332,0.041666666666666664,0.03125,0.057291666666666664,0.049479166666666664,0.13020833333333334,0.1875,0.049479166666666664,0.018229166666666668,0.10677083333333333
France,0.030534351145038167,0.06297709923664122,0.01717557251908397,0.07251908396946564,0.03244274809160305,0.12786259541984732,0.17938931297709923,0.04770992366412214,0.02099236641221374,0.11259541984732824
