,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
girls,0.04883720930232558,0.05581395348837209,0.05581395348837209,0.07674418604651163,0.04883720930232558,0.16046511627906976,0.19069767441860466,0.046511627906976744,0.027906976744186046,0.1186046511627907
women,0.04976303317535545,0.05924170616113744,0.037914691943127965,0.07582938388625593,0.045023696682464455,0.14691943127962084,0.2109004739336493,0.052132701421800945,0.018957345971563982,0.11374407582938388
men,0.05291005291005291,0.05026455026455026,0.026455026455026454,0.09259259259259259,0.037037037037037035,0.16666666666666666,0.19576719576719576,0.06084656084656084,0.018518518518518517,0.1164021164021164
females,0.04827586206896552,0.041379310344827586,0.03218390804597701,0.07816091954022988,0.034482758620689655,0.1425287356321839,0.1724137931034483,0.04827586206896552,0.01839080459770115,0.09885057471264368
males,0.04849884526558892,0.04387990762124711,0.020785219399538105,0.07852193995381063,0.03926096997690531,0.14549653579676675,0.18706697459584296,0.04387990762124711,0.016166281755196306,0.11316397228637413
boys,0.05185185185185185,0.05432098765432099,0.03950617283950617,0.07160493827160494,0.04691358024691358,0.16296296296296298,0.19012345679012346,0.056790123456790124,0.027160493827160494,0.12839506172839507
boyfriends,0.051597051597051594,0.05896805896805897,0.03194103194103194,0.08108108108108109,0.044226044226044224,0.1597051597051597,0.20393120393120392,0.056511056511056514,0.02457002457002457,0.11302211302211303
girlfriends,0.051094890510948905,0.05596107055961071,0.031630170316301706,0.0851581508515815,0.046228710462287104,0.15571776155717762,0.20194647201946472,0.0535279805352798,0.021897810218978103,0.11678832116788321
stepmothers,0.04365904365904366,0.06444906444906445,0.0395010395010395,0.08316008316008316,0.04158004158004158,0.13097713097713098,0.18711018711018712,0.07068607068607069,0.02286902286902287,0.11226611226611227
stepfathers,0.042682926829268296,0.054878048780487805,0.04065040650406504,0.07723577235772358,0.028455284552845527,0.13617886178861788,0.18902439024390244,0.07113821138211382,0.018292682926829267,0.11585365853658537
ladies,0.04308390022675737,0.04308390022675737,0.024943310657596373,0.07936507936507936,0.04081632653061224,0.14285714285714285,0.18820861678004536,0.05442176870748299,0.022675736961451247,0.12471655328798185
gentlemen,0.04484304932735426,0.05829596412556054,0.02466367713004484,0.08071748878923767,0.03811659192825112,0.13901345291479822,0.19730941704035873,0.05829596412556054,0.017937219730941704,0.12556053811659193
brothers,0.04666666666666667,0.05555555555555555,0.03333333333333333,0.08444444444444445,0.04888888888888889,0.15555555555555556,0.2222222222222222,0.06666666666666667,0.03333333333333333,0.15333333333333332
sisters,0.03711790393013101,0.05021834061135371,0.028384279475982533,0.08296943231441048,0.043668122270742356,0.14192139737991266,0.21615720524017468,0.0611353711790393,0.026200873362445413,0.1572052401746725
mothers,0.03761061946902655,0.05309734513274336,0.02654867256637168,0.08185840707964602,0.04424778761061947,0.12831858407079647,0.19247787610619468,0.059734513274336286,0.022123893805309734,0.1172566371681416
fathers,0.04962779156327544,0.052109181141439205,0.02481389578163772,0.08933002481389578,0.03722084367245657,0.14392059553349876,0.19851116625310175,0.062034739454094295,0.022332506203473945,0.12158808933002481
grandfathers,0.03549060542797495,0.05219206680584551,0.033402922755741124,0.07724425887265135,0.031315240083507306,0.1336116910229645,0.1837160751565762,0.05636743215031315,0.022964509394572025,0.10647181628392484
grandmothers,0.0405982905982906,0.05982905982905983,0.027777777777777776,0.07692307692307693,0.03632478632478633,0.12606837606837606,0.18162393162393162,0.06196581196581197,0.021367521367521368,0.09829059829059829
brides,0.04233870967741935,0.06451612903225806,0.038306451612903226,0.07459677419354839,0.04032258064516129,0.14112903225806453,0.18951612903225806,0.04838709677419355,0.024193548387096774,0.12096774193548387
grooms,0.03480278422273782,0.05104408352668213,0.04408352668213457,0.06960556844547564,0.037122969837587005,0.1368909512761021,0.18561484918793503,0.048723897911832945,0.016241299303944315,0.10208816705336426
schoolgirls,0.03571428571428571,0.041666666666666664,0.041666666666666664,0.07539682539682539,0.031746031746031744,0.13690476190476192,0.17857142857142858,0.06746031746031746,0.011904761904761904,0.12103174603174603
schoolboys,0.0379746835443038,0.03375527426160337,0.05063291139240506,0.06540084388185655,0.027426160337552744,0.1518987341772152,0.16666666666666666,0.06329113924050633,0.014767932489451477,0.10759493670886076
mommies,0.03404255319148936,0.04680851063829787,0.029787234042553193,0.06170212765957447,0.0425531914893617,0.12978723404255318,0.2,0.05531914893617021,0.02553191489361702,0.1148936170212766
daddies,0.041379310344827586,0.05057471264367816,0.029885057471264367,0.07586206896551724,0.034482758620689655,0.14022988505747128,0.19540229885057472,0.05517241379310345,0.020689655172413793,0.11724137931034483
