,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.046341463414634146,0.03170731707317073,0.03902439024390244,0.07804878048780488,0.026829268292682926,0.16585365853658537,0.17560975609756097,0.06585365853658537,0.01707317073170732,0.1
nerds,0.05,0.0525,0.0475,0.0825,0.03,0.1725,0.18,0.0575,0.02,0.105
rednecks,0.04128440366972477,0.0389908256880734,0.05504587155963303,0.06880733944954129,0.02522935779816514,0.1444954128440367,0.18577981651376146,0.052752293577981654,0.011467889908256881,0.09174311926605505
homeless people,0.044226044226044224,0.02702702702702703,0.04668304668304668,0.09582309582309582,0.02702702702702703,0.1597051597051597,0.19656019656019655,0.085995085995086,0.012285012285012284,0.09336609336609336
feminists,0.0502283105022831,0.0365296803652968,0.03881278538812785,0.07990867579908675,0.0410958904109589,0.1552511415525114,0.20319634703196346,0.0593607305936073,0.01141552511415525,0.12100456621004566
rich people,0.024691358024691357,0.03209876543209877,0.024691358024691357,0.08148148148148149,0.04197530864197531,0.12345679012345678,0.2271604938271605,0.04938271604938271,0.007407407407407408,0.1506172839506173
poor people,0.03258145363408521,0.020050125313283207,0.02756892230576441,0.06516290726817042,0.03508771929824561,0.12280701754385964,0.21052631578947367,0.06265664160401002,0.015037593984962405,0.11528822055137844
criminals,0.06266318537859007,0.04177545691906005,0.03655352480417755,0.09399477806788512,0.02349869451697128,0.17754569190600522,0.1906005221932115,0.07049608355091384,0.018276762402088774,0.09660574412532637
frats,0.048723897911832945,0.06264501160092807,0.027842227378190254,0.07424593967517401,0.03944315545243619,0.13921113689095127,0.21577726218097448,0.048723897911832945,0.02088167053364269,0.14617169373549885
frat boys,0.0498812351543943,0.047505938242280284,0.028503562945368172,0.07600950118764846,0.03800475059382423,0.15676959619952494,0.18527315914489312,0.052256532066508314,0.023752969121140142,0.12826603325415678
sorority girls,0.03929273084479371,0.047151277013752456,0.03929273084479371,0.06483300589390963,0.03536345776031434,0.13163064833005894,0.19842829076620824,0.068762278978389,0.015717092337917484,0.12966601178781925
hippies,0.05115089514066496,0.04603580562659847,0.03324808184143223,0.09462915601023018,0.030690537084398978,0.14578005115089515,0.21483375959079284,0.07161125319693094,0.017902813299232736,0.10230179028132992
geeks,0.05958549222797927,0.05958549222797927,0.038860103626943004,0.08808290155440414,0.031088082901554404,0.16062176165803108,0.20207253886010362,0.06217616580310881,0.018134715025906734,0.11917098445595854
goths,0.04555808656036447,0.04328018223234624,0.04555808656036447,0.09339407744874716,0.03189066059225513,0.15945330296127563,0.17995444191343962,0.0683371298405467,0.018223234624145785,0.11389521640091116
punks,0.06201550387596899,0.03617571059431524,0.041343669250646,0.07751937984496124,0.031007751937984496,0.16020671834625322,0.17571059431524547,0.06718346253229975,0.007751937984496124,0.09819121447028424
Californians,0.037694013303769404,0.03547671840354767,0.019955654101995565,0.06873614190687362,0.03547671840354767,0.12195121951219512,0.20842572062084258,0.05543237250554324,0.017738359201773836,0.11086474501108648
celebrities,0.0389908256880734,0.0481651376146789,0.03211009174311927,0.08256880733944955,0.02981651376146789,0.14220183486238533,0.19724770642201836,0.05963302752293578,0.020642201834862386,0.12385321100917432
redheads,0.03632478632478633,0.03632478632478633,0.05555555555555555,0.06196581196581197,0.019230769230769232,0.1388888888888889,0.16025641025641027,0.05555555555555555,0.01282051282051282,0.09188034188034189
