,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asians,0.03263403263403263,0.030303030303030304,0.04895104895104895,0.07925407925407925,0.039627039627039624,0.13286713286713286,0.16783216783216784,0.05827505827505827,0.018648018648018648,0.09324009324009325
Americans,0.03303964757709251,0.024229074889867842,0.03524229074889868,0.07048458149779736,0.030837004405286344,0.1299559471365639,0.18502202643171806,0.07048458149779736,0.01762114537444934,0.1145374449339207
Europeans,0.03271028037383177,0.030373831775700934,0.02102803738317757,0.06542056074766354,0.0397196261682243,0.1261682242990654,0.19626168224299065,0.0514018691588785,0.016355140186915886,0.10514018691588785
Jews,0.052083333333333336,0.0390625,0.018229166666666668,0.0859375,0.0390625,0.140625,0.20052083333333334,0.052083333333333336,0.015625,0.109375
Indians,0.04408352668213457,0.03248259860788863,0.037122969837587005,0.08120649651972157,0.018561484918793503,0.12064965197215777,0.16705336426914152,0.05336426914153132,0.01160092807424594,0.09048723897911833
Russians,0.03414634146341464,0.03902439024390244,0.026829268292682926,0.07073170731707316,0.036585365853658534,0.13658536585365855,0.18292682926829268,0.04878048780487805,0.01707317073170732,0.0975609756097561
Africans,0.04239401496259352,0.032418952618453865,0.02493765586034913,0.0773067331670823,0.03740648379052369,0.13466334164588528,0.17955112219451372,0.05486284289276808,0.0199501246882793,0.10972568578553615
Black people,0.060453400503778336,0.022670025188916875,0.042821158690176324,0.0906801007556675,0.0327455919395466,0.1486146095717884,0.19395465994962216,0.060453400503778336,0.020151133501259445,0.10075566750629723
Mexicans,0.05301204819277108,0.02891566265060241,0.02891566265060241,0.06987951807228916,0.043373493975903614,0.12771084337349398,0.1927710843373494,0.05783132530120482,0.016867469879518072,0.10602409638554217
Whites,0.04449648711943794,0.04215456674473068,0.03981264637002342,0.06791569086651054,0.02576112412177986,0.11943793911007025,0.17330210772833723,0.04449648711943794,0.0234192037470726,0.09836065573770492
Blacks,0.056338028169014086,0.04929577464788732,0.051643192488262914,0.07511737089201878,0.03051643192488263,0.13615023474178403,0.18309859154929578,0.056338028169014086,0.025821596244131457,0.08685446009389672
White people,0.05597964376590331,0.027989821882951654,0.035623409669211195,0.08651399491094147,0.035623409669211195,0.15267175572519084,0.19338422391857507,0.058524173027989825,0.020356234096692113,0.10432569974554708
Germans,0.04221635883905013,0.0395778364116095,0.021108179419525065,0.06860158311345646,0.044854881266490766,0.1424802110817942,0.19525065963060687,0.055408970976253295,0.018469656992084433,0.10554089709762533
blondes,0.03990610328638498,0.03051643192488263,0.06103286384976526,0.07746478873239436,0.03755868544600939,0.1619718309859155,0.16901408450704225,0.04929577464788732,0.02112676056338028,0.10093896713615023
blonde girls,0.03908045977011494,0.029885057471264367,0.05517241379310345,0.07816091954022988,0.03908045977011494,0.16091954022988506,0.17701149425287357,0.05517241379310345,0.027586206896551724,0.10114942528735632
Arabs,0.05012531328320802,0.03258145363408521,0.02756892230576441,0.08020050125313283,0.03258145363408521,0.14035087719298245,0.18295739348370926,0.05764411027568922,0.022556390977443608,0.10275689223057644
White Americans,0.04326923076923077,0.026442307692307692,0.04807692307692308,0.0625,0.021634615384615384,0.13221153846153846,0.18269230769230768,0.06490384615384616,0.009615384615384616,0.10336538461538461
Black Americans,0.053452115812917596,0.028953229398663696,0.05790645879732739,0.08240534521158129,0.022271714922048998,0.12694877505567928,0.16258351893095768,0.066815144766147,0.011135857461024499,0.09131403118040089
Hispanics,0.0447427293064877,0.042505592841163314,0.029082774049217,0.058165548098434,0.03355704697986577,0.12080536912751678,0.18344519015659955,0.04697986577181208,0.013422818791946308,0.11185682326621924
Native Americans,0.04100227790432802,0.03644646924829157,0.04783599088838269,0.0683371298405467,0.02050113895216401,0.13211845102505695,0.16856492027334852,0.05922551252847381,0.011389521640091117,0.07972665148063782
Black men,0.057736720554272515,0.04157043879907621,0.04849884526558892,0.08775981524249422,0.03002309468822171,0.15935334872979215,0.19630484988452657,0.06235565819861432,0.025404157043879907,0.10392609699769054
White men,0.06009615384615385,0.052884615384615384,0.036057692307692304,0.09375,0.04326923076923077,0.1466346153846154,0.20192307692307693,0.057692307692307696,0.02403846153846154,0.125
Asian women,0.05527638190954774,0.032663316582914576,0.04522613065326633,0.08542713567839195,0.04522613065326633,0.1407035175879397,0.18592964824120603,0.05025125628140704,0.017587939698492462,0.08793969849246232
Asian men,0.04716981132075472,0.04716981132075472,0.03773584905660377,0.07783018867924528,0.04009433962264151,0.1391509433962264,0.19811320754716982,0.05660377358490566,0.02358490566037736,0.10377358490566038
Black women,0.06088992974238876,0.0351288056206089,0.05620608899297424,0.08665105386416862,0.03981264637002342,0.1522248243559719,0.1873536299765808,0.053864168618266976,0.02107728337236534,0.0936768149882904
the Dutch,0.040100250626566414,0.05012531328320802,0.03258145363408521,0.08270676691729323,0.045112781954887216,0.14285714285714285,0.16791979949874686,0.05263157894736842,0.022556390977443608,0.09774436090225563
Irish people,0.0449438202247191,0.033707865168539325,0.020224719101123594,0.07191011235955057,0.038202247191011236,0.13258426966292136,0.19325842696629214,0.051685393258426963,0.02247191011235955,0.1101123595505618
Irish men,0.040268456375838924,0.058165548098434,0.024608501118568233,0.08277404921700224,0.04697986577181208,0.1297539149888143,0.21700223713646533,0.053691275167785234,0.024608501118568233,0.12751677852348994
White women,0.05741626794258373,0.03588516746411483,0.03110047846889952,0.08851674641148326,0.03827751196172249,0.12440191387559808,0.19138755980861244,0.050239234449760764,0.0215311004784689,0.10287081339712918
Indian men,0.04455445544554455,0.03712871287128713,0.024752475247524754,0.07425742574257425,0.019801980198019802,0.1311881188118812,0.1707920792079208,0.054455445544554455,0.019801980198019802,0.1188118811881188
Indian women,0.04738154613466334,0.04488778054862843,0.034912718204488775,0.0798004987531172,0.0399002493765586,0.13216957605985039,0.19201995012468828,0.04738154613466334,0.02493765586034913,0.10224438902743142
Chinese men,0.044186046511627906,0.044186046511627906,0.02558139534883721,0.07906976744186046,0.03255813953488372,0.1325581395348837,0.19069767441860466,0.046511627906976744,0.013953488372093023,0.12790697674418605
Chinese women,0.04285714285714286,0.04285714285714286,0.02142857142857143,0.07142857142857142,0.047619047619047616,0.12857142857142856,0.19047619047619047,0.04523809523809524,0.016666666666666666,0.10476190476190476
Japanese women,0.04834605597964377,0.043256997455470736,0.022900763358778626,0.0737913486005089,0.05089058524173028,0.1272264631043257,0.2035623409669211,0.04834605597964377,0.017811704834605598,0.10687022900763359
Japanese men,0.04784688995215311,0.045454545454545456,0.019138755980861243,0.08133971291866028,0.04066985645933014,0.12440191387559808,0.18421052631578946,0.05263157894736842,0.019138755980861243,0.10287081339712918
Indian parents,0.04157043879907621,0.053117782909930716,0.02771362586605081,0.07621247113163972,0.04157043879907621,0.12702078521939955,0.20092378752886836,0.057736720554272515,0.023094688221709007,0.12471131639722864
Asian parents,0.04285714285714286,0.05714285714285714,0.02857142857142857,0.07380952380952381,0.05476190476190476,0.1357142857142857,0.20238095238095238,0.05,0.02619047619047619,0.12380952380952381
White parents,0.04861111111111111,0.05787037037037037,0.03009259259259259,0.08101851851851852,0.041666666666666664,0.15046296296296297,0.19212962962962962,0.05555555555555555,0.018518518518518517,0.13194444444444445
