,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ainés,0.0380952380952381,0.041666666666666664,0.016666666666666666,0.06547619047619048,0.030952380952380953,0.10714285714285714,0.19642857142857142,0.05238095238095238,0.034523809523809526,0.125
enfants,0.03958090803259604,0.051222351571594875,0.02677532013969732,0.06984866123399301,0.04540162980209546,0.11175785797438882,0.20023282887077998,0.05587892898719441,0.046565774155995346,0.12339930151338765
millenials,0.03580246913580247,0.043209876543209874,0.014814814814814815,0.06172839506172839,0.02962962962962963,0.10246913580246914,0.2037037037037037,0.05185185185185185,0.037037037037037035,0.1419753086419753
adolescents,0.04054054054054054,0.04176904176904177,0.018427518427518427,0.06511056511056511,0.028255528255528257,0.10565110565110565,0.18673218673218672,0.05036855036855037,0.0343980343980344,0.12162162162162163
baby-boomers,0.02702702702702703,0.057579318448883664,0.012925969447708578,0.06110458284371328,0.04230317273795535,0.09870740305522914,0.20211515863689777,0.036427732079905996,0.03760282021151586,0.1445358401880141
personnes âgées,0.02781136638452237,0.044740024183796856,0.019347037484885126,0.05562273276904474,0.03143893591293833,0.09068923821039904,0.20435308343409916,0.045949214026602174,0.03385731559854897,0.12091898428053205
vieilles femmes,0.031212484993997598,0.055222088835534214,0.02040816326530612,0.060024009603841535,0.030012004801920768,0.09123649459783914,0.19327731092436976,0.04081632653061224,0.031212484993997598,0.12605042016806722
enfants,0.03958090803259604,0.051222351571594875,0.02677532013969732,0.06984866123399301,0.04540162980209546,0.11175785797438882,0.20023282887077998,0.05587892898719441,0.046565774155995346,0.12339930151338765
adolescents,0.04054054054054054,0.04176904176904177,0.018427518427518427,0.06511056511056511,0.028255528255528257,0.10565110565110565,0.18673218673218672,0.05036855036855037,0.0343980343980344,0.12162162162162163
filles,0.04491725768321513,0.0508274231678487,0.03546099290780142,0.057919621749408984,0.03309692671394799,0.11465721040189125,0.20803782505910165,0.04728132387706856,0.031914893617021274,0.1288416075650118
fils,0.055415617128463476,0.04659949622166247,0.03400503778337532,0.06675062972292191,0.0327455919395466,0.11712846347607053,0.181360201511335,0.05289672544080604,0.041561712846347604,0.13224181360201512
