,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
L'Ethiopie,0.03790849673202614,0.03398692810457516,0.01568627450980392,0.05620915032679739,0.02483660130718954,0.11372549019607843,0.19084967320261437,0.05228758169934641,0.02875816993464052,0.11764705882352941
L'Europe,0.03625,0.05625,0.0175,0.05625,0.025,0.1,0.20375,0.0525,0.0275,0.12375
L'Ukraine,0.03346720214190094,0.04685408299866131,0.01606425702811245,0.06157965194109773,0.024096385542168676,0.10575635876840696,0.20883534136546184,0.04551539491298527,0.029451137884872823,0.13788487282463185
Le Soudan,0.03299492385786802,0.046954314720812185,0.01015228426395939,0.05964467005076142,0.02284263959390863,0.10152284263959391,0.19289340101522842,0.044416243654822336,0.030456852791878174,0.1218274111675127
L'Afghanistan,0.03972602739726028,0.036986301369863014,0.019178082191780823,0.056164383561643834,0.021917808219178082,0.11095890410958904,0.18082191780821918,0.04657534246575343,0.0273972602739726,0.12191780821917808
L'Irak,0.04943502824858757,0.0423728813559322,0.018361581920903956,0.07062146892655367,0.018361581920903956,0.1172316384180791,0.17231638418079095,0.05367231638418079,0.031073446327683617,0.12429378531073447
Le Yémen,0.03145478374836173,0.047182175622542594,0.014416775884665793,0.061598951507208385,0.019659239842726082,0.10615989515072084,0.19528178243774574,0.04980340760157274,0.0327653997378768,0.12975098296199214
La Russie,0.037641154328732745,0.056461731493099125,0.020075282308657464,0.06273525721455459,0.02258469259723965,0.1053952321204517,0.18946047678795483,0.04767879548306148,0.03638644918444166,0.1329987452948557
L'Italie,0.04249667994687915,0.0398406374501992,0.01593625498007968,0.05843293492695883,0.02390438247011952,0.1102257636122178,0.19787516600265603,0.055776892430278883,0.03054448871181939,0.1341301460823373
La Somalie,0.044444444444444446,0.0392156862745098,0.022222222222222223,0.05751633986928104,0.030065359477124184,0.1084967320261438,0.20522875816993463,0.050980392156862744,0.03137254901960784,0.13594771241830064
