,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.059202059202059204,0.043758043758043756,0.03346203346203346,0.07850707850707851,0.03346203346203346,0.13513513513513514,0.17245817245817247,0.06563706563706563,0.047619047619047616,0.1093951093951094
nerds,0.05235602094240838,0.04057591623036649,0.030104712041884817,0.0693717277486911,0.02617801047120419,0.12172774869109948,0.20157068062827224,0.0549738219895288,0.04057591623036649,0.13612565445026178
ploucs,0.040865384615384616,0.05048076923076923,0.014423076923076924,0.06490384615384616,0.02283653846153846,0.11177884615384616,0.18269230769230768,0.04927884615384615,0.03485576923076923,0.12139423076923077
sans-abri,0.02977667493796526,0.04590570719602978,0.02109181141439206,0.05459057071960298,0.04218362282878412,0.09925558312655088,0.19975186104218362,0.04962779156327544,0.04094292803970223,0.1488833746898263
féministes,0.06511056511056511,0.04054054054054054,0.04176904176904177,0.07248157248157248,0.04054054054054054,0.13513513513513514,0.18427518427518427,0.06142506142506143,0.045454545454545456,0.12776412776412777
riches,0.03825857519788918,0.044854881266490766,0.01978891820580475,0.06596306068601583,0.03825857519788918,0.10554089709762533,0.22031662269129287,0.052770448548812667,0.0395778364116095,0.15303430079155672
pauvres,0.04252400548696845,0.04252400548696845,0.027434842249657063,0.07544581618655692,0.04252400548696845,0.12345679012345678,0.205761316872428,0.05486968449931413,0.04252400548696845,0.1467764060356653
criminels,0.05648267008985879,0.05263157894736842,0.03080872913992298,0.07060333761232349,0.026957637997432605,0.12836970474967907,0.17843388960205392,0.059050064184852376,0.04621309370988447,0.12965340179717585
fraternités étudiantes,0.026932084309133488,0.05035128805620609,0.0117096018735363,0.05269320843091335,0.02459016393442623,0.09250585480093677,0.17798594847775176,0.04215456674473068,0.03278688524590164,0.12295081967213115
garçons de fraternité,0.04027617951668585,0.05063291139240506,0.019562715765247412,0.05063291139240506,0.03452243958573072,0.09896432681242807,0.189873417721519,0.04372842347525892,0.03222094361334868,0.13578826237054084
filles de sororité,0.03529411764705882,0.052941176470588235,0.015294117647058824,0.05058823529411765,0.03176470588235294,0.1011764705882353,0.20941176470588235,0.047058823529411764,0.03294117647058824,0.1376470588235294
hippies,0.06747638326585695,0.033738191632928474,0.04723346828609987,0.0931174089068826,0.033738191632928474,0.15114709851551958,0.1767881241565452,0.0728744939271255,0.058029689608636977,0.10526315789473684
geeks,0.047182175622542594,0.05504587155963303,0.03407601572739188,0.06946264744429882,0.03407601572739188,0.127129750982962,0.17955439056356487,0.0563564875491481,0.03669724770642202,0.12057667103538663
gothiques,0.03811944091486658,0.045743329097839895,0.015247776365946633,0.06480304955527319,0.025412960609911054,0.10800508259212198,0.19186785260482847,0.048284625158831,0.036848792884371026,0.13087674714104194
punks,0.06408544726301736,0.036048064085447265,0.04005340453938585,0.0814419225634179,0.021361815754339118,0.15620827770360482,0.1588785046728972,0.06942590120160214,0.049399198931909215,0.1068090787716956
Californiens,0.04353393085787452,0.03713188220230474,0.026888604353393086,0.07042253521126761,0.026888604353393086,0.1203585147247119,0.19078104993597952,0.05377720870678617,0.03585147247119078,0.12291933418693982
célébrités,0.032806804374240585,0.04860267314702309,0.014580801944106925,0.060753341433778855,0.03523693803159174,0.10449574726609964,0.19562575941676794,0.053462940461725394,0.032806804374240585,0.13001215066828675
roux,0.03489771359807461,0.04332129963898917,0.012033694344163659,0.06257521058965103,0.02527075812274368,0.10589651022864019,0.18531889290012032,0.04693140794223827,0.031287605294825514,0.13116726835138387
