,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asiatiques,0.044794188861985475,0.044794188861985475,0.03389830508474576,0.06416464891041163,0.0423728813559322,0.1162227602905569,0.2033898305084746,0.05690072639225181,0.043583535108958835,0.13196125907990314
Américains,0.05012531328320802,0.03383458646616541,0.03007518796992481,0.07393483709273183,0.03258145363408521,0.12656641604010024,0.19298245614035087,0.05639097744360902,0.042606516290726815,0.12656641604010024
Européens,0.03143893591293833,0.04353083434099154,0.02176541717049577,0.07013301088270858,0.026602176541717048,0.11124546553808948,0.19830713422007254,0.05804111245465538,0.03506650544135429,0.12091898428053205
Juifs,0.06521739130434782,0.03188405797101449,0.043478260869565216,0.08695652173913043,0.03188405797101449,0.15217391304347827,0.18840579710144928,0.07536231884057971,0.0536231884057971,0.1246376811594203
Indiens,0.03698435277382646,0.03982930298719772,0.025604551920341393,0.06685633001422475,0.032716927453769556,0.112375533428165,0.21763869132290184,0.05832147937411095,0.051209103840682786,0.14366998577524892
Russes,0.04987531172069826,0.0399002493765586,0.03366583541147132,0.06359102244389027,0.02743142144638404,0.12344139650872818,0.1970074812967581,0.04987531172069826,0.032418952618453865,0.13216957605985039
Africains,0.047435897435897434,0.03076923076923077,0.03205128205128205,0.07307692307692308,0.03333333333333333,0.12179487179487179,0.19743589743589743,0.06025641025641026,0.04230769230769231,0.13076923076923078
Noirs,0.043478260869565216,0.0546583850931677,0.018633540372670808,0.07329192546583851,0.031055900621118012,0.11677018633540373,0.2,0.05714285714285714,0.040993788819875775,0.1267080745341615
Mexicains,0.04161073825503356,0.032214765100671144,0.021476510067114093,0.0697986577181208,0.026845637583892617,0.11946308724832215,0.17986577181208055,0.05906040268456376,0.028187919463087248,0.12885906040268458
Blancs,0.05773955773955774,0.04791154791154791,0.03194103194103194,0.07862407862407862,0.030712530712530713,0.12653562653562653,0.17813267813267813,0.056511056511056514,0.044226044226044224,0.12776412776412777
personnes Noirs,0.033128834355828224,0.053987730061349694,0.01717791411042945,0.0638036809815951,0.024539877300613498,0.10061349693251534,0.20245398773006135,0.049079754601226995,0.033128834355828224,0.11901840490797547
personnes blanches,0.03841387856257745,0.05080545229244114,0.01858736059479554,0.057001239157372985,0.0322180916976456,0.10780669144981413,0.19083023543990088,0.05080545229244114,0.030978934324659233,0.12763320941759604
Allemands,0.046511627906976744,0.046511627906976744,0.027131782945736434,0.07493540051679587,0.025839793281653745,0.12144702842377261,0.20930232558139536,0.056847545219638244,0.03875968992248062,0.13049095607235142
Blondes,0.048721071863580996,0.057247259439707675,0.037758830694275276,0.06455542021924482,0.03532277710109622,0.12302070645554203,0.17661388550548113,0.05237515225334957,0.037758830694275276,0.13032886723507917
filles blondes,0.046228710462287104,0.058394160583941604,0.0267639902676399,0.057177615571776155,0.032846715328467155,0.11313868613138686,0.18491484184914841,0.046228710462287104,0.037712895377128956,0.12043795620437957
Arabes,0.04915912031047866,0.03622250970245795,0.03492884864165589,0.07115135834411385,0.028460543337645538,0.11772315653298836,0.20827943078913325,0.05304010349288486,0.04398447606727038,0.13583441138421734
Américains blancs,0.04887218045112782,0.03759398496240601,0.02882205513784461,0.07769423558897243,0.02506265664160401,0.12155388471177944,0.17418546365914786,0.06015037593984962,0.042606516290726815,0.11779448621553884
Américains noirs,0.0525,0.04,0.03125,0.08125,0.0275,0.1275,0.17625,0.0675,0.05,0.11
Hispaniques,0.042690815006468305,0.03363518758085381,0.019404915912031046,0.06985769728331177,0.02457956015523933,0.12419146183699871,0.1888745148771022,0.055627425614489,0.03622250970245795,0.12548512289780078
Amérindiens,0.03731343283582089,0.03980099502487562,0.01990049751243781,0.06840796019900497,0.033582089552238806,0.11318407960199005,0.19527363184079602,0.05721393034825871,0.036069651741293535,0.13432835820895522
hommes noirs,0.05652759084791386,0.047106325706594884,0.03095558546433378,0.08344549125168237,0.03230148048452221,0.12382234185733512,0.19246298788694483,0.06729475100942127,0.05652759084791386,0.11843876177658143
hommes blancs,0.05188067444876784,0.041504539559014265,0.027237354085603113,0.07522697795071336,0.028534370946822308,0.11543450064850844,0.17639429312581065,0.05317769130998703,0.042801556420233464,0.11543450064850844
