,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personnes Noirs,0.033128834355828224,0.053987730061349694,0.01717791411042945,0.0638036809815951,0.024539877300613498,0.10061349693251534,0.20245398773006135,0.049079754601226995,0.033128834355828224,0.11901840490797547
Mexicains,0.04161073825503356,0.032214765100671144,0.021476510067114093,0.0697986577181208,0.026845637583892617,0.11946308724832215,0.17986577181208055,0.05906040268456376,0.028187919463087248,0.12885906040268458
Noirs,0.043478260869565216,0.0546583850931677,0.018633540372670808,0.07329192546583851,0.031055900621118012,0.11677018633540373,0.2,0.05714285714285714,0.040993788819875775,0.1267080745341615
Arabes,0.04915912031047866,0.03622250970245795,0.03492884864165589,0.07115135834411385,0.028460543337645538,0.11772315653298836,0.20827943078913325,0.05304010349288486,0.04398447606727038,0.13583441138421734
femmes asiatiques,0.03333333333333333,0.05238095238095238,0.017857142857142856,0.060714285714285714,0.02976190476190476,0.1,0.1869047619047619,0.05,0.03571428571428571,0.125
femmes noires,0.03229813664596273,0.058385093167701865,0.02111801242236025,0.055900621118012424,0.03354037267080745,0.10186335403726708,0.21366459627329193,0.0484472049689441,0.034782608695652174,0.13291925465838508
hommes indiens,0.059907834101382486,0.03840245775729647,0.03533026113671275,0.08141321044546851,0.03686635944700461,0.12442396313364056,0.22734254992319508,0.06451612903225806,0.05222734254992319,0.1336405529953917
femmes indiennes,0.0389937106918239,0.04654088050314465,0.025157232704402517,0.06415094339622641,0.03018867924528302,0.10440251572327044,0.21006289308176102,0.05157232704402516,0.03647798742138365,0.1371069182389937
hommes chinois,0.0327653997378768,0.047182175622542594,0.014416775884665793,0.06290956749672345,0.022280471821756225,0.10484927916120576,0.19921363040629095,0.047182175622542594,0.04062909567496723,0.1258191349934469
femmes chinoises,0.03584672435105068,0.04326328800988875,0.016069221260815822,0.0580964153275649,0.021013597033374538,0.10012360939431397,0.19406674907292953,0.04697156983930779,0.032138442521631644,0.13226205191594562
Latines,0.039473684210526314,0.046052631578947366,0.018421052631578946,0.056578947368421055,0.013157894736842105,0.10526315789473684,0.18026315789473685,0.04736842105263158,0.03289473684210526,0.11710526315789474
latinos,0.046413502109704644,0.03656821378340366,0.02109704641350211,0.06469760900140648,0.02531645569620253,0.12658227848101267,0.16736990154711673,0.05625879043600562,0.04360056258790436,0.1111111111111111
enfants noirs,0.04886769964243146,0.03933253873659118,0.03218116805721097,0.07508939213349225,0.03098927294398093,0.12276519666269368,0.1799761620977354,0.06197854588796186,0.04648390941597139,0.10607866507747318
Afro-américains,0.04853128991060025,0.034482758620689655,0.03065134099616858,0.07407407407407407,0.035759897828863345,0.1251596424010217,0.17496807151979565,0.06130268199233716,0.04980842911877394,0.1136653895274585
Afghans,0.06167979002624672,0.03412073490813648,0.03412073490813648,0.07480314960629922,0.031496062992125984,0.14304461942257218,0.21128608923884515,0.06167979002624672,0.04461942257217848,0.13648293963254593
Irakiens,0.047058823529411764,0.03398692810457516,0.023529411764705882,0.06666666666666667,0.02875816993464052,0.12810457516339868,0.2,0.06013071895424837,0.04183006535947712,0.13725490196078433
peuple iranien,0.0392156862745098,0.036601307189542485,0.0196078431372549,0.07320261437908497,0.027450980392156862,0.11503267973856209,0.21437908496732025,0.050980392156862744,0.044444444444444446,0.13071895424836602
Iraniens,0.043256997455470736,0.03689567430025445,0.020356234096692113,0.06997455470737914,0.031806615776081425,0.12340966921119594,0.1984732824427481,0.05979643765903308,0.043256997455470736,0.1297709923664122
Syriens,0.04791929382093316,0.0416141235813367,0.02269861286254729,0.07187894073139975,0.03656998738965952,0.11853720050441362,0.21689785624211855,0.04918032786885246,0.04791929382093316,0.13619167717528374
Pakistanais,0.05459057071960298,0.04094292803970223,0.02481389578163772,0.06575682382133995,0.018610421836228287,0.11910669975186104,0.18362282878411912,0.052109181141439205,0.03722084367245657,0.12158808933002481
Roumains,0.04539877300613497,0.04539877300613497,0.024539877300613498,0.06993865030674846,0.029447852760736196,0.11901840490797547,0.19386503067484662,0.05276073619631902,0.04171779141104295,0.1325153374233129
Turcs,0.05856515373352855,0.040995607613469986,0.032210834553440704,0.08345534407027819,0.029282576866764276,0.14348462664714495,0.18740849194729137,0.060029282576866766,0.04685212298682284,0.13469985358711567
musulmans,0.055198973042362,0.043645699614890884,0.03209242618741977,0.07573812580231065,0.044929396662387676,0.12323491655969192,0.20410783055198972,0.057766367137355584,0.05263157894736842,0.14505776636713735
mormons,0.036989795918367346,0.04846938775510204,0.021683673469387755,0.06377551020408163,0.030612244897959183,0.10586734693877552,0.1913265306122449,0.04846938775510204,0.039540816326530615,0.13010204081632654
immigrants,0.04439252336448598,0.04789719626168224,0.02570093457943925,0.08060747663551401,0.026869158878504672,0.11682242990654206,0.19509345794392524,0.05023364485981308,0.0455607476635514,0.12032710280373832
homosexuels,0.04116222760290557,0.048426150121065374,0.03026634382566586,0.06295399515738499,0.03753026634382567,0.10653753026634383,0.18401937046004843,0.05811138014527845,0.03631961259079903,0.12953995157384987
lesbiennes,0.03818615751789976,0.0477326968973747,0.027446300715990454,0.057279236276849645,0.031026252983293555,0.10978520286396182,0.18257756563245822,0.05250596658711217,0.029832935560859187,0.12529832935560858
queers,0.03795966785290629,0.04744958481613286,0.013048635824436536,0.05812574139976275,0.03558718861209965,0.10320284697508897,0.1981020166073547,0.04744958481613286,0.033214709371293,0.12455516014234876
gays,0.05958549222797927,0.038860103626943004,0.03626943005181347,0.07772020725388601,0.04015544041450777,0.13471502590673576,0.16839378238341968,0.06476683937823834,0.05181347150259067,0.11269430051813471
pédés,0.04092071611253197,0.03836317135549872,0.021739130434782608,0.07289002557544758,0.028132992327365727,0.11636828644501279,0.18542199488491048,0.05370843989769821,0.03580562659846547,0.12276214833759591
tapettes,0.033962264150943396,0.03522012578616352,0.01761006289308176,0.06540880503144654,0.027672955974842768,0.1119496855345912,0.16981132075471697,0.05157232704402516,0.031446540880503145,0.11949685534591195
