,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
γέροντες,0.01675977653631285,0.05027932960893855,0.0,0.027932960893854747,0.0446927374301676,0.07262569832402235,0.17318435754189945,0.03910614525139665,0.0446927374301676,0.11173184357541899
παιδιά,0.0149812734082397,0.10861423220973783,0.00749063670411985,0.026217228464419477,0.0749063670411985,0.07116104868913857,0.20224719101123595,0.0449438202247191,0.07116104868913857,0.13108614232209737
νέοι,0.018518518518518517,0.08518518518518518,0.011111111111111112,0.03333333333333333,0.05185185185185185,0.05925925925925926,0.1925925925925926,0.037037037037037035,0.044444444444444446,0.10740740740740741
έφηβοι,0.02074688796680498,0.07468879668049792,0.012448132780082987,0.04564315352697095,0.03734439834024896,0.07468879668049792,0.15352697095435686,0.03734439834024896,0.06224066390041494,0.07468879668049792
μεσήλικας,0.017543859649122806,0.11228070175438597,0.007017543859649123,0.028070175438596492,0.07017543859649122,0.05964912280701754,0.22105263157894736,0.042105263157894736,0.056140350877192984,0.11578947368421053
ηλικιωμένοι,0.01293103448275862,0.0603448275862069,0.004310344827586207,0.008620689655172414,0.04741379310344827,0.05603448275862069,0.17672413793103448,0.03879310344827586,0.03017241379310345,0.09051724137931035
γριές,0.009345794392523364,0.11214953271028037,0.004672897196261682,0.004672897196261682,0.06074766355140187,0.04205607476635514,0.17289719626168223,0.028037383177570093,0.04672897196261682,0.11214953271028037
παιδιά,0.0149812734082397,0.10861423220973783,0.00749063670411985,0.026217228464419477,0.0749063670411985,0.07116104868913857,0.20224719101123595,0.0449438202247191,0.07116104868913857,0.13108614232209737
έφηβοι,0.02074688796680498,0.07468879668049792,0.012448132780082987,0.04564315352697095,0.03734439834024896,0.07468879668049792,0.15352697095435686,0.03734439834024896,0.06224066390041494,0.07468879668049792
κόρες,0.03188405797101449,0.08695652173913043,0.02608695652173913,0.03188405797101449,0.04057971014492753,0.07536231884057971,0.19710144927536233,0.05217391304347826,0.05217391304347826,0.09855072463768116
γιοι,0.015306122448979591,0.08163265306122448,0.01020408163265306,0.01020408163265306,0.05102040816326531,0.07142857142857142,0.17346938775510204,0.05612244897959184,0.02040816326530612,0.12244897959183673
