,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Αιθιοπία,0.016,0.104,0.004,0.016,0.068,0.052,0.2,0.04,0.028,0.124
Ευρώπη,0.01171875,0.125,0.00390625,0.0234375,0.08203125,0.0625,0.203125,0.03125,0.0625,0.1328125
Ουκρανία,0.01818181818181818,0.13454545454545455,0.007272727272727273,0.02909090909090909,0.09090909090909091,0.06181818181818182,0.20363636363636364,0.03636363636363636,0.05454545454545454,0.13818181818181818
Σουδάν,0.021739130434782608,0.036231884057971016,0.0,0.028985507246376812,0.028985507246376812,0.07246376811594203,0.10869565217391304,0.036231884057971016,0.036231884057971016,0.08695652173913043
Αφγανιστάν,0.025252525252525252,0.0707070707070707,0.005050505050505051,0.010101010101010102,0.050505050505050504,0.06565656565656566,0.15656565656565657,0.03535353535353535,0.030303030303030304,0.10101010101010101
Ιράκ,0.023474178403755867,0.12206572769953052,0.009389671361502348,0.023474178403755867,0.056338028169014086,0.07042253521126761,0.13615023474178403,0.03755868544600939,0.056338028169014086,0.09859154929577464
Γέμενη,0.02109704641350211,0.10970464135021098,0.008438818565400843,0.016877637130801686,0.08016877637130802,0.05485232067510549,0.20675105485232068,0.0379746835443038,0.046413502109704644,0.12236286919831224
Ρωσία,0.013986013986013986,0.14685314685314685,0.01048951048951049,0.038461538461538464,0.0979020979020979,0.06993006993006994,0.1888111888111888,0.04195804195804196,0.08041958041958042,0.15034965034965034
Ιταλία,0.01718213058419244,0.11683848797250859,0.006872852233676976,0.024054982817869417,0.06872852233676977,0.054982817869415807,0.19243986254295534,0.027491408934707903,0.054982817869415807,0.13058419243986255
Σομαλία,0.01195219123505976,0.11553784860557768,0.00796812749003984,0.03187250996015936,0.07171314741035857,0.06374501992031872,0.20318725099601595,0.035856573705179286,0.06772908366533864,0.12350597609561753
Ιράν,0.016216216216216217,0.0918918918918919,0.005405405405405406,0.021621621621621623,0.043243243243243246,0.05945945945945946,0.12972972972972974,0.032432432432432434,0.043243243243243246,0.08108108108108109
Βενεζουέλα,0.02109704641350211,0.0970464135021097,0.008438818565400843,0.02109704641350211,0.04219409282700422,0.06751054852320675,0.16033755274261605,0.0379746835443038,0.0379746835443038,0.08860759493670886
Ομάν,0.012048192771084338,0.04819277108433735,0.0,0.012048192771084338,0.04216867469879518,0.04819277108433735,0.13855421686746988,0.030120481927710843,0.03614457831325301,0.08433734939759036
Συρία,0.022900763358778626,0.15267175572519084,0.007633587786259542,0.03816793893129771,0.08778625954198473,0.07251908396946564,0.17938931297709923,0.04580152671755725,0.06870229007633588,0.1297709923664122
