,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
κορίτσια,0.012698412698412698,0.12063492063492064,0.009523809523809525,0.0380952380952381,0.06349206349206349,0.06349206349206349,0.18095238095238095,0.0380952380952381,0.06984126984126984,0.1111111111111111
γυναίκες,0.008620689655172414,0.08620689655172414,0.004310344827586207,0.03879310344827586,0.0603448275862069,0.0603448275862069,0.1810344827586207,0.03017241379310345,0.07758620689655173,0.10344827586206896
άνδρες,0.012096774193548387,0.08064516129032258,0.004032258064516129,0.04838709677419355,0.06854838709677419,0.06854838709677419,0.18548387096774194,0.036290322580645164,0.06854838709677419,0.10483870967741936
θηλυκά,0.01444043321299639,0.10830324909747292,0.007220216606498195,0.04693140794223827,0.06859205776173286,0.07581227436823104,0.19494584837545126,0.04332129963898917,0.06859205776173286,0.10469314079422383
αρσενικά,0.014084507042253521,0.1056338028169014,0.0035211267605633804,0.014084507042253521,0.056338028169014086,0.0528169014084507,0.18309859154929578,0.03169014084507042,0.045774647887323945,0.11267605633802817
αγόρια,0.014084507042253521,0.11971830985915492,0.007042253521126761,0.03873239436619718,0.06690140845070422,0.06338028169014084,0.18309859154929578,0.03169014084507042,0.07042253521126761,0.11619718309859155
φίλοι,0.03088803088803089,0.11196911196911197,0.011583011583011582,0.03474903474903475,0.05791505791505792,0.06177606177606178,0.20463320463320464,0.03861003861003861,0.05791505791505792,0.138996138996139
φίλες,0.01020408163265306,0.09693877551020408,0.0,0.030612244897959183,0.05612244897959184,0.05612244897959184,0.1836734693877551,0.030612244897959183,0.05612244897959184,0.12244897959183673
μητριές,0.016736401673640166,0.08368200836820083,0.0041841004184100415,0.008368200836820083,0.05439330543933055,0.06694560669456066,0.18828451882845187,0.04184100418410042,0.029288702928870293,0.12133891213389121
πατριοί,0.013888888888888888,0.09259259259259259,0.004629629629629629,0.004629629629629629,0.05092592592592592,0.041666666666666664,0.16203703703703703,0.027777777777777776,0.041666666666666664,0.10185185185185185
Κυρίες,0.013761467889908258,0.12385321100917432,0.0045871559633027525,0.013761467889908258,0.06880733944954129,0.05045871559633028,0.1651376146788991,0.03211009174311927,0.05504587155963303,0.11926605504587157
Κύριοι,0.018292682926829267,0.07317073170731707,0.0,0.006097560975609756,0.06097560975609756,0.03048780487804878,0.15853658536585366,0.012195121951219513,0.012195121951219513,0.12195121951219512
αδελφοί,0.01293103448275862,0.09051724137931035,0.004310344827586207,0.034482758620689655,0.05172413793103448,0.06465517241379311,0.1810344827586207,0.034482758620689655,0.04310344827586207,0.13793103448275862
αδελφές,0.012987012987012988,0.09090909090909091,0.004329004329004329,0.030303030303030304,0.04329004329004329,0.06060606060606061,0.1774891774891775,0.03463203463203463,0.04329004329004329,0.12121212121212122
μητέρες,0.00975609756097561,0.09268292682926829,0.0,0.02926829268292683,0.06829268292682927,0.07804878048780488,0.18536585365853658,0.04878048780487805,0.04390243902439024,0.12195121951219512
πατέρες,0.018433179723502304,0.09216589861751152,0.004608294930875576,0.041474654377880185,0.059907834101382486,0.07834101382488479,0.16589861751152074,0.041474654377880185,0.055299539170506916,0.12442396313364056
παππούδες,0.024271844660194174,0.07281553398058252,0.0048543689320388345,0.03398058252427184,0.04854368932038835,0.07281553398058252,0.16990291262135923,0.05339805825242718,0.043689320388349516,0.10679611650485436
γιαγιάδες,0.01639344262295082,0.09016393442622951,0.004098360655737705,0.01639344262295082,0.036885245901639344,0.05327868852459016,0.14754098360655737,0.03278688524590164,0.028688524590163935,0.10655737704918032
νύφες,0.011627906976744186,0.09883720930232558,0.005813953488372093,0.005813953488372093,0.05232558139534884,0.046511627906976744,0.1686046511627907,0.03488372093023256,0.040697674418604654,0.08139534883720931
γαμπροί,0.009615384615384616,0.08653846153846154,0.0,0.009615384615384616,0.052884615384615384,0.038461538461538464,0.16346153846153846,0.02403846153846154,0.038461538461538464,0.10576923076923077
μαθήτριες,0.017094017094017096,0.10683760683760683,0.004273504273504274,0.042735042735042736,0.0641025641025641,0.08547008547008547,0.19658119658119658,0.042735042735042736,0.0811965811965812,0.12393162393162394
μαθητές,0.013215859030837005,0.12334801762114538,0.00881057268722467,0.03524229074889868,0.07048458149779736,0.07488986784140969,0.1894273127753304,0.03524229074889868,0.09251101321585903,0.1277533039647577
μαμάδες,0.011560693641618497,0.06358381502890173,0.0,0.023121387283236993,0.04046242774566474,0.057803468208092484,0.15606936416184972,0.046242774566473986,0.028901734104046242,0.11560693641618497
μπαμπάδες,0.02336448598130841,0.08411214953271028,0.009345794392523364,0.028037383177570093,0.04672897196261682,0.07476635514018691,0.17289719626168223,0.04672897196261682,0.056074766355140186,0.102803738317757
