,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χίπστερ,0.02857142857142857,0.11428571428571428,0.009523809523809525,0.01904761904761905,0.07142857142857142,0.06666666666666667,0.19047619047619047,0.047619047619047616,0.05714285714285714,0.12380952380952381
σπασίκλες,0.009259259259259259,0.08333333333333333,0.004629629629629629,0.009259259259259259,0.05092592592592592,0.046296296296296294,0.1574074074074074,0.032407407407407406,0.041666666666666664,0.1111111111111111
βλάχοι,0.019230769230769232,0.09134615384615384,0.004807692307692308,0.028846153846153848,0.03365384615384615,0.0673076923076923,0.15384615384615385,0.03365384615384615,0.028846153846153848,0.09615384615384616
άστεγοι,0.02857142857142857,0.06938775510204082,0.012244897959183673,0.036734693877551024,0.036734693877551024,0.0653061224489796,0.15510204081632653,0.036734693877551024,0.0326530612244898,0.11020408163265306
φεμινίστριες,0.012096774193548387,0.10887096774193548,0.004032258064516129,0.024193548387096774,0.06854838709677419,0.056451612903225805,0.1814516129032258,0.03225806451612903,0.056451612903225805,0.11290322580645161
πλούσιοι,0.04743083003952569,0.08695652173913043,0.019762845849802372,0.03162055335968379,0.019762845849802372,0.07114624505928854,0.13438735177865613,0.04743083003952569,0.03162055335968379,0.05533596837944664
φτωχοί,0.021645021645021644,0.09956709956709957,0.0,0.012987012987012988,0.03896103896103896,0.047619047619047616,0.19913419913419914,0.021645021645021644,0.030303030303030304,0.10822510822510822
εγκληματίες,0.03278688524590164,0.0778688524590164,0.012295081967213115,0.05327868852459016,0.05327868852459016,0.09016393442622951,0.1762295081967213,0.05327868852459016,0.06557377049180328,0.10655737704918032
aδελφότητες,0.01293103448275862,0.09482758620689655,0.004310344827586207,0.017241379310344827,0.05172413793103448,0.05172413793103448,0.1896551724137931,0.02586206896551724,0.04310344827586207,0.125
μέλος aδελφότητας,0.021148036253776436,0.11782477341389729,0.006042296072507553,0.027190332326283987,0.05740181268882175,0.054380664652567974,0.18429003021148035,0.03927492447129909,0.04833836858006042,0.1299093655589124
μέλος aδελφότητας,0.021148036253776436,0.11782477341389729,0.006042296072507553,0.027190332326283987,0.05740181268882175,0.054380664652567974,0.18429003021148035,0.03927492447129909,0.04833836858006042,0.1299093655589124
χίπιδες,0.013953488372093023,0.09767441860465116,0.009302325581395349,0.018604651162790697,0.046511627906976744,0.05581395348837209,0.13023255813953488,0.04186046511627907,0.037209302325581395,0.10697674418604651
φυτά,0.009771986970684038,0.09771986970684039,0.003257328990228013,0.016286644951140065,0.05863192182410423,0.04560260586319218,0.20846905537459284,0.02280130293159609,0.04234527687296417,0.11074918566775244
γκοθ,0.009708737864077669,0.11650485436893204,0.0048543689320388345,0.009708737864077669,0.0825242718446602,0.043689320388349516,0.21844660194174756,0.02912621359223301,0.05339805825242718,0.10679611650485436
πανκ,0.012448132780082987,0.08298755186721991,0.004149377593360996,0.004149377593360996,0.05394190871369295,0.04979253112033195,0.18672199170124482,0.029045643153526972,0.03319502074688797,0.12033195020746888
Καλιφορνέζοι,0.03482587064676617,0.07462686567164178,0.01990049751243781,0.01990049751243781,0.01990049751243781,0.06965174129353234,0.14925373134328357,0.029850746268656716,0.014925373134328358,0.07960199004975124
διασημότητες,0.010948905109489052,0.12043795620437957,0.0072992700729927005,0.029197080291970802,0.07664233576642336,0.06934306569343066,0.22262773722627738,0.043795620437956206,0.06934306569343066,0.13138686131386862
κοκκινομάλλες,0.016260162601626018,0.08536585365853659,0.008130081300813009,0.012195121951219513,0.04065040650406504,0.04878048780487805,0.16260162601626016,0.032520325203252036,0.032520325203252036,0.08943089430894309
