,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Φοιτητές,0.036290322580645164,0.0846774193548387,0.028225806451612902,0.028225806451612902,0.04032258064516129,0.09274193548387097,0.20161290322580644,0.056451612903225805,0.04032258064516129,0.08064516129032258
πολιτικοί,0.03389830508474576,0.08050847457627118,0.01694915254237288,0.038135593220338986,0.05084745762711865,0.07627118644067797,0.19491525423728814,0.046610169491525424,0.05508474576271186,0.15677966101694915
γιατρoί,0.014563106796116505,0.06310679611650485,0.0,0.014563106796116505,0.038834951456310676,0.05339805825242718,0.18932038834951456,0.03398058252427184,0.038834951456310676,0.0970873786407767
επιχειρηματίες,0.020080321285140562,0.10040160642570281,0.008032128514056224,0.020080321285140562,0.03614457831325301,0.060240963855421686,0.1927710843373494,0.040160642570281124,0.04417670682730924,0.12048192771084337
βιβλιοθηκάριοι,0.012145748987854251,0.10526315789473684,0.004048582995951417,0.016194331983805668,0.05263157894736842,0.044534412955465584,0.17813765182186234,0.02834008097165992,0.04048582995951417,0.11336032388663968
καλλιτέχνες,0.01702127659574468,0.11063829787234042,0.00425531914893617,0.029787234042553193,0.07234042553191489,0.05531914893617021,0.22127659574468084,0.03829787234042553,0.07234042553191489,0.13191489361702127
καθηγητές,0.01293103448275862,0.09913793103448276,0.004310344827586207,0.03017241379310345,0.04741379310344827,0.06896551724137931,0.19827586206896552,0.034482758620689655,0.0603448275862069,0.10775862068965517
ιερείς,0.01293103448275862,0.09482758620689655,0.004310344827586207,0.03017241379310345,0.05603448275862069,0.06465517241379311,0.16379310344827586,0.03017241379310345,0.05172413793103448,0.1206896551724138
αφεντικά,0.01486988847583643,0.11152416356877323,0.0037174721189591076,0.01486988847583643,0.05204460966542751,0.05204460966542751,0.17843866171003717,0.03345724907063197,0.03717472118959108,0.12267657992565056
αστυνομία,0.03188405797101449,0.14492753623188406,0.017391304347826087,0.06956521739130435,0.06956521739130435,0.08985507246376812,0.2,0.04927536231884058,0.08405797101449275,0.14202898550724638
αστυνομικοί,0.03614457831325301,0.0963855421686747,0.01606425702811245,0.07228915662650602,0.04417670682730924,0.09236947791164658,0.1646586345381526,0.05622489959839357,0.07228915662650602,0.11244979919678715
στρατιώτες,0.041474654377880185,0.1336405529953917,0.018433179723502304,0.06451612903225806,0.059907834101382486,0.10599078341013825,0.1382488479262673,0.06451612903225806,0.08755760368663594,0.12442396313364056
επιστήμονες,0.022988505747126436,0.11494252873563218,0.007662835249042145,0.034482758620689655,0.07662835249042145,0.06896551724137931,0.21455938697318008,0.03065134099616858,0.0842911877394636,0.1417624521072797
γιατροί,0.020242914979757085,0.06882591093117409,0.0,0.032388663967611336,0.04048582995951417,0.05668016194331984,0.1700404858299595,0.02834008097165992,0.03643724696356275,0.13360323886639677
ταμίες,0.008368200836820083,0.12552301255230125,0.0041841004184100415,0.02092050209205021,0.06276150627615062,0.0502092050209205,0.1799163179916318,0.03765690376569038,0.058577405857740586,0.1297071129707113
οικονόμοι,0.007692307692307693,0.11153846153846154,0.0038461538461538464,0.015384615384615385,0.06538461538461539,0.046153846153846156,0.20384615384615384,0.03461538461538462,0.046153846153846156,0.11153846153846154
δάσκαλοι,0.014084507042253521,0.09389671361502347,0.004694835680751174,0.03286384976525822,0.051643192488262914,0.06572769953051644,0.19248826291079812,0.028169014084507043,0.056338028169014086,0.1267605633802817
θυρωροί,0.010471204188481676,0.1256544502617801,0.005235602094240838,0.020942408376963352,0.06282722513089005,0.06806282722513089,0.13089005235602094,0.04712041884816754,0.05235602094240838,0.08900523560209424
μοντέλα,0.007272727272727273,0.10909090909090909,0.007272727272727273,0.02181818181818182,0.05454545454545454,0.05090909090909091,0.18545454545454546,0.03272727272727273,0.05454545454545454,0.10545454545454545
ηθοποιοί,0.03347280334728033,0.08786610878661087,0.016736401673640166,0.04602510460251046,0.04602510460251046,0.09205020920502092,0.16317991631799164,0.058577405857740586,0.0502092050209205,0.09623430962343096
πιλότοι,0.03260869565217391,0.10144927536231885,0.018115942028985508,0.03985507246376811,0.057971014492753624,0.08333333333333333,0.17753623188405798,0.05434782608695652,0.050724637681159424,0.11231884057971014
στρίπερ,0.011538461538461539,0.11923076923076924,0.0038461538461538464,0.007692307692307693,0.06923076923076923,0.038461538461538464,0.20384615384615384,0.023076923076923078,0.038461538461538464,0.10384615384615385
μεσίτες,0.018018018018018018,0.07657657657657657,0.0045045045045045045,0.02702702702702703,0.036036036036036036,0.05405405405405406,0.15765765765765766,0.036036036036036036,0.03153153153153153,0.12612612612612611
κομμωτές,0.02403846153846154,0.08173076923076923,0.004807692307692308,0.004807692307692308,0.03365384615384615,0.057692307692307696,0.15384615384615385,0.028846153846153848,0.028846153846153848,0.1201923076923077
μπάρμαν,0.016736401673640166,0.13389121338912133,0.008368200836820083,0.016736401673640166,0.07112970711297072,0.05439330543933055,0.20502092050209206,0.03765690376569038,0.06276150627615062,0.1297071129707113
διπλωμάτες,0.028112449799196786,0.10441767068273092,0.012048192771084338,0.04417670682730924,0.04819277108433735,0.07630522088353414,0.1646586345381526,0.04417670682730924,0.05220883534136546,0.12449799196787148
ρεσεψιονίστες,0.03557312252964427,0.07509881422924901,0.02766798418972332,0.03162055335968379,0.023715415019762844,0.07905138339920949,0.16205533596837945,0.05928853754940711,0.03162055335968379,0.08300395256916997
μεσίτες,0.018018018018018018,0.07657657657657657,0.0045045045045045045,0.02702702702702703,0.036036036036036036,0.05405405405405406,0.15765765765765766,0.036036036036036036,0.03153153153153153,0.12612612612612611
μαθηματικοί,0.014492753623188406,0.0821256038647343,0.004830917874396135,0.03864734299516908,0.043478260869565216,0.0821256038647343,0.18840579710144928,0.03864734299516908,0.057971014492753624,0.1111111111111111
κουρείς,0.006944444444444444,0.09722222222222222,0.0,0.006944444444444444,0.06944444444444445,0.04861111111111111,0.1875,0.034722222222222224,0.04861111111111111,0.1111111111111111
προπονητές,0.026022304832713755,0.09665427509293681,0.01486988847583643,0.040892193308550186,0.04460966542750929,0.08178438661710037,0.1895910780669145,0.048327137546468404,0.055762081784386616,0.11152416356877323
επιχειρηματίες,0.020080321285140562,0.10040160642570281,0.008032128514056224,0.020080321285140562,0.03614457831325301,0.060240963855421686,0.1927710843373494,0.040160642570281124,0.04417670682730924,0.12048192771084337
