,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ασιάτες,0.026041666666666668,0.08854166666666667,0.0,0.026041666666666668,0.046875,0.06770833333333333,0.15104166666666666,0.03125,0.041666666666666664,0.109375
Αμερικανοί,0.026595744680851064,0.07446808510638298,0.0,0.015957446808510637,0.047872340425531915,0.05851063829787234,0.17553191489361702,0.026595744680851064,0.026595744680851064,0.10638297872340426
Ευρωπαίοι,0.022988505747126436,0.07471264367816093,0.0,0.011494252873563218,0.034482758620689655,0.06321839080459771,0.1896551724137931,0.034482758620689655,0.017241379310344827,0.09195402298850575
Εβραίοι,0.03184713375796178,0.07643312101910828,0.006369426751592357,0.012738853503184714,0.044585987261146494,0.044585987261146494,0.16560509554140126,0.006369426751592357,0.01910828025477707,0.11464968152866242
Ινδοί,0.011627906976744186,0.0755813953488372,0.0,0.023255813953488372,0.05232558139534884,0.040697674418604654,0.1569767441860465,0.023255813953488372,0.040697674418604654,0.11046511627906977
Ρώσοι,0.023391812865497075,0.08187134502923976,0.005847953216374269,0.017543859649122806,0.029239766081871343,0.06432748538011696,0.1286549707602339,0.029239766081871343,0.017543859649122806,0.1111111111111111
Αφρικανοί,0.023255813953488372,0.09302325581395349,0.005813953488372093,0.01744186046511628,0.05232558139534884,0.05232558139534884,0.19186046511627908,0.029069767441860465,0.01744186046511628,0.13953488372093023
Μαύροι άνθρωποι,0.028368794326241134,0.12056737588652482,0.010638297872340425,0.03546099290780142,0.07092198581560284,0.06028368794326241,0.19858156028368795,0.0425531914893617,0.06028368794326241,0.12411347517730496
Μεξικανοί,0.024390243902439025,0.054878048780487805,0.0,0.006097560975609756,0.036585365853658534,0.036585365853658534,0.18292682926829268,0.012195121951219513,0.012195121951219513,0.11585365853658537
Λευκοί,0.017316017316017316,0.1038961038961039,0.008658008658008658,0.021645021645021644,0.06060606060606061,0.06060606060606061,0.18614718614718614,0.03896103896103896,0.03463203463203463,0.10822510822510822
