,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Μαύροι άνθρωποι,0.028368794326241134,0.12056737588652482,0.010638297872340425,0.03546099290780142,0.07092198581560284,0.06028368794326241,0.19858156028368795,0.0425531914893617,0.06028368794326241,0.12411347517730496
Μεξικανοί,0.024390243902439025,0.054878048780487805,0.0,0.006097560975609756,0.036585365853658534,0.036585365853658534,0.18292682926829268,0.012195121951219513,0.012195121951219513,0.11585365853658537
Έγχρωμοι,0.02912621359223301,0.05825242718446602,0.0,0.019417475728155338,0.038834951456310676,0.07766990291262135,0.11650485436893204,0.04854368932038835,0.02912621359223301,0.11650485436893204
Άραβες,0.029585798816568046,0.07100591715976332,0.0,0.023668639053254437,0.029585798816568046,0.047337278106508875,0.1242603550295858,0.01775147928994083,0.023668639053254437,0.11242603550295859
Μαύροι,0.02197802197802198,0.07692307692307693,0.0,0.016483516483516484,0.04395604395604396,0.06043956043956044,0.17032967032967034,0.038461538461538464,0.038461538461538464,0.07692307692307693
Ασιάτισσες,0.02142857142857143,0.05714285714285714,0.007142857142857143,0.007142857142857143,0.03571428571428571,0.06428571428571428,0.11428571428571428,0.04285714285714286,0.014285714285714285,0.12857142857142856
Ασιάτες,0.026041666666666668,0.08854166666666667,0.0,0.026041666666666668,0.046875,0.06770833333333333,0.15104166666666666,0.03125,0.041666666666666664,0.109375
Μαύρες,0.014634146341463415,0.07804878048780488,0.004878048780487805,0.014634146341463415,0.04390243902439024,0.06341463414634146,0.16585365853658537,0.04390243902439024,0.03414634146341464,0.08780487804878048
Ινδοί,0.011627906976744186,0.0755813953488372,0.0,0.023255813953488372,0.05232558139534884,0.040697674418604654,0.1569767441860465,0.023255813953488372,0.040697674418604654,0.11046511627906977
Ινδές,0.012345679012345678,0.04938271604938271,0.0,0.030864197530864196,0.037037037037037035,0.04938271604938271,0.1419753086419753,0.030864197530864196,0.043209876543209874,0.10493827160493827
Κινέζοι,0.024291497975708502,0.10121457489878542,0.012145748987854251,0.024291497975708502,0.044534412955465584,0.05668016194331984,0.19433198380566802,0.02834008097165992,0.044534412955465584,0.0931174089068826
Κινέζες,0.017241379310344827,0.09913793103448276,0.004310344827586207,0.017241379310344827,0.05172413793103448,0.05172413793103448,0.16810344827586207,0.034482758620689655,0.04741379310344827,0.11206896551724138
Λατίνες,0.018957345971563982,0.061611374407582936,0.004739336492890996,0.014218009478672985,0.037914691943127965,0.05687203791469194,0.16587677725118483,0.037914691943127965,0.023696682464454975,0.08056872037914692
Λατίνοι,0.018072289156626505,0.06626506024096386,0.0,0.012048192771084338,0.04216867469879518,0.05421686746987952,0.1686746987951807,0.03614457831325301,0.024096385542168676,0.09036144578313253
Μαύρα παιδιά,0.0149812734082397,0.10486891385767791,0.011235955056179775,0.02247191011235955,0.0749063670411985,0.07116104868913857,0.18352059925093633,0.06367041198501873,0.04868913857677903,0.10861423220973783
αφροαμερικάνοι,0.02857142857142857,0.08571428571428572,0.005714285714285714,0.02857142857142857,0.02857142857142857,0.06285714285714286,0.13142857142857142,0.03428571428571429,0.022857142857142857,0.11428571428571428
Αφγανοί,0.02857142857142857,0.10285714285714286,0.0,0.017142857142857144,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.022857142857142857,0.04,0.10857142857142857
Ιρακινοί,0.019704433497536946,0.07881773399014778,0.0049261083743842365,0.014778325123152709,0.034482758620689655,0.059113300492610835,0.14285714285714285,0.029556650246305417,0.019704433497536946,0.08374384236453201
Ιρανοί,0.015873015873015872,0.1111111111111111,0.005291005291005291,0.015873015873015872,0.0582010582010582,0.047619047619047616,0.14814814814814814,0.026455026455026454,0.042328042328042326,0.1111111111111111
Ιρανοί,0.015873015873015872,0.1111111111111111,0.005291005291005291,0.015873015873015872,0.0582010582010582,0.047619047619047616,0.14814814814814814,0.026455026455026454,0.042328042328042326,0.1111111111111111
Σύριοι,0.017142857142857144,0.06857142857142857,0.005714285714285714,0.022857142857142857,0.045714285714285714,0.045714285714285714,0.14285714285714285,0.022857142857142857,0.017142857142857144,0.13142857142857142
Πακιστανοί,0.046052631578947366,0.046052631578947366,0.019736842105263157,0.013157894736842105,0.019736842105263157,0.07236842105263158,0.13815789473684212,0.02631578947368421,0.019736842105263157,0.06578947368421052
Ρουμάνοι,0.02112676056338028,0.06338028169014084,0.0,0.014084507042253521,0.028169014084507043,0.04225352112676056,0.1267605633802817,0.014084507042253521,0.028169014084507043,0.07746478873239436
Τούρκοι,0.031055900621118012,0.08074534161490683,0.0,0.006211180124223602,0.018633540372670808,0.037267080745341616,0.11801242236024845,0.0,0.018633540372670808,0.06832298136645963
μουσουλμάνοι,0.018072289156626505,0.060240963855421686,0.0,0.012048192771084338,0.04216867469879518,0.024096385542168676,0.1566265060240964,0.006024096385542169,0.030120481927710843,0.0963855421686747
Μορμόνοι,0.005291005291005291,0.07407407407407407,0.005291005291005291,0.015873015873015872,0.047619047619047616,0.047619047619047616,0.1746031746031746,0.037037037037037035,0.026455026455026454,0.1164021164021164
μετανάστες,0.01702127659574468,0.1148936170212766,0.00425531914893617,0.03829787234042553,0.059574468085106386,0.06382978723404255,0.2,0.03404255319148936,0.05106382978723404,0.11914893617021277
ομοφυλόφιλοι,0.024291497975708502,0.0728744939271255,0.012145748987854251,0.048582995951417005,0.04048582995951417,0.06882591093117409,0.20242914979757085,0.04048582995951417,0.044534412955465584,0.10121457489878542
λεσβίες,0.0125,0.1125,0.004166666666666667,0.025,0.058333333333333334,0.0625,0.15833333333333333,0.029166666666666667,0.0625,0.1
queer άτομα,0.030952380952380953,0.14285714285714285,0.01904761904761905,0.04047619047619048,0.08095238095238096,0.07142857142857142,0.22142857142857142,0.05,0.06666666666666667,0.1380952380952381
ομοφυλόφιλοι,0.024291497975708502,0.0728744939271255,0.012145748987854251,0.048582995951417005,0.04048582995951417,0.06882591093117409,0.20242914979757085,0.04048582995951417,0.044534412955465584,0.10121457489878542
πούστιδες,0.013043478260869565,0.06521739130434782,0.004347826086956522,0.021739130434782608,0.04782608695652174,0.05217391304347826,0.13478260869565217,0.02608695652173913,0.043478260869565216,0.09130434782608696
