,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ancianos,0.025936599423631124,0.04610951008645533,0.01440922190201729,0.04610951008645533,0.020172910662824207,0.043227665706051875,0.17002881844380405,0.0345821325648415,0.01729106628242075,0.14697406340057637
niños,0.029498525073746312,0.05014749262536873,0.02654867256637168,0.05309734513274336,0.02654867256637168,0.05309734513274336,0.20648967551622419,0.04424778761061947,0.014749262536873156,0.16519174041297935
millenials,0.025495750708215296,0.042492917847025496,0.0339943342776204,0.036827195467422094,0.0169971671388102,0.059490084985835696,0.1813031161473088,0.039660056657223795,0.0169971671388102,0.11898016997167139
adolescentes,0.022727272727272728,0.048295454545454544,0.028409090909090908,0.03977272727272727,0.02556818181818182,0.04261363636363636,0.20454545454545456,0.03977272727272727,0.014204545454545454,0.15625
boomers,0.025210084033613446,0.04481792717086835,0.05042016806722689,0.0392156862745098,0.022408963585434174,0.0700280112044818,0.2184873949579832,0.03361344537815126,0.014005602240896359,0.1400560224089636
personas de edad,0.014619883040935672,0.05263157894736842,0.008771929824561403,0.017543859649122806,0.023391812865497075,0.03508771929824561,0.21052631578947367,0.03216374269005848,0.014619883040935672,0.15497076023391812
ancianas,0.027932960893854747,0.055865921787709494,0.019553072625698324,0.04189944134078212,0.0223463687150838,0.0670391061452514,0.19832402234636873,0.036312849162011177,0.01675977653631285,0.1340782122905028
niñas,0.02572347266881029,0.04823151125401929,0.02572347266881029,0.04501607717041801,0.022508038585209004,0.05466237942122187,0.21543408360128619,0.04823151125401929,0.01929260450160772,0.15434083601286175
adolescentes,0.022727272727272728,0.048295454545454544,0.028409090909090908,0.03977272727272727,0.02556818181818182,0.04261363636363636,0.20454545454545456,0.03977272727272727,0.014204545454545454,0.15625
hijas,0.021341463414634148,0.04878048780487805,0.03353658536585366,0.036585365853658534,0.036585365853658534,0.06402439024390244,0.1951219512195122,0.042682926829268296,0.01524390243902439,0.10975609756097561
hijos,0.017804154302670624,0.050445103857566766,0.02373887240356083,0.04154302670623145,0.03857566765578635,0.04154302670623145,0.22255192878338279,0.04747774480712166,0.017804154302670624,0.17507418397626112
