,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopía,0.014367816091954023,0.04597701149425287,0.02586206896551724,0.02586206896551724,0.02586206896551724,0.04597701149425287,0.20977011494252873,0.022988505747126436,0.017241379310344827,0.1206896551724138
Europa,0.02608695652173913,0.05217391304347826,0.020289855072463767,0.034782608695652174,0.02318840579710145,0.04927536231884058,0.20869565217391303,0.03188405797101449,0.014492753623188406,0.13043478260869565
Ucrania,0.019867549668874173,0.052980132450331126,0.026490066225165563,0.039735099337748346,0.023178807947019868,0.04966887417218543,0.19536423841059603,0.039735099337748346,0.023178807947019868,0.13245033112582782
Sudán,0.014792899408284023,0.05917159763313609,0.023668639053254437,0.05029585798816568,0.014792899408284023,0.05029585798816568,0.21005917159763313,0.029585798816568046,0.020710059171597635,0.12130177514792899
Afganistán,0.024844720496894408,0.049689440993788817,0.027950310559006212,0.06521739130434782,0.009316770186335404,0.07142857142857142,0.17391304347826086,0.037267080745341616,0.021739130434782608,0.11180124223602485
Irak,0.018808777429467086,0.05642633228840126,0.034482758620689655,0.0438871473354232,0.03134796238244514,0.05956112852664577,0.219435736677116,0.047021943573667714,0.01567398119122257,0.12225705329153605
Yemen,0.023668639053254437,0.047337278106508875,0.038461538461538464,0.04142011834319527,0.023668639053254437,0.0621301775147929,0.20414201183431951,0.047337278106508875,0.014792899408284023,0.12130177514792899
Rusia,0.02,0.04857142857142857,0.03428571428571429,0.03142857142857143,0.02,0.05714285714285714,0.18857142857142858,0.037142857142857144,0.017142857142857144,0.11142857142857143
Italia,0.021739130434782608,0.046583850931677016,0.021739130434782608,0.034161490683229816,0.015527950310559006,0.049689440993788817,0.21428571428571427,0.037267080745341616,0.015527950310559006,0.11180124223602485
Somalia,0.02857142857142857,0.050793650793650794,0.031746031746031744,0.0380952380952381,0.015873015873015872,0.050793650793650794,0.19682539682539682,0.044444444444444446,0.015873015873015872,0.10158730158730159
Irán,0.02476780185758514,0.04953560371517028,0.03715170278637771,0.05572755417956656,0.018575851393188854,0.06811145510835913,0.19195046439628483,0.05572755417956656,0.015479876160990712,0.1238390092879257
Venezuela,0.014970059880239521,0.05389221556886228,0.020958083832335328,0.029940119760479042,0.023952095808383235,0.041916167664670656,0.20359281437125748,0.03592814371257485,0.014970059880239521,0.11077844311377245
Omán,0.006097560975609756,0.042682926829268296,0.042682926829268296,0.036585365853658534,0.003048780487804878,0.057926829268292686,0.17378048780487804,0.027439024390243903,0.01524390243902439,0.10975609756097561
Siria,0.0196078431372549,0.058823529411764705,0.029411764705882353,0.049019607843137254,0.02287581699346405,0.06862745098039216,0.20915032679738563,0.05555555555555555,0.016339869281045753,0.12418300653594772
Porcelana,0.013157894736842105,0.039473684210526314,0.02894736842105263,0.02894736842105263,0.018421052631578946,0.042105263157894736,0.21052631578947367,0.034210526315789476,0.010526315789473684,0.12368421052631579
India,0.01592356687898089,0.044585987261146494,0.01592356687898089,0.028662420382165606,0.01910828025477707,0.03821656050955414,0.2197452229299363,0.03503184713375796,0.01592356687898089,0.1178343949044586
Gran Bretaña,0.012987012987012988,0.04155844155844156,0.033766233766233764,0.02857142857142857,0.025974025974025976,0.04155844155844156,0.21038961038961038,0.03116883116883117,0.012987012987012988,0.14285714285714285
Francia,0.03529411764705882,0.052941176470588235,0.026470588235294117,0.029411764705882353,0.029411764705882353,0.06470588235294118,0.21470588235294116,0.03235294117647059,0.014705882352941176,0.11176470588235295
Grecia,0.024615384615384615,0.05846153846153846,0.021538461538461538,0.03076923076923077,0.024615384615384615,0.046153846153846156,0.2,0.033846153846153845,0.018461538461538463,0.11692307692307692
Escocia,0.01891891891891892,0.04594594594594595,0.02702702702702703,0.02972972972972973,0.01891891891891892,0.03783783783783784,0.21351351351351353,0.032432432432432434,0.013513513513513514,0.12432432432432433
Paraguay,0.019178082191780823,0.04657534246575343,0.024657534246575342,0.03287671232876712,0.021917808219178082,0.038356164383561646,0.21095890410958903,0.0410958904109589,0.01643835616438356,0.12876712328767123
Brasil,0.020771513353115726,0.05341246290801187,0.026706231454005934,0.03560830860534125,0.020771513353115726,0.04747774480712166,0.21068249258160238,0.04154302670623145,0.01483679525222552,0.12166172106824925
África,0.021671826625386997,0.04953560371517028,0.02476780185758514,0.03715170278637771,0.021671826625386997,0.04643962848297214,0.20123839009287925,0.04643962848297214,0.015479876160990712,0.10526315789473684
Jordania,0.018072289156626505,0.05120481927710843,0.03614457831325301,0.03313253012048193,0.02108433734939759,0.0572289156626506,0.20783132530120482,0.03614457831325301,0.015060240963855422,0.12048192771084337
Indonesia,0.022222222222222223,0.05,0.025,0.03333333333333333,0.025,0.06111111111111111,0.21944444444444444,0.05277777777777778,0.013888888888888888,0.11666666666666667
Vietnam,0.015527950310559006,0.052795031055900624,0.027950310559006212,0.031055900621118012,0.021739130434782608,0.052795031055900624,0.2080745341614907,0.037267080745341616,0.015527950310559006,0.12111801242236025
Pakistán,0.019933554817275746,0.046511627906976744,0.019933554817275746,0.046511627906976744,0.009966777408637873,0.053156146179401995,0.19601328903654486,0.03986710963455149,0.016611295681063124,0.11627906976744186
Rumania,0.015822784810126583,0.04746835443037975,0.028481012658227847,0.03164556962025317,0.022151898734177215,0.04746835443037975,0.20569620253164558,0.0379746835443038,0.015822784810126583,0.10443037974683544
Ecuador,0.016713091922005572,0.055710306406685235,0.022284122562674095,0.03064066852367688,0.019498607242339833,0.036211699164345405,0.2116991643454039,0.036211699164345405,0.013927576601671309,0.14206128133704735
Méjico,0.021333333333333333,0.037333333333333336,0.029333333333333333,0.032,0.016,0.056,0.19466666666666665,0.04533333333333334,0.010666666666666666,0.10666666666666667
Puerto Rico,0.018666666666666668,0.048,0.02666666666666667,0.029333333333333333,0.024,0.037333333333333336,0.2,0.037333333333333336,0.013333333333333334,0.144
Camerún,0.021341463414634148,0.042682926829268296,0.027439024390243903,0.042682926829268296,0.018292682926829267,0.04878048780487805,0.19207317073170732,0.039634146341463415,0.018292682926829267,0.13109756097560976
Kenia,0.02054794520547945,0.0547945205479452,0.017123287671232876,0.030821917808219176,0.0273972602739726,0.0410958904109589,0.22945205479452055,0.03767123287671233,0.017123287671232876,0.11301369863013698
Liberia,0.027190332326283987,0.04833836858006042,0.030211480362537766,0.03927492447129909,0.021148036253776436,0.0513595166163142,0.20241691842900303,0.03927492447129909,0.015105740181268883,0.13595166163141995
Sierra Leona,0.020895522388059702,0.04776119402985075,0.01791044776119403,0.03582089552238806,0.026865671641791045,0.03582089552238806,0.20298507462686566,0.03582089552238806,0.01791044776119403,0.13134328358208955
Katar,0.018808777429467086,0.05642633228840126,0.03761755485893417,0.04075235109717868,0.02821316614420063,0.06269592476489028,0.20376175548589343,0.034482758620689655,0.01567398119122257,0.12225705329153605
Siria,0.0196078431372549,0.058823529411764705,0.029411764705882353,0.049019607843137254,0.02287581699346405,0.06862745098039216,0.20915032679738563,0.05555555555555555,0.016339869281045753,0.12418300653594772
Kenia,0.02054794520547945,0.0547945205479452,0.017123287671232876,0.030821917808219176,0.0273972602739726,0.0410958904109589,0.22945205479452055,0.03767123287671233,0.017123287671232876,0.11301369863013698
Arabia Saudita,0.01729106628242075,0.05187319884726225,0.03170028818443804,0.040345821325648415,0.020172910662824207,0.043227665706051875,0.20461095100864554,0.040345821325648415,0.011527377521613832,0.11815561959654179
Líbano,0.031073446327683617,0.0423728813559322,0.0423728813559322,0.03389830508474576,0.022598870056497175,0.07344632768361582,0.192090395480226,0.0480225988700565,0.014124293785310734,0.1271186440677966
Sudáfrica,0.018461538461538463,0.052307692307692305,0.021538461538461538,0.036923076923076927,0.021538461538461538,0.04,0.2123076923076923,0.04,0.021538461538461538,0.11692307692307692
Corea,0.020958083832335328,0.041916167664670656,0.011976047904191617,0.023952095808383235,0.023952095808383235,0.029940119760479042,0.2155688622754491,0.029940119760479042,0.014970059880239521,0.11976047904191617
Singapur,0.026392961876832845,0.06158357771260997,0.03519061583577713,0.04105571847507331,0.026392961876832845,0.0469208211143695,0.20821114369501467,0.04398826979472141,0.017595307917888565,0.12023460410557185
Alemania,0.01749271137026239,0.052478134110787174,0.03206997084548105,0.026239067055393587,0.023323615160349854,0.043731778425655975,0.20699708454810495,0.03206997084548105,0.014577259475218658,0.119533527696793
Irlanda,0.030959752321981424,0.04643962848297214,0.030959752321981424,0.030959752321981424,0.021671826625386997,0.06501547987616099,0.19814241486068113,0.043343653250773995,0.015479876160990712,0.11455108359133127
Marruecos,0.01977401129943503,0.0423728813559322,0.03954802259887006,0.031073446327683617,0.01977401129943503,0.05649717514124294,0.192090395480226,0.031073446327683617,0.014124293785310734,0.12994350282485875
Pavo,0.017045454545454544,0.048295454545454544,0.017045454545454544,0.03409090909090909,0.022727272727272728,0.036931818181818184,0.19318181818181818,0.03409090909090909,0.014204545454545454,0.13068181818181818
Laos,0.03987730061349693,0.04294478527607362,0.046012269938650305,0.027607361963190184,0.02147239263803681,0.07668711656441718,0.18098159509202455,0.03987730061349693,0.015337423312883436,0.10122699386503067
bangladesh,0.04591836734693878,0.04081632653061224,0.04846938775510204,0.05357142857142857,0.017857142857142856,0.08673469387755102,0.17857142857142858,0.03571428571428571,0.017857142857142856,0.11224489795918367
Guatemala,0.014450867052023121,0.049132947976878616,0.017341040462427744,0.028901734104046242,0.02023121387283237,0.03468208092485549,0.1994219653179191,0.03468208092485549,0.014450867052023121,0.11560693641618497
Ghana,0.022364217252396165,0.051118210862619806,0.022364217252396165,0.038338658146964855,0.02875399361022364,0.04472843450479233,0.23322683706070288,0.04472843450479233,0.01597444089456869,0.10543130990415335
Nepal,0.012861736334405145,0.05466237942122187,0.02572347266881029,0.03536977491961415,0.03215434083601286,0.04501607717041801,0.22186495176848875,0.03858520900321544,0.022508038585209004,0.11254019292604502
Albania,0.033444816053511704,0.05351170568561873,0.016722408026755852,0.03678929765886288,0.023411371237458192,0.046822742474916385,0.22742474916387959,0.05351170568561873,0.016722408026755852,0.10367892976588629
España,0.01483679525222552,0.050445103857566766,0.026706231454005934,0.02373887240356083,0.02967359050445104,0.04154302670623145,0.2314540059347181,0.032640949554896145,0.01483679525222552,0.13353115727002968
Suecia,0.02108433734939759,0.04216867469879518,0.02710843373493976,0.03313253012048193,0.018072289156626505,0.04819277108433735,0.20180722891566266,0.03614457831325301,0.015060240963855422,0.12650602409638553
Argentina,0.017341040462427744,0.05202312138728324,0.014450867052023121,0.02601156069364162,0.023121387283236993,0.031791907514450865,0.2023121387283237,0.03757225433526012,0.014450867052023121,0.11271676300578035
Chile,0.01634877384196185,0.04632152588555858,0.021798365122615803,0.02452316076294278,0.021798365122615803,0.027247956403269755,0.20435967302452315,0.0326975476839237,0.013623978201634877,0.11989100817438691
Taiwan,0.014326647564469915,0.05730659025787966,0.022922636103151862,0.025787965616045846,0.03151862464183381,0.045845272206303724,0.21203438395415472,0.02865329512893983,0.017191977077363897,0.11174785100286533
Finlandia,0.029411764705882353,0.04411764705882353,0.020588235294117647,0.03823529411764706,0.01764705882352941,0.05,0.19705882352941176,0.041176470588235294,0.014705882352941176,0.13823529411764707
Australia,0.015197568389057751,0.0547112462006079,0.02127659574468085,0.03343465045592705,0.02735562310030395,0.0425531914893617,0.2006079027355623,0.0425531914893617,0.015197568389057751,0.11854103343465046
Egipto,0.025280898876404494,0.042134831460674156,0.03651685393258427,0.033707865168539325,0.028089887640449437,0.06179775280898876,0.20224719101123595,0.03932584269662921,0.014044943820224719,0.09831460674157304
Perú,0.020348837209302327,0.04941860465116279,0.020348837209302327,0.03488372093023256,0.02616279069767442,0.040697674418604654,0.22093023255813954,0.0436046511627907,0.014534883720930232,0.1308139534883721
Polonia,0.03498542274052478,0.052478134110787174,0.03206997084548105,0.029154518950437316,0.02040816326530612,0.06997084548104957,0.19825072886297376,0.037900874635568516,0.014577259475218658,0.08454810495626822
Columbia,0.019178082191780823,0.043835616438356165,0.024657534246575342,0.030136986301369864,0.024657534246575342,0.043835616438356165,0.2,0.038356164383561646,0.0136986301369863,0.12054794520547946
