,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
chicas,0.020527859237536656,0.05278592375366569,0.017595307917888565,0.03519061583577713,0.026392961876832845,0.03225806451612903,0.1906158357771261,0.026392961876832845,0.017595307917888565,0.1348973607038123
mujeres,0.018518518518518517,0.06172839506172839,0.024691358024691357,0.033950617283950615,0.030864197530864196,0.043209876543209874,0.20679012345679013,0.027777777777777776,0.018518518518518517,0.1388888888888889
hombres,0.030959752321981424,0.04953560371517028,0.030959752321981424,0.06501547987616099,0.04024767801857585,0.05572755417956656,0.22910216718266255,0.043343653250773995,0.018575851393188854,0.14241486068111456
hembras,0.022082018927444796,0.0473186119873817,0.04416403785488959,0.04100946372239748,0.031545741324921134,0.06624605678233439,0.20189274447949526,0.04416403785488959,0.015772870662460567,0.1167192429022082
machos,0.023026315789473683,0.05263157894736842,0.02631578947368421,0.029605263157894735,0.02631578947368421,0.05263157894736842,0.21710526315789475,0.03289473684210526,0.01644736842105263,0.12828947368421054
niños,0.029498525073746312,0.05014749262536873,0.02654867256637168,0.05309734513274336,0.02654867256637168,0.05309734513274336,0.20648967551622419,0.04424778761061947,0.014749262536873156,0.16519174041297935
novios,0.03867403314917127,0.04143646408839779,0.058011049723756904,0.04419889502762431,0.019337016574585635,0.07734806629834254,0.1712707182320442,0.04143646408839779,0.013812154696132596,0.11049723756906077
novias,0.036211699164345405,0.04456824512534819,0.05013927576601671,0.04178272980501393,0.019498607242339833,0.06963788300835655,0.17827298050139276,0.03899721448467967,0.016713091922005572,0.11977715877437325
madrastras,0.025974025974025976,0.04220779220779221,0.025974025974025976,0.05194805194805195,0.022727272727272728,0.05844155844155844,0.17857142857142858,0.05194805194805195,0.01948051948051948,0.13636363636363635
padrastros,0.03225806451612903,0.04105571847507331,0.04105571847507331,0.05278592375366569,0.017595307917888565,0.07331378299120235,0.17008797653958943,0.03812316715542522,0.017595307917888565,0.12903225806451613
damas,0.019933554817275746,0.053156146179401995,0.026578073089700997,0.04318936877076412,0.016611295681063124,0.06312292358803986,0.17940199335548174,0.036544850498338874,0.016611295681063124,0.09302325581395349
caballeros,0.027777777777777776,0.03888888888888889,0.05555555555555555,0.05555555555555555,0.016666666666666666,0.075,0.18611111111111112,0.03888888888888889,0.013888888888888888,0.1388888888888889
hermanos,0.019337016574585635,0.03867403314917127,0.016574585635359115,0.03867403314917127,0.024861878453038673,0.03314917127071823,0.20441988950276244,0.03591160220994475,0.013812154696132596,0.17679558011049723
hermanas,0.01812688821752266,0.045317220543806644,0.030211480362537766,0.03927492447129909,0.01812688821752266,0.0513595166163142,0.18429003021148035,0.03625377643504532,0.01812688821752266,0.14501510574018128
madres,0.017857142857142856,0.047619047619047616,0.02976190476190476,0.03571428571428571,0.026785714285714284,0.041666666666666664,0.20833333333333334,0.03869047619047619,0.01488095238095238,0.15178571428571427
padres,0.025210084033613446,0.05322128851540616,0.0196078431372549,0.04481792717086835,0.03361344537815126,0.04201680672268908,0.226890756302521,0.0392156862745098,0.01680672268907563,0.19607843137254902
abuelos,0.03343465045592705,0.05167173252279635,0.03343465045592705,0.05167173252279635,0.03343465045592705,0.07598784194528875,0.182370820668693,0.0364741641337386,0.015197568389057751,0.14285714285714285
abuelas,0.029239766081871343,0.043859649122807015,0.049707602339181284,0.04093567251461988,0.03216374269005848,0.07017543859649122,0.19883040935672514,0.043859649122807015,0.014619883040935672,0.12280701754385964
esposas,0.019498607242339833,0.052924791086350974,0.027855153203342618,0.027855153203342618,0.03064066852367688,0.04735376044568245,0.1977715877437326,0.025069637883008356,0.016713091922005572,0.14484679665738162
esposos,0.03216374269005848,0.04678362573099415,0.029239766081871343,0.02631578947368421,0.02046783625730994,0.05847953216374269,0.21052631578947367,0.029239766081871343,0.017543859649122806,0.13742690058479531
colegialas,0.037037037037037035,0.043209876543209874,0.027777777777777776,0.05555555555555555,0.021604938271604937,0.06790123456790123,0.17901234567901234,0.04938271604938271,0.015432098765432098,0.13271604938271606
colegiales,0.025936599423631124,0.043227665706051875,0.023054755043227664,0.040345821325648415,0.020172910662824207,0.04899135446685879,0.19020172910662825,0.0345821325648415,0.01440922190201729,0.13544668587896252
mamis,0.018808777429467086,0.050156739811912224,0.03134796238244514,0.034482758620689655,0.03134796238244514,0.047021943573667714,0.21630094043887146,0.04075235109717868,0.01567398119122257,0.15047021943573669
papis,0.023668639053254437,0.04142011834319527,0.03254437869822485,0.04437869822485207,0.01775147928994083,0.05917159763313609,0.1893491124260355,0.038461538461538464,0.014792899408284023,0.12721893491124261
