,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.023529411764705882,0.047058823529411764,0.05,0.061764705882352944,0.029411764705882353,0.09705882352941177,0.2088235294117647,0.047058823529411764,0.020588235294117647,0.12941176470588237
nerds,0.026392961876832845,0.04105571847507331,0.05278592375366569,0.04398826979472141,0.02346041055718475,0.07331378299120235,0.20821114369501467,0.05278592375366569,0.01466275659824047,0.12316715542521994
paletos,0.04032258064516129,0.04838709677419355,0.02956989247311828,0.04032258064516129,0.01881720430107527,0.06451612903225806,0.22043010752688172,0.02956989247311828,0.013440860215053764,0.12096774193548387
gente sin techo,0.027607361963190184,0.05214723926380368,0.02147239263803681,0.03067484662576687,0.024539877300613498,0.06748466257668712,0.19631901840490798,0.03680981595092025,0.015337423312883436,0.08895705521472393
feministas,0.02875399361022364,0.04792332268370607,0.019169329073482427,0.02875399361022364,0.019169329073482427,0.04792332268370607,0.19488817891373802,0.02875399361022364,0.01597444089456869,0.12460063897763578
gente rica,0.03115264797507788,0.06853582554517133,0.028037383177570093,0.04361370716510903,0.040498442367601244,0.06230529595015576,0.22429906542056074,0.037383177570093455,0.01557632398753894,0.11214953271028037
gente pobre,0.02710843373493976,0.07228915662650602,0.015060240963855422,0.045180722891566265,0.0391566265060241,0.03614457831325301,0.23493975903614459,0.0391566265060241,0.015060240963855422,0.1536144578313253
criminales,0.03943661971830986,0.04225352112676056,0.05352112676056338,0.07042253521126761,0.01971830985915493,0.08732394366197183,0.18028169014084508,0.0676056338028169,0.016901408450704224,0.14647887323943662
fraternidades,0.015706806282722512,0.04450261780104712,0.015706806282722512,0.028795811518324606,0.02617801047120419,0.028795811518324606,0.18324607329842932,0.028795811518324606,0.015706806282722512,0.14659685863874344
chicos de fraternidad,0.03218390804597701,0.052873563218390804,0.03908045977011494,0.041379310344827586,0.034482758620689655,0.07586206896551724,0.20919540229885059,0.0367816091954023,0.011494252873563218,0.1793103448275862
chicas de hermandad,0.02601156069364162,0.049132947976878616,0.031791907514450865,0.04046242774566474,0.02601156069364162,0.04335260115606936,0.2023121387283237,0.03757225433526012,0.017341040462427744,0.15028901734104047
hippies,0.027522935779816515,0.045871559633027525,0.03669724770642202,0.0672782874617737,0.021406727828746176,0.07339449541284404,0.2018348623853211,0.05198776758409786,0.01834862385321101,0.12538226299694188
frikis,0.02903225806451613,0.04838709677419355,0.041935483870967745,0.035483870967741936,0.02903225806451613,0.06774193548387097,0.2129032258064516,0.035483870967741936,0.016129032258064516,0.11612903225806452
góticos,0.04105571847507331,0.04398826979472141,0.03519061583577713,0.04105571847507331,0.01466275659824047,0.06744868035190615,0.187683284457478,0.04105571847507331,0.017595307917888565,0.10557184750733138
punkis,0.021212121212121213,0.045454545454545456,0.045454545454545456,0.03636363636363636,0.02727272727272727,0.06666666666666667,0.19696969696969696,0.03333333333333333,0.015151515151515152,0.12727272727272726
californianos,0.026954177897574125,0.05121293800539083,0.0215633423180593,0.04582210242587601,0.026954177897574125,0.05390835579514825,0.1940700808625337,0.04043126684636118,0.016172506738544475,0.14016172506738545
famosos,0.038922155688622756,0.0688622754491018,0.03293413173652695,0.06287425149700598,0.03293413173652695,0.0748502994011976,0.2215568862275449,0.03293413173652695,0.014970059880239521,0.1497005988023952
pelirrojos,0.029333333333333333,0.04,0.04,0.04533333333333334,0.018666666666666668,0.072,0.18933333333333333,0.04,0.013333333333333334,0.112
