,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
asiáticos,0.01875,0.059375,0.021875,0.046875,0.01875,0.04375,0.21875,0.046875,0.01875,0.13125
americanos,0.023880597014925373,0.04477611940298507,0.03283582089552239,0.04477611940298507,0.01791044776119403,0.03880597014925373,0.2,0.041791044776119404,0.014925373134328358,0.13432835820895522
europeos,0.030211480362537766,0.045317220543806644,0.030211480362537766,0.03927492447129909,0.02416918429003021,0.0513595166163142,0.20241691842900303,0.027190332326283987,0.015105740181268883,0.12084592145015106
judios,0.028720626631853787,0.03655352480417755,0.04699738903394256,0.06266318537859007,0.015665796344647518,0.0835509138381201,0.17754569190600522,0.05483028720626632,0.013054830287206266,0.1279373368146214
indios,0.026865671641791045,0.04776119402985075,0.026865671641791045,0.03880597014925373,0.03582089552238806,0.05970149253731343,0.2208955223880597,0.04477611940298507,0.014925373134328358,0.1044776119402985
rusos,0.03785488958990536,0.0473186119873817,0.04416403785488959,0.03785488958990536,0.025236593059936908,0.07570977917981073,0.20189274447949526,0.05362776025236593,0.01892744479495268,0.12302839116719243
africanos,0.02631578947368421,0.05263157894736842,0.019736842105263157,0.05592105263157895,0.03289473684210526,0.03618421052631579,0.22697368421052633,0.046052631578947366,0.01644736842105263,0.14802631578947367
personas de color,0.019390581717451522,0.04155124653739612,0.024930747922437674,0.019390581717451522,0.0221606648199446,0.038781163434903045,0.21052631578947367,0.027700831024930747,0.013850415512465374,0.11634349030470914
mexicanos,0.02247191011235955,0.047752808988764044,0.02247191011235955,0.0449438202247191,0.025280898876404494,0.03651685393258427,0.21067415730337077,0.042134831460674156,0.014044943820224719,0.13764044943820225
blancos,0.03826530612244898,0.05102040816326531,0.05357142857142857,0.03316326530612245,0.02295918367346939,0.08418367346938775,0.18622448979591838,0.03826530612244898,0.012755102040816327,0.11224489795918367
negros,0.03680981595092025,0.04294478527607362,0.027607361963190184,0.046012269938650305,0.018404907975460124,0.07668711656441718,0.18711656441717792,0.06134969325153374,0.015337423312883436,0.12576687116564417
gente blanca,0.018518518518518517,0.046296296296296294,0.030864197530864196,0.021604938271604937,0.024691358024691357,0.06172839506172839,0.2037037037037037,0.027777777777777776,0.015432098765432098,0.10493827160493827
alemanes,0.020527859237536656,0.04105571847507331,0.04398826979472141,0.04105571847507331,0.020527859237536656,0.05865102639296188,0.20821114369501467,0.03812316715542522,0.01466275659824047,0.1348973607038123
rubias,0.03076923076923077,0.046153846153846156,0.04923076923076923,0.04,0.027692307692307693,0.06461538461538462,0.20923076923076922,0.043076923076923075,0.015384615384615385,0.13846153846153847
chicas rubias,0.025495750708215296,0.04815864022662889,0.053824362606232294,0.0339943342776204,0.0226628895184136,0.0764872521246459,0.1643059490084986,0.0226628895184136,0.014164305949008499,0.1388101983002833
árabes,0.024390243902439025,0.04878048780487805,0.036585365853658534,0.06097560975609756,0.036585365853658534,0.0701219512195122,0.19817073170731708,0.051829268292682924,0.018292682926829267,0.12804878048780488
americanos blancos,0.03713527851458886,0.04774535809018567,0.05570291777188329,0.03978779840848806,0.023872679045092837,0.09549071618037135,0.1856763925729443,0.04509283819628647,0.013262599469496022,0.09549071618037135
americanos negros,0.027607361963190184,0.04294478527607362,0.018404907975460124,0.03067484662576687,0.018404907975460124,0.05214723926380368,0.17791411042944785,0.03987730061349693,0.015337423312883436,0.09202453987730061
hispanos,0.022222222222222223,0.047619047619047616,0.022222222222222223,0.050793650793650794,0.022222222222222223,0.06031746031746032,0.20634920634920634,0.044444444444444446,0.015873015873015872,0.14603174603174604
nativos americanos,0.01775147928994083,0.04437869822485207,0.014792899408284023,0.023668639053254437,0.020710059171597635,0.038461538461538464,0.1863905325443787,0.023668639053254437,0.01775147928994083,0.10650887573964497
hombres negros,0.042682926829268296,0.04878048780487805,0.03048780487804878,0.04878048780487805,0.024390243902439025,0.09146341463414634,0.18902439024390244,0.057926829268292686,0.018292682926829267,0.13414634146341464
hombres blancos,0.0410958904109589,0.043835616438356165,0.0547945205479452,0.0410958904109589,0.021917808219178082,0.09315068493150686,0.19726027397260273,0.043835616438356165,0.01643835616438356,0.12602739726027398
mujer asiáticas,0.015384615384615385,0.04923076923076923,0.024615384615384615,0.024615384615384615,0.021538461538461538,0.046153846153846156,0.18769230769230769,0.024615384615384615,0.012307692307692308,0.08307692307692308
